Year,UNIT_MEASURE,Spol,Administrativna oblast,Value
2004,Starosna dob,Oba spola,BiH,37.8
2007,Starosna dob,Oba spola,BiH,38.3
2011,Starosna dob,Oba spola,BiH,39.7
2013,Starosna dob,Oba spola,BiH,39.5
2015,Starosna dob,Oba spola,BiH,41.9
2004,Starosna dob,M,BiH,36.8
2007,Starosna dob,M,BiH,37.2
2011,Starosna dob,M,BiH,38.6
2013,Starosna dob,M,BiH,38.2
2015,Starosna dob,M,BiH,40.5
2004,Starosna dob,Ž,BiH,38.7
2007,Starosna dob,Ž,BiH,39.4
2011,Starosna dob,Ž,BiH,40.8
2013,Starosna dob,Ž,BiH,40.7
2015,Starosna dob,Ž,BiH,43.3
