Year,UNIT_MEASURE,Пол,Административно подручје,Value
2004,Старосна доб,Оба пола,BiH,37.8
2007,Старосна доб,Оба пола,BiH,38.3
2011,Старосна доб,Оба пола,BiH,39.7
2013,Старосна доб,Оба пола,BiH,39.5
2015,Старосна доб,Оба пола,BiH,41.9
2004,Старосна доб,M,BiH,36.8
2007,Старосна доб,M,BiH,37.2
2011,Старосна доб,M,BiH,38.6
2013,Старосна доб,M,BiH,38.2
2015,Старосна доб,M,BiH,40.5
2004,Старосна доб,Ж,BiH,38.7
2007,Старосна доб,Ж,BiH,39.4
2011,Старосна доб,Ж,BiH,40.8
2013,Старосна доб,Ж,BiH,40.7
2015,Старосна доб,Ж,BiH,43.3
