Year,UNIT_MEASURE,Пол,UNIT_MEASUREMENT,Value
2018,%,Оба пола,total_support_ratio,44.32
2020,%,Оба пола,total_support_ratio,47.11
2025,%,Оба пола,total_support_ratio,53.97
2030,%,Оба пола,total_support_ratio,62.1
2035,%,Оба пола,total_support_ratio,68.98
2040,%,Оба пола,total_support_ratio,76.0
2045,%,Оба пола,total_support_ratio,84.34
2050,%,Оба пола,total_support_ratio,94.16
2055,%,Оба пола,total_support_ratio,103.66
2060,%,Оба пола,total_support_ratio,110.44
2065,%,Оба пола,total_support_ratio,115.81
2070,%,Оба пола,total_support_ratio,116.18
2018,%,Оба пола,young_age_support_ratio,20.55
2020,%,Оба пола,young_age_support_ratio,20.65
2025,%,Оба пола,young_age_support_ratio,20.34
2030,%,Оба пола,young_age_support_ratio,20.29
2035,%,Оба пола,young_age_support_ratio,19.98
2040,%,Оба пола,young_age_support_ratio,19.66
2045,%,Оба пола,young_age_support_ratio,19.82
2050,%,Оба пола,young_age_support_ratio,20.49
2055,%,Оба пола,young_age_support_ratio,21.3
2060,%,Оба пола,young_age_support_ratio,21.85
2065,%,Оба пола,young_age_support_ratio,22.23
2070,%,Оба пола,young_age_support_ratio,22.13
2018,%,Оба пола,old_age_support_ratio,23.78
2020,%,Оба пола,old_age_support_ratio,26.46
2025,%,Оба пола,old_age_support_ratio,33.64
2030,%,Оба пола,old_age_support_ratio,41.81
2035,%,Оба пола,old_age_support_ratio,49.0
2040,%,Оба пола,old_age_support_ratio,56.34
2045,%,Оба пола,old_age_support_ratio,64.52
2050,%,Оба пола,old_age_support_ratio,73.67
2055,%,Оба пола,old_age_support_ratio,82.36
2060,%,Оба пола,old_age_support_ratio,88.59
2065,%,Оба пола,old_age_support_ratio,93.58
2070,%,Оба пола,old_age_support_ratio,94.04
2018,%,Оба пола,older_persons_to_youth_ratio,115.71
2020,%,Оба пола,older_persons_to_youth_ratio,128.11
2025,%,Оба пола,older_persons_to_youth_ratio,165.41
2030,%,Оба пола,older_persons_to_youth_ratio,206.01
2035,%,Оба пола,older_persons_to_youth_ratio,245.28
2040,%,Оба пола,older_persons_to_youth_ratio,286.61
2045,%,Оба пола,older_persons_to_youth_ratio,325.51
2050,%,Оба пола,older_persons_to_youth_ratio,359.64
2055,%,Оба пола,older_persons_to_youth_ratio,386.67
2060,%,Оба пола,older_persons_to_youth_ratio,405.45
2065,%,Оба пола,older_persons_to_youth_ratio,420.87
2070,%,Оба пола,older_persons_to_youth_ratio,424.86
2018,%,Мушкарци,total_support_ratio,44.32
2020,%,Мушкарци,total_support_ratio,47.11
2025,%,Мушкарци,total_support_ratio,53.97
2030,%,Мушкарци,total_support_ratio,62.1
2035,%,Мушкарци,total_support_ratio,68.98
2040,%,Мушкарци,total_support_ratio,76.0
2045,%,Мушкарци,total_support_ratio,84.34
2050,%,Мушкарци,total_support_ratio,94.16
2055,%,Мушкарци,total_support_ratio,103.66
2060,%,Мушкарци,total_support_ratio,110.44
2065,%,Мушкарци,total_support_ratio,115.81
2070,%,Мушкарци,total_support_ratio,116.18
2018,%,Мушкарци,young_age_support_ratio,20.55
2020,%,Мушкарци,young_age_support_ratio,20.65
2025,%,Мушкарци,young_age_support_ratio,20.34
2030,%,Мушкарци,young_age_support_ratio,20.29
2035,%,Мушкарци,young_age_support_ratio,19.98
2040,%,Мушкарци,young_age_support_ratio,19.66
2045,%,Мушкарци,young_age_support_ratio,19.82
2050,%,Мушкарци,young_age_support_ratio,20.49
2055,%,Мушкарци,young_age_support_ratio,21.3
2060,%,Мушкарци,young_age_support_ratio,21.85
2065,%,Мушкарци,young_age_support_ratio,22.23
2070,%,Мушкарци,young_age_support_ratio,22.13
2018,%,Мушкарци,old_age_support_ratio,23.78
2020,%,Мушкарци,old_age_support_ratio,26.46
2025,%,Мушкарци,old_age_support_ratio,33.64
2030,%,Мушкарци,old_age_support_ratio,41.81
2035,%,Мушкарци,old_age_support_ratio,49.0
2040,%,Мушкарци,old_age_support_ratio,56.34
2045,%,Мушкарци,old_age_support_ratio,64.52
2050,%,Мушкарци,old_age_support_ratio,73.67
2055,%,Мушкарци,old_age_support_ratio,82.36
2060,%,Мушкарци,old_age_support_ratio,88.59
2065,%,Мушкарци,old_age_support_ratio,93.58
2070,%,Мушкарци,old_age_support_ratio,94.04
2018,%,Мушкарци,older_persons_to_youth_ratio,115.71
2020,%,Мушкарци,older_persons_to_youth_ratio,128.11
2025,%,Мушкарци,older_persons_to_youth_ratio,165.41
2030,%,Мушкарци,older_persons_to_youth_ratio,206.01
2035,%,Мушкарци,older_persons_to_youth_ratio,245.28
2040,%,Мушкарци,older_persons_to_youth_ratio,286.61
2045,%,Мушкарци,older_persons_to_youth_ratio,325.51
2050,%,Мушкарци,older_persons_to_youth_ratio,359.64
2055,%,Мушкарци,older_persons_to_youth_ratio,386.67
2060,%,Мушкарци,older_persons_to_youth_ratio,405.45
2065,%,Мушкарци,older_persons_to_youth_ratio,420.87
2070,%,Мушкарци,older_persons_to_youth_ratio,424.86
2018,%,Жене,total_support_ratio,44.32
