Year,Sex,UNIT_MEASURE,Value
2018,Both sexes,Number,41.6
2020,Both sexes,Number,42.45
2025,Both sexes,Number,44.5
2030,Both sexes,Number,46.44
2035,Both sexes,Number,48.27
2040,Both sexes,Number,49.91
2045,Both sexes,Number,51.31
2050,Both sexes,Number,52.46
2055,Both sexes,Number,53.39
2060,Both sexes,Number,54.16
2065,Both sexes,Number,54.77
2070,Both sexes,Number,55.22
2018,M,Number,40.31
2020,M,Number,41.2
2025,M,Number,43.3
2030,M,Number,45.28
2035,M,Number,47.12
2040,M,Number,48.74
2045,M,Number,50.1
2050,M,Number,51.18
2055,M,Number,52.03
2060,M,Number,52.66
2065,M,Number,53.1
2070,M,Number,53.38
2018,F,Number,42.84
2020,F,Number,43.65
2025,F,Number,45.62
2030,F,Number,47.51
2035,F,Number,49.32
2040,F,Number,50.95
2045,F,Number,52.36
2050,F,Number,53.55
2055,F,Number,54.55
2060,F,Number,55.4
2065,F,Number,56.13
2070,F,Number,56.7
