Year,UNIT_MEASURE,Ентитет,Value
1997,Број,Република Српска,0.42
1998,Број,Република Српска,1.59
1999,Број,Република Српска,0.5
2001,Број,Република Српска,0.42
2002,Број,Република Српска,0.33
2003,Број,Федерација БиХ,0.34
2003,Број,Република Српска,0.34
2004,Број,Федерација БиХ,0.43
2004,Број,Република Српска,0.08
2005,Број,Федерација БиХ,0.47
2006,Број,Федерација БиХ,0.52
2006,Број,Република Српска,0.35
2007,Број,Федерација БиХ,0.17
2007,Број,Република Српска,0.07
2008,Број,Федерација БиХ,0.3
2009,Број,Федерација БиХ,0.17
2009,Број,Република Српска,0.28
2010,Број,Федерација БиХ,0.13
2010,Број,Република Српска,0.28
2011,Број,Федерација БиХ,0.86
2011,Број,Република Српска,0.35
2012,Број,Федерација БиХ,0.73
2012,Број,Република Српска,0.56
2013,Број,Федерација БиХ,0.68
2013,Број,Република Српска,0.56
2014,Број,Федерација БиХ,0.64
2014,Број,Република Српска,0.14
2015,Број,Федерација БиХ,0.43
2015,Број,Република Српска,0.17
2016,Број,Федерација БиХ,0.73
2016,Број,Република Српска,0.6
2017,Број,Федерација БиХ,0.32
2017,Број,Република Српска,0.43
2018,Број,Федерација БиХ,0.87
2018,Број,Република Српска,0.44
2019,Број,Федерација БиХ,0.96
