Year,UNIT_MEASURE,Пол,Ниво образовања,Value
1991,Број,Оба пола,Непотпуно основно образовање,658356.0
1991,% од укупно,Оба пола,Непотпуно основно образовање,16.65
1991,Број,M,Непотпуно основно образовање,285421.0
1991,% од укупно,M,Непотпуно основно образовање,8.52
1991,Број,Ж,Непотпуно основно образовање,372935.0
1991,% од укупно,Ж,Непотпуно основно образовање,11.13
1991,Број,Оба пола,Основна школа,818361.0
1991,% од укупно,Оба пола,Основна школа,24.43
1991,Број,M,Основна школа,421045.0
1991,% од укупно,M,Основна школа,12.57
1991,Број,Ж,Основна школа,397316.0
1991,% од укупно,Ж,Основна школа,11.86
1991,Број,Оба пола,Средња школа,1092372.0
1991,% од укупно,Оба пола,Средња школа,32.61
1991,Број,M,Средња школа,671058.0
1991,% од укупно,M,Средња школа,20.03
1991,Број,Ж,Средња школа,421314.0
1991,% од укупно,Ж,Средња школа,12.58
1991,Број,Оба пола,Високо образовање и прва година факултета,92501.0
1991,% од укупно,Оба пола,Високо образовање и прва година факултета,2.76
1991,Број,M,Високо образовање и прва година факултета,56759.0
1991,% од укупно,M,Високо образовање и прва година факултета,1.69
1991,Број,Ж,Високо образовање и прва година факултета,35742.0
1991,% од укупно,Ж,Високо образовање и прва година факултета,1.07
1991,Број,Оба пола,Напредне школе /факултет /академија /универзитет,122967.0
1991,% од укупно,Оба пола,Напредне школе /факултет /академија /универзитет,3.67
1991,Број,M,Напредне школе /факултет /академија /универзитет,77240.0
1991,% од укупно,M,Напредне школе /факултет /академија /универзитет,2.31
1991,Број,Ж,Напредне школе /факултет /академија /универзитет,45727.0
1991,% од укупно,Ж,Напредне школе /факултет /академија /универзитет,1.37
1991,Број,Оба пола,Непознато,93903.0
1991,% од укупно,Оба пола,Непознато,2.8
1991,Број,M,Непознато,47397.0
1991,% од укупно,M,Непознато,1.41
1991,Број,Ж,Непознато,46506.0
1991,% од укупно,Ж,Непознато,1.39
1991,Број,Оба пола,Без образовања,471182.0
1991,% од укупно,Оба пола,Без образовања,14.07
1991,Број,M,Без образовања,98420.0
1991,% од укупно,M,Без образовања,2.94
1991,Број,Ж,Без образовања,372762.0
1991,% од укупно,Ж,Без образовања,11.13
1991,Број,Оба пола,Специјализација након завршене средње школе,0.0
1991,% од укупно,Оба пола,Специјализација након завршене средње школе,0.0
1991,Број,M,Специјализација након завршене средње школе,0.0
1991,% од укупно,M,Специјализација након завршене средње школе,0.0
1991,Број,Ж,Специјализација након завршене средње школе,0.0
1991,% од укупно,Ж,Специјализација након завршене средње школе,0.0
2013,Број,Оба пола,Непотпуно основно образовање,274036.0
2013,% од укупно,Оба пола,Непотпуно основно образовање,9.17
2013,Број,M,Непотпуно основно образовање,83216.0
2013,% од укупно,M,Непотпуно основно образовање,2.79
2013,Број,Ж,Непотпуно основно образовање,190820.0
2013,% од укупно,Ж,Непотпуно основно образовање,6.39
2013,Број,Оба пола,Основна школа,640726.0
2013,% од укупно,Оба пола,Основна школа,21.45
2013,Број,M,Основна школа,274258.0
2013,% од укупно,M,Основна школа,9.18
2013,Број,Ж,Основна школа,366468.0
2013,% од укупно,Ж,Основна школа,12.27
2013,Број,Оба пола,Средња школа,1525161.0
2013,% од укупно,Оба пола,Средња школа,51.05
2013,Број,M,Средња школа,864823.0
2013,% од укупно,M,Средња школа,28.95
2013,Број,Ж,Средња школа,660338.0
2013,% од укупно,Ж,Средња школа,22.1
2013,Број,Оба пола,Високо образовање и прва година факултета,94204.0
2013,% од укупно,Оба пола,Високо образовање и прва година факултета,3.15
2013,Број,M,Високо образовање и прва година факултета,51556.0
2013,% од укупно,M,Високо образовање и прва година факултета,1.73
2013,Број,Ж,Високо образовање и прва година факултета,42648.0
2013,% од укупно,Ж,Високо образовање и прва година факултета,1.43
2013,Број,Оба пола,Напредне школе /факултет /академија /универзитет,285622.0
2013,% од укупно,Оба пола,Напредне школе /факултет /академија /универзитет,9.56
2013,Број,M,Напредне школе /факултет /академија /универзитет,137543.0
2013,% од укупно,M,Напредне школе /факултет /академија /универзитет,4.6
2013,Број,Ж,Напредне школе /факултет /академија /универзитет,148079.0
2013,% од укупно,Ж,Напредне школе /факултет /академија /универзитет,4.96
2013,Број,Оба пола,Без образовања,146078.0
2013,% од укупно,Оба пола,Без образовања,4.89
2013,Број,M,Без образовања,24021.0
2013,% од укупно,M,Без образовања,0.8
2013,Број,Ж,Без образовања,122057.0
2013,% од укупно,Ж,Без образовања,4.09
2013,Број,Оба пола,Специјализација након завршене средње школе,21613.0
2013,% од укупно,Оба пола,Специјализација након завршене средње школе,0.72
2013,Број,M,Специјализација након завршене средње школе,17877.0
2013,% од укупно,M,Специјализација након завршене средње школе,0.6
2013,Број,Ж,Специјализација након завршене средње школе,3736.0
2013,% од укупно,Ж,Специјализација након завршене средње школе,0.13
