Year,UNIT_MEASURE,school_year,Spol,Value
2013,Broj,2011/2012,Oba spola,"1,238"
2013,Broj,2012/2013,Oba spola,"1,301"
2013,Broj,2013/2014,Oba spola,"1,388"
2013,Broj,2014/2015,Oba spola,"1,515"
2013,Broj,2015/2016,Oba spola,"1,667"
2013,Broj,2016/2017,Oba spola,"1,793"
2013,Broj,2017/2018,Oba spola,1898
2013,Broj,2018/2019,Oba spola,2131
2013,Broj,2019/2020,Oba spola,2384
2013,Broj,2020/2021,Oba spola,2537
2013,Broj,2011/2012,M,22
2013,Broj,2012/2013,M,17
2013,Broj,2013/2014,M,22
2013,Broj,2014/2015,M,23
2013,Broj,2015/2016,M,22
2013,Broj,2016/2017,M,24
2013,Broj,2017/2018,M,28
2013,Broj,2018/2019,M,29
2013,Broj,2019/2020,M,31
2013,Broj,2020/2021,M,27
2013,Broj,2011/2012,Ž,1216
2013,Broj,2012/2013,Ž,1284
2013,Broj,2013/2014,Ž,1366
2013,Broj,2014/2015,Ž,1492
2013,Broj,2015/2016,Ž,1645
2013,Broj,2016/2017,Ž,1769
2013,Broj,2017/2018,Ž,1870
2013,Broj,2018/2019,Ž,2102
2013,Broj,2019/2020,Ž,2353
2013,Broj,2020/2021,Ž,2510
