Year,UNIT_MEASURE,Sex,Administrative area,Value
2004,%,Both sexes,BiH,37.8
2007,%,Both sexes,BiH,38.3
2011,%,Both sexes,BiH,39.7
2013,%,Both sexes,BiH,39.5
2015,%,Both sexes,BiH,41.9
2004,%,Both sexes,Federation of BiH,36.4
2007,%,Both sexes,Federation of BiH,37.0
2011,%,Both sexes,Federation of BiH,38.5
2013,%,Both sexes,Federation of BiH,38.5
2015,%,Both sexes,Federation of BiH,40.7
2004,%,Both sexes,Republika Srpska,40.1
2007,%,Both sexes,Republika Srpska,40.8
2011,%,Both sexes,Republika Srpska,42.0
2013,%,Both sexes,Republika Srpska,41.4
2015,%,Both sexes,Republika Srpska,44.4
2004,%,Both sexes,Brčko District of BiH,38.3
2007,%,Both sexes,Brčko District of BiH,39.5
2011,%,Both sexes,Brčko District of BiH,40.4
2013,%,Both sexes,Brčko District of BiH,39.7
2015,%,Both sexes,Brčko District of BiH,40.8
2004,%,M,BiH,36.8
2007,%,M,BiH,37.2
2011,%,M,BiH,38.6
2013,%,M,BiH,38.2
2015,%,M,BiH,40.5
2004,%,M,Federation of BiH,35.6
2007,%,M,Federation of BiH,35.8
2011,%,M,Federation of BiH,37.6
2013,%,M,Federation of BiH,37.2
2015,%,M,Federation of BiH,39.2
2004,%,M,Republika Srpska,39.0
2007,%,M,Republika Srpska,39.6
2011,%,M,Republika Srpska,40.5
2013,%,M,Republika Srpska,40.0
2015,%,M,Republika Srpska,43.0
2004,%,M,Brčko District of BiH,37.2
2007,%,M,Brčko District of BiH,38.7
2011,%,M,Brčko District of BiH,39.2
2013,%,M,Brčko District of BiH,38.4
2015,%,M,Brčko District of BiH,39.8
2004,%,F,BiH,38.7
2007,%,F,BiH,39.4
2011,%,F,BiH,40.8
2013,%,F,BiH,40.7
2015,%,F,BiH,43.3
2004,%,F,Federation of BiH,37.2
2007,%,F,Federation of BiH,38.1
2011,%,F,Federation of BiH,39.4
2013,%,F,Federation of BiH,39.7
2015,%,F,Federation of BiH,42.2
2004,%,F,Republika Srpska,41.1
2007,%,F,Republika Srpska,42.0
2011,%,F,Republika Srpska,43.6
2013,%,F,Republika Srpska,42.7
2015,%,F,Republika Srpska,45.7
2004,%,F,Brčko District of BiH,39.3
2007,%,F,Brčko District of BiH,40.2
2011,%,F,Brčko District of BiH,41.7
2013,%,F,Brčko District of BiH,40.9
2015,%,F,Brčko District of BiH,41.7
