Year,Sex,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,Both sexes,neoplasms,Number,4591
1999,Both sexes,diseases_of_the_circulatory,Number,15911
1999,Both sexes,diseases_of_the_respiratory,Number,866
1999,Both sexes,diseases_of_the_digestive,Number,709
1999,Both sexes,symptoms_signs_and_abnormal,Number,2552
1999,Both sexes,injuries_poisoning_and_consequences,Number,1022
1999,Both sexes,total,Number,25651
1999,M,neoplasms,Number,2752
1999,M,diseases_of_the_circulatory,Number,7700
1999,M,diseases_of_the_respiratory,Number,498
1999,M,diseases_of_the_digestive,Number,445
1999,M,symptoms_signs_and_abnormal,Number,1347
1999,M,injuries_poisoning_and_consequences,Number,786
1999,M,total,Number,13528
1999,F,neoplasms,Number,1839
1999,F,diseases_of_the_circulatory,Number,8211
1999,F,diseases_of_the_respiratory,Number,368
1999,F,diseases_of_the_digestive,Number,264
1999,F,symptoms_signs_and_abnormal,Number,1205
1999,F,injuries_poisoning_and_consequences,Number,236
1999,F,total,Number,12123
2000,Both sexes,neoplasms,Number,5122
2000,Both sexes,diseases_of_the_circulatory,Number,16283
2000,Both sexes,diseases_of_the_respiratory,Number,805
2000,Both sexes,diseases_of_the_digestive,Number,848
2000,Both sexes,symptoms_signs_and_abnormal,Number,2860
2000,Both sexes,injuries_poisoning_and_consequences,Number,1091
2000,Both sexes,total,Number,27009
2000,M,neoplasms,Number,3144
2000,M,diseases_of_the_circulatory,Number,7810
2000,M,diseases_of_the_respiratory,Number,464
2000,M,diseases_of_the_digestive,Number,518
2000,M,symptoms_signs_and_abnormal,Number,1484
2000,M,injuries_poisoning_and_consequences,Number,812
2000,M,total,Number,14232
2000,F,neoplasms,Number,1978
2000,F,diseases_of_the_circulatory,Number,8473
2000,F,diseases_of_the_respiratory,Number,341
2000,F,diseases_of_the_digestive,Number,330
2000,F,symptoms_signs_and_abnormal,Number,1376
2000,F,injuries_poisoning_and_consequences,Number,279
2000,F,total,Number,12777
2001,Both sexes,infectious_and_parasitic,Number,257
2001,Both sexes,neoplasms,Number,5347
2001,Both sexes,diseases_of_the_blood,Number,20
2001,Both sexes,endocrine_metabolic_and_nutritional,Number,667
2001,Both sexes,mental_and_behavioural_disorders,Number,48
2001,Both sexes,diseases_of_the_nervous,Number,161
2001,Both sexes,diseases_of_the_eye,Number,1
2001,Both sexes,diseases_of_the_circulatory,Number,16328
2001,Both sexes,diseases_of_the_respiratory,Number,745
2001,Both sexes,diseases_of_the_digestive,Number,827
2001,Both sexes,diseases_of_the_skin,Number,17
2001,Both sexes,diseases_of_the_musculoskeletal,Number,14
2001,Both sexes,diseases_of_the_genitourinary,Number,397
2001,Both sexes,pregnancy_childbirth_and_the,Number,1
2001,Both sexes,certain_conditions_originating,Number,188
2001,Both sexes,congenital_malformations_deformations,Number,43
2001,Both sexes,symptoms_signs_and_abnormal,Number,3031
2001,Both sexes,injuries_poisoning_and_consequences,Number,1017
2001,Both sexes,external_causes_of_mortality,Number,261
2001,Both sexes,factors_influencing_health_status,Number,1
2001,Both sexes,unknown,Number,954
2001,Both sexes,total,Number,30325
2001,M,infectious_and_parasitic,Number,157
2001,M,neoplasms,Number,3288
2001,M,diseases_of_the_blood,Number,7
2001,M,endocrine_metabolic_and_nutritional,Number,240
2001,M,mental_and_behavioural_disorders,Number,37
2001,M,diseases_of_the_nervous,Number,79
2001,M,diseases_of_the_eye,Number,1
2001,M,diseases_of_the_circulatory,Number,7943
2001,M,diseases_of_the_respiratory,Number,434
2001,M,diseases_of_the_digestive,Number,540
2001,M,diseases_of_the_skin,Number,5
2001,M,diseases_of_the_musculoskeletal,Number,6
2001,M,diseases_of_the_genitourinary,Number,200
2001,M,certain_conditions_originating,Number,109
2001,M,congenital_malformations_deformations,Number,18
2001,M,symptoms_signs_and_abnormal,Number,1637
2001,M,injuries_poisoning_and_consequences,Number,768
2001,M,external_causes_of_mortality,Number,206
2001,M,unknown,Number,527
2001,M,total,Number,16202
2001,F,infectious_and_parasitic,Number,100
2001,F,neoplasms,Number,2059
2001,F,diseases_of_the_blood,Number,13
2001,F,endocrine_metabolic_and_nutritional,Number,427
2001,F,mental_and_behavioural_disorders,Number,11
2001,F,diseases_of_the_nervous,Number,82
2001,F,diseases_of_the_circulatory,Number,8385
2001,F,diseases_of_the_respiratory,Number,311
2001,F,diseases_of_the_digestive,Number,287
2001,F,diseases_of_the_skin,Number,12
2001,F,diseases_of_the_musculoskeletal,Number,8
2001,F,diseases_of_the_genitourinary,Number,197
2001,F,pregnancy_childbirth_and_the,Number,1
2001,F,certain_conditions_originating,Number,79
2001,F,congenital_malformations_deformations,Number,25
2001,F,symptoms_signs_and_abnormal,Number,1394
2001,F,injuries_poisoning_and_consequences,Number,249
2001,F,external_causes_of_mortality,Number,55
2001,F,factors_influencing_health_status,Number,1
2001,F,unknown,Number,427
2001,F,total,Number,14123
2002,Both sexes,infectious_and_parasitic,Number,263
2002,Both sexes,neoplasms,Number,5288
2002,Both sexes,diseases_of_the_blood,Number,19
2002,Both sexes,endocrine_metabolic_and_nutritional,Number,862
2002,Both sexes,mental_and_behavioural_disorders,Number,66
2002,Both sexes,diseases_of_the_nervous,Number,157
2002,Both sexes,diseases_of_the_eye,Number,1
2002,Both sexes,diseases_of_the_circulatory,Number,16007
2002,Both sexes,diseases_of_the_respiratory,Number,817
2002,Both sexes,diseases_of_the_digestive,Number,820
2002,Both sexes,diseases_of_the_skin,Number,17
2002,Both sexes,diseases_of_the_musculoskeletal,Number,10
2002,Both sexes,diseases_of_the_genitourinary,Number,219
2002,Both sexes,pregnancy_childbirth_and_the,Number,3
2002,Both sexes,certain_conditions_originating,Number,226
2002,Both sexes,congenital_malformations_deformations,Number,56
2002,Both sexes,symptoms_signs_and_abnormal,Number,2983
2002,Both sexes,injuries_poisoning_and_consequences,Number,984
2002,Both sexes,external_causes_of_mortality,Number,242
2002,Both sexes,factors_influencing_health_status,Number,1
2002,Both sexes,unknown,Number,1790
2002,Both sexes,total,Number,30831
2002,M,infectious_and_parasitic,Number,160
2002,M,neoplasms,Number,3201
2002,M,diseases_of_the_blood,Number,11
2002,M,endocrine_metabolic_and_nutritional,Number,300
2002,M,mental_and_behavioural_disorders,Number,39
2002,M,diseases_of_the_nervous,Number,87
2002,M,diseases_of_the_eye,Number,1
2002,M,diseases_of_the_circulatory,Number,7544
2002,M,diseases_of_the_respiratory,Number,478
2002,M,diseases_of_the_digestive,Number,495
2002,M,diseases_of_the_skin,Number,3
2002,M,diseases_of_the_musculoskeletal,Number,2
2002,M,diseases_of_the_genitourinary,Number,120
2002,M,certain_conditions_originating,Number,128
2002,M,congenital_malformations_deformations,Number,32
2002,M,symptoms_signs_and_abnormal,Number,1535
2002,M,injuries_poisoning_and_consequences,Number,751
2002,M,external_causes_of_mortality,Number,180
2002,M,factors_influencing_health_status,Number,1
2002,M,unknown,Number,965
2002,M,total,Number,16033
2002,F,infectious_and_parasitic,Number,103
2002,F,neoplasms,Number,2087
2002,F,diseases_of_the_blood,Number,8
2002,F,endocrine_metabolic_and_nutritional,Number,562
2002,F,mental_and_behavioural_disorders,Number,27
2002,F,diseases_of_the_nervous,Number,70
2002,F,diseases_of_the_circulatory,Number,8463
2002,F,diseases_of_the_respiratory,Number,339
2002,F,diseases_of_the_digestive,Number,325
2002,F,diseases_of_the_skin,Number,14
2002,F,diseases_of_the_musculoskeletal,Number,8
2002,F,diseases_of_the_genitourinary,Number,99
2002,F,pregnancy_childbirth_and_the,Number,3
2002,F,certain_conditions_originating,Number,98
2002,F,congenital_malformations_deformations,Number,24
2002,F,symptoms_signs_and_abnormal,Number,1448
2002,F,injuries_poisoning_and_consequences,Number,233
2002,F,external_causes_of_mortality,Number,62
2002,F,unknown,Number,825
2002,F,total,Number,14798
2003,Both sexes,neoplasms,Number,5771
2003,Both sexes,diseases_of_the_circulatory,Number,16990
2003,Both sexes,diseases_of_the_respiratory,Number,876
2003,Both sexes,diseases_of_the_digestive,Number,810
2003,Both sexes,symptoms_signs_and_abnormal,Number,3166
2003,Both sexes,injuries_poisoning_and_consequences,Number,950
2003,Both sexes,unknown,Number,770
2003,Both sexes,total,Number,29333
2003,M,neoplasms,Number,3499
2003,M,diseases_of_the_circulatory,Number,8001
2003,M,diseases_of_the_respiratory,Number,542
2003,M,diseases_of_the_digestive,Number,499
2003,M,symptoms_signs_and_abnormal,Number,1612
2003,M,injuries_poisoning_and_consequences,Number,706
2003,M,unknown,Number,424
2003,M,total,Number,15283
2003,F,neoplasms,Number,2272
2003,F,diseases_of_the_circulatory,Number,8989
2003,F,diseases_of_the_respiratory,Number,334
2003,F,diseases_of_the_digestive,Number,311
2003,F,symptoms_signs_and_abnormal,Number,1554
2003,F,injuries_poisoning_and_consequences,Number,244
2003,F,unknown,Number,346
2003,F,total,Number,14050
2004,Both sexes,infectious_and_parasitic,Number,255
2004,Both sexes,neoplasms,Number,5709
2004,Both sexes,diseases_of_the_blood,Number,31
2004,Both sexes,endocrine_metabolic_and_nutritional,Number,993
2004,Both sexes,mental_and_behavioural_disorders,Number,104
2004,Both sexes,diseases_of_the_nervous,Number,251
2004,Both sexes,diseases_of_the_circulatory,Number,17700
2004,Both sexes,diseases_of_the_respiratory,Number,907
2004,Both sexes,diseases_of_the_digestive,Number,839
2004,Both sexes,diseases_of_the_skin,Number,11
2004,Both sexes,diseases_of_the_musculoskeletal,Number,16
2004,Both sexes,diseases_of_the_genitourinary,Number,467
2004,Both sexes,pregnancy_childbirth_and_the,Number,1
2004,Both sexes,certain_conditions_originating,Number,163
2004,Both sexes,congenital_malformations_deformations,Number,42
2004,Both sexes,symptoms_signs_and_abnormal,Number,2723
2004,Both sexes,injuries_poisoning_and_consequences,Number,920
2004,Both sexes,external_causes_of_mortality,Number,273
2004,Both sexes,factors_influencing_health_status,Number,1
2004,Both sexes,unknown,Number,1210
2004,Both sexes,total,Number,32616
2004,M,infectious_and_parasitic,Number,152
2004,M,neoplasms,Number,3398
2004,M,diseases_of_the_blood,Number,10
2004,M,endocrine_metabolic_and_nutritional,Number,377
2004,M,mental_and_behavioural_disorders,Number,80
2004,M,diseases_of_the_nervous,Number,126
2004,M,diseases_of_the_circulatory,Number,8262
2004,M,diseases_of_the_respiratory,Number,551
2004,M,diseases_of_the_digestive,Number,498
2004,M,diseases_of_the_skin,Number,2
2004,M,diseases_of_the_musculoskeletal,Number,9
2004,M,diseases_of_the_genitourinary,Number,248
2004,M,certain_conditions_originating,Number,101
2004,M,congenital_malformations_deformations,Number,26
2004,M,symptoms_signs_and_abnormal,Number,1399
2004,M,injuries_poisoning_and_consequences,Number,691
2004,M,external_causes_of_mortality,Number,198
2004,M,factors_influencing_health_status,Number,1
2004,M,unknown,Number,651
2004,M,total,Number,16780
2004,F,infectious_and_parasitic,Number,103
2004,F,neoplasms,Number,2311
2004,F,diseases_of_the_blood,Number,21
2004,F,endocrine_metabolic_and_nutritional,Number,616
2004,F,mental_and_behavioural_disorders,Number,24
2004,F,diseases_of_the_nervous,Number,125
2004,F,diseases_of_the_circulatory,Number,9438
2004,F,diseases_of_the_respiratory,Number,356
2004,F,diseases_of_the_digestive,Number,341
2004,F,diseases_of_the_skin,Number,9
2004,F,diseases_of_the_musculoskeletal,Number,7
2004,F,diseases_of_the_genitourinary,Number,219
2004,F,pregnancy_childbirth_and_the,Number,1
2004,F,certain_conditions_originating,Number,62
2004,F,congenital_malformations_deformations,Number,16
2004,F,symptoms_signs_and_abnormal,Number,1324
2004,F,injuries_poisoning_and_consequences,Number,229
2004,F,external_causes_of_mortality,Number,75
2004,F,unknown,Number,559
2004,F,total,Number,15836
2005,Both sexes,neoplasms,Number,6255
2005,Both sexes,diseases_of_the_circulatory,Number,17915
2005,Both sexes,diseases_of_the_respiratory,Number,1242
2005,Both sexes,diseases_of_the_digestive,Number,818
2005,Both sexes,symptoms_signs_and_abnormal,Number,2394
2005,Both sexes,injuries_poisoning_and_consequences,Number,952
2005,Both sexes,total,Number,29576
2005,M,neoplasms,Number,3766
2005,M,diseases_of_the_circulatory,Number,8559
2005,M,diseases_of_the_respiratory,Number,726
2005,M,diseases_of_the_digestive,Number,491
2005,M,symptoms_signs_and_abnormal,Number,1312
2005,M,injuries_poisoning_and_consequences,Number,718
2005,M,total,Number,15572
2005,F,neoplasms,Number,2489
2005,F,diseases_of_the_circulatory,Number,9356
2005,F,diseases_of_the_respiratory,Number,516
2005,F,diseases_of_the_digestive,Number,327
2005,F,symptoms_signs_and_abnormal,Number,1082
2005,F,injuries_poisoning_and_consequences,Number,234
2005,F,total,Number,14004
2006,Both sexes,infectious_and_parasitic,Number,237
2006,Both sexes,neoplasms,Number,6252
