Year,Entity,Sex,UNIT_MEASURE,Value
1996,BiH,M,%,27.7
1997,BiH,M,%,28.0
1998,BiH,M,%,27.9
1999,BiH,M,%,27.8
2000,BiH,M,%,27.8
2001,BiH,M,%,27.8
2002,BiH,M,%,27.8
2003,BiH,M,%,28.1
2004,BiH,M,%,28.0
2005,BiH,M,%,28.1
2006,BiH,M,%,28.3
2007,BiH,M,%,28.3
2008,BiH,M,%,28.3
2009,BiH,M,%,28.3
2010,BiH,M,%,28.9
2011,BiH,M,%,29.1
2012,BiH,M,%,29.3
2013,BiH,M,%,29.6
2014,BiH,M,%,29.6
2015,BiH,M,%,29.5
2016,BiH,M,%,29.4
2017,BiH,M,%,29.5
2018,BiH,M,%,29.7
2019,BiH,M,%,29.5
1996,BiH,F,%,24.2
1997,BiH,F,%,24.3
1998,BiH,F,%,24.3
1999,BiH,F,%,24.3
2000,BiH,F,%,24.2
2001,BiH,F,%,24.2
2002,BiH,F,%,24.3
2003,BiH,F,%,24.6
2004,BiH,F,%,24.5
2005,BiH,F,%,24.6
2006,BiH,F,%,24.9
2007,BiH,F,%,24.9
2008,BiH,F,%,24.9
2009,BiH,F,%,24.8
2010,BiH,F,%,25.7
2011,BiH,F,%,25.9
2012,BiH,F,%,26.1
2013,BiH,F,%,26.4
2014,BiH,F,%,26.4
2015,BiH,F,%,26.4
2016,BiH,F,%,26.4
2017,BiH,F,%,26.6
2018,BiH,F,%,27.1
2019,BiH,F,%,26.8
1996,FBIH,M,%,27.7
1997,FBIH,M,%,27.4
1998,FBIH,M,%,27.4
1999,FBIH,M,%,27.5
2000,FBIH,M,%,27.6
2001,FBIH,M,%,27.6
2002,FBIH,M,%,27.7
2003,FBIH,M,%,27.7
2004,FBIH,M,%,27.8
2005,FBIH,M,%,27.8
2006,FBIH,M,%,27.9
2007,FBIH,M,%,27.9
2008,FBIH,M,%,28.1
2009,FBIH,M,%,28.1
2010,FBIH,M,%,28.6
2011,FBIH,M,%,28.1
2012,FBIH,M,%,28.4
2013,FBIH,M,%,28.3
2014,FBIH,M,%,28.3
2015,FBIH,M,%,28.5
2016,FBIH,M,%,28.3
2017,FBIH,M,%,28.3
2018,FBIH,M,%,28.5
2019,FBIH,M,%,28.3
1996,FBIH,F,%,24.4
1997,FBIH,F,%,23.8
1998,FBIH,F,%,24.4
1999,FBIH,F,%,24.2
2000,FBIH,F,%,23.9
2001,FBIH,F,%,24.0
2002,FBIH,F,%,24.1
2003,FBIH,F,%,24.2
2004,FBIH,F,%,24.2
2005,FBIH,F,%,24.3
2006,FBIH,F,%,24.3
2007,FBIH,F,%,24.5
2008,FBIH,F,%,24.6
2009,FBIH,F,%,24.8
2010,FBIH,F,%,24.9
2011,FBIH,F,%,25.0
2012,FBIH,F,%,25.2
2013,FBIH,F,%,25.5
2014,FBIH,F,%,25.2
2015,FBIH,F,%,25.5
2016,FBIH,F,%,25.4
2017,FBIH,F,%,25.5
2018,FBIH,F,%,25.8
2019,FBIH,F,%,25.7
1998,RS,M,%,28.6
2000,RS,M,%,28.6
2003,RS,M,%,28.3
2004,RS,M,%,28.4
2005,RS,M,%,28.6
2006,RS,M,%,28.9
2007,RS,M,%,28.9
2008,RS,M,%,29.1
2009,RS,M,%,29.1
2010,RS,M,%,29.2
2011,RS,M,%,29.5
2012,RS,M,%,29.6
2013,RS,M,%,29.9
2014,RS,M,%,30.1
2015,RS,M,%,30.0
2016,RS,M,%,29.9
2017,RS,M,%,30.2
2018,RS,M,%,30.3
2019,RS,M,%,30.2
1998,RS,F,%,24.7
2000,RS,F,%,24.9
2003,RS,F,%,24.7
2004,RS,F,%,24.8
2005,RS,F,%,25.0
2006,RS,F,%,25.3
2007,RS,F,%,25.4
2008,RS,F,%,25.4
2009,RS,F,%,25.8
2010,RS,F,%,25.9
2011,RS,F,%,26.1
2012,RS,F,%,26.3
2013,RS,F,%,26.6
2014,RS,F,%,26.7
2015,RS,F,%,26.6
2016,RS,F,%,26.7
2017,RS,F,%,27.0
2018,RS,F,%,27.3
2019,RS,F,%,27.2
2004,BD,M,%,30.0
2005,BD,M,%,29.8
2006,BD,M,%,30.1
2007,BD,M,%,31.2
2008,BD,M,%,30.1
2009,BD,M,%,30.3
2010,BD,M,%,29.3
2011,BD,M,%,30.5
2012,BD,M,%,30.7
2013,BD,M,%,32.7
2014,BD,M,%,30.7
2015,BD,M,%,30.7
2016,BD,M,%,33.8
2017,BD,M,%,32.2
2018,BD,M,%,32.4
2019,BD,M,%,32.2
2004,BD,F,%,26.9
2005,BD,F,%,26.7
2006,BD,F,%,26.0
2007,BD,F,%,27.8
2008,BD,F,%,26.6
2009,BD,F,%,27.1
2010,BD,F,%,27.0
2011,BD,F,%,27.3
2012,BD,F,%,27.8
2013,BD,F,%,29.0
2014,BD,F,%,28.1
2015,BD,F,%,27.8
2016,BD,F,%,30.7
2017,BD,F,%,29.0
2018,BD,F,%,29.2
2019,BD,F,%,29.4
