Year,Пол,UNIT_MEASURE,Value
2020,Оба пола,number_birth_rate,10.9
2025,Оба пола,number_birth_rate,11.9
2030,Оба пола,number_birth_rate,13.1
2035,Оба пола,number_birth_rate,14.5
2040,Оба пола,number_birth_rate,16.0
2045,Оба пола,number_birth_rate,17.5
2050,Оба пола,number_birth_rate,18.8
2055,Оба пола,number_birth_rate,19.8
2060,Оба пола,number_birth_rate,20.7
2065,Оба пола,number_birth_rate,21.5
2070,Оба пола,number_birth_rate,22.2
2020,Мушкарци,number_birth_rate,11.4
2025,Мушкарци,number_birth_rate,12.5
2030,Мушкарци,number_birth_rate,13.8
2035,Мушкарци,number_birth_rate,15.3
2040,Мушкарци,number_birth_rate,16.9
2045,Мушкарци,number_birth_rate,18.5
2050,Мушкарци,number_birth_rate,19.8
2055,Мушкарци,number_birth_rate,20.9
2060,Мушкарци,number_birth_rate,21.9
2065,Мушкарци,number_birth_rate,22.6
2070,Мушкарци,number_birth_rate,23.1
2020,Жене,number_birth_rate,10.52
2025,Жене,number_birth_rate,11.42
2030,Жене,number_birth_rate,12.48
2035,Жене,number_birth_rate,13.75
2040,Жене,number_birth_rate,15.19
2045,Жене,number_birth_rate,16.66
2050,Жене,number_birth_rate,17.9
2055,Жене,number_birth_rate,18.93
2060,Жене,number_birth_rate,19.79
2065,Жене,number_birth_rate,20.64
2070,Жене,number_birth_rate,21.5
