Year,UNIT_MEASURE,Value
1996,Broj djece po ženi 15-49,1.647
1997,Broj djece po ženi 15-49,1.684
1998,Broj djece po ženi 15-49,1.558
1999,Broj djece po ženi 15-49,1.362
2000,Broj djece po ženi 15-49,1.3
2001,Broj djece po ženi 15-49,1.4
2002,Broj djece po ženi 15-49,1.2
2003,Broj djece po ženi 15-49,1.215
2004,Broj djece po ženi 15-49,1.217
2005,Broj djece po ženi 15-49,1.2
2006,Broj djece po ženi 15-49,1.176
2007,Broj djece po ženi 15-49,1.258
2008,Broj djece po ženi 15-49,1.285
2009,Broj djece po ženi 15-49,1.303
2010,Broj djece po ženi 15-49,1.266
2011,Broj djece po ženi 15-49,1.205
2012,Broj djece po ženi 15-49,1.349
2013,Broj djece po ženi 15-49,1.276
2014,Broj djece po ženi 15-49,1.258
2015,Broj djece po ženi 15-49,1.242
2016,Broj djece po ženi 15-49,1.258
2017,Broj djece po ženi 15-49,1.259
2018,Broj djece po ženi 15-49,1.252
2019,Broj djece po ženi 15-49,1.204
