Year,UNIT_MEASURE,Type_of_user,Value
2015,Број,_T,417858
2015,Број,minor_beneficiaries,80736
2015,Број,adult_beneficiaries,337122
2016,Број,_T,426629
2016,Број,minor_beneficiaries,79126
2016,Број,adult_beneficiaries,347503
2017,Број,_T,423030
2017,Број,minor_beneficiaries,74690
2017,Број,adult_beneficiaries,348340
2018,Број,_T,440250
2018,Број,minor_beneficiaries,66576
2018,Број,adult_beneficiaries,373674
2019,Број,_T,404084
2019,Број,minor_beneficiaries,55438
2019,Број,adult_beneficiaries,348646
2020,Број,_T,375866
2020,Број,minor_beneficiaries,54792
2020,Број,adult_beneficiaries,321074
