Year,UNIT_MEASURE,Административно подручје,Value
1965,Број дјечака на 100 ђевојчица,BiH,107.61
1970,Број дјечака на 100 ђевојчица,BiH,107.0
1975,Број дјечака на 100 ђевојчица,BiH,106.91
1980,Број дјечака на 100 ђевојчица,BiH,106.81
1988,Број дјечака на 100 ђевојчица,BiH,107.9
1989,Број дјечака на 100 ђевојчица,BiH,105.4
1990,Број дјечака на 100 ђевојчица,BiH,106.56
1991,Број дјечака на 100 ђевојчица,BiH,105.61
1996,Број дјечака на 100 ђевојчица,BiH,109.92
1997,Број дјечака на 100 ђевојчица,BiH,109.51
1998,Број дјечака на 100 ђевојчица,BiH,108.54
1999,Број дјечака на 100 ђевојчица,BiH,103.88
2000,Број дјечака на 100 ђевојчица,BiH,106.53
2001,Број дјечака на 100 ђевојчица,BiH,105.91
2002,Број дјечака на 100 ђевојчица,BiH,105.82
2003,Број дјечака на 100 ђевојчица,BiH,108.44
2004,Број дјечака на 100 ђевојчица,BiH,106.55
2005,Број дјечака на 100 ђевојчица,BiH,105.75
2006,Број дјечака на 100 ђевојчица,BiH,106.44
2007,Број дјечака на 100 ђевојчица,BiH,107.56
2008,Број дјечака на 100 ђевојчица,BiH,105.99
2009,Број дјечака на 100 ђевојчица,BiH,108.77
2010,Број дјечака на 100 ђевојчица,BiH,106.31
2011,Број дјечака на 100 ђевојчица,BiH,108.19
2012,Број дјечака на 100 ђевојчица,BiH,106.56
2013,Број дјечака на 100 ђевојчица,BiH,106.64
2014,Број дјечака на 100 ђевојчица,BiH,106.31
2015,Број дјечака на 100 ђевојчица,BiH,105.85
2016,Број дјечака на 100 ђевојчица,BiH,108.63
2017,Број дјечака на 100 ђевојчица,BiH,107.9
2018,Број дјечака на 100 ђевојчица,BiH,107.53
2019,Број дјечака на 100 ђевојчица,BiH,109.24
