Year,UNIT_MEASURE,Type_of_institution,Пол,Value
2015,Број,_T,Оба пола,7871
2015,Број,_T,M,3645
2015,Број,_T,Ж,4226
2015,Број,homes_for_children_and_youth_without_parental_care,Оба пола,997
2015,Број,homes_for_children_and_youth_without_parental_care,M,527
2015,Број,homes_for_children_and_youth_without_parental_care,Ж,470
2015,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,1742
2015,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1041
2015,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,701
2015,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,282
2015,Број,social_welfare_institutions_for_adults_with_disabilities,M,201
2015,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,81
2015,Број,social_welfare_institutions_for_adults,Оба пола,4850
2015,Број,social_welfare_institutions_for_adults,M,1876
2015,Број,social_welfare_institutions_for_adults,Ж,2974
2016,Број,_T,Оба пола,9249
2016,Број,_T,M,4455
2016,Број,_T,Ж,4794
2016,Број,homes_for_children_and_youth_without_parental_care,Оба пола,970
2016,Број,homes_for_children_and_youth_without_parental_care,M,487
2016,Број,homes_for_children_and_youth_without_parental_care,Ж,483
2016,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,2742
2016,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1668
2016,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,1074
2016,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,213
2016,Број,social_welfare_institutions_for_adults_with_disabilities,M,141
2016,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,72
2016,Број,social_welfare_institutions_for_adults,Оба пола,5324
2016,Број,social_welfare_institutions_for_adults,M,2159
2016,Број,social_welfare_institutions_for_adults,Ж,3165
2017,Број,_T,Оба пола,9800
2017,Број,_T,M,4489
2017,Број,_T,Ж,5311
2017,Број,homes_for_children_and_youth_without_parental_care,Оба пола,1070
2017,Број,homes_for_children_and_youth_without_parental_care,M,538
2017,Број,homes_for_children_and_youth_without_parental_care,Ж,532
2017,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,2748
2017,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1643
2017,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,1105
2017,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,204
2017,Број,social_welfare_institutions_for_adults_with_disabilities,M,121
2017,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,83
2017,Број,social_welfare_institutions_for_adults,Оба пола,5778
2017,Број,social_welfare_institutions_for_adults,M,2187
2017,Број,social_welfare_institutions_for_adults,Ж,3591
2018,Број,_T,Оба пола,10232
2018,Број,_T,M,4710
2018,Број,_T,Ж,5522
2018,Број,homes_for_children_and_youth_without_parental_care,Оба пола,965
2018,Број,homes_for_children_and_youth_without_parental_care,M,476
2018,Број,homes_for_children_and_youth_without_parental_care,Ж,489
2018,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,2776
2018,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1682
2018,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,1094
2018,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,207
2018,Број,social_welfare_institutions_for_adults_with_disabilities,M,116
2018,Број,social_welfare_institutions_for_adults_with_disabilities,Ж,91
2018,Број,social_welfare_institutions_for_adults,Оба пола,6284
2018,Број,social_welfare_institutions_for_adults,M,2436
2018,Број,social_welfare_institutions_for_adults,Ж,3848
2019,Број,_T,Оба пола,11443
2019,Број,_T,M,4968
2019,Број,_T,Ж,6475
2019,Број,homes_for_children_and_youth_without_parental_care,Оба пола,1121
2019,Број,homes_for_children_and_youth_without_parental_care,M,607
2019,Број,homes_for_children_and_youth_without_parental_care,Ж,514
2019,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Оба пола,2586
2019,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1538
2019,Број,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ж,1048
2019,Број,social_welfare_institutions_for_adults_with_disabilities,Оба пола,283
