Year,Ентитет,UNIT_MEASURE,Пол,Value
1998,BiH,Старост,Оба пола,66.1
1999,BiH,Старост,Оба пола,66.6
2000,BiH,Старост,Оба пола,66.8
2001,BiH,Старост,Оба пола,67.2
2002,BiH,Старост,Оба пола,67.8
2003,BiH,Старост,Оба пола,68.4
2004,BiH,Старост,Оба пола,68.9
2005,BiH,Старост,Оба пола,69.3
2006,BiH,Старост,Оба пола,69.4
2007,BiH,Старост,Оба пола,69.6
2008,BiH,Старост,Оба пола,70.2
2009,BiH,Старост,Оба пола,70.8
2010,BiH,Старост,Оба пола,71.6
2011,BiH,Старост,Оба пола,72.1
2012,BiH,Старост,Оба пола,72.5
2013,BiH,Старост,Оба пола,72.7
2014,BiH,Старост,Оба пола,73.0
2015,BiH,Старост,Оба пола,73.4
2016,BiH,Старост,Оба пола,73.4
2017,BiH,Старост,Оба пола,73.9
2018,BiH,Старост,Оба пола,74.1
2019,BiH,Старост,Оба пола,74.1
2003,BiH,Старост,Мушкарци,31.6
2004,BiH,Старост,Мушкарци,48.0
2009,BiH,Старост,Мушкарци,63.3
2010,BiH,Старост,Мушкарци,64.0
2011,BiH,Старост,Мушкарци,64.2
2012,BiH,Старост,Мушкарци,64.6
2013,BiH,Старост,Мушкарци,65.0
2014,BiH,Старост,Мушкарци,65.8
2015,BiH,Старост,Мушкарци,66.3
2016,BiH,Старост,Мушкарци,66.8
2017,BiH,Старост,Мушкарци,66.8
2018,BiH,Старост,Мушкарци,66.9
2019,BiH,Старост,Мушкарци,67.4
1961,BiH,Старост,Мушкарци,68.1
1971,BiH,Старост,Мушкарци,68.9
1981,BiH,Старост,Мушкарци,69.4
1991,BiH,Старост,Мушкарци,69.8
1996,BiH,Старост,Мушкарци,70.0
1997,BiH,Старост,Мушкарци,70.4
1998,BiH,Старост,Мушкарци,70.7
1999,BiH,Старост,Мушкарци,70.7
2000,BiH,Старост,Мушкарци,71.2
2001,BiH,Старост,Мушкарци,71.4
2002,BiH,Старост,Мушкарци,71.5
2003,BiH,Старост,Жене,34.5
2004,BiH,Старост,Жене,51.6
2009,BiH,Старост,Жене,69.2
2010,BiH,Старост,Жене,69.5
2011,BiH,Старост,Жене,69.7
2012,BiH,Старост,Жене,70.2
2013,BiH,Старост,Жене,70.7
2014,BiH,Старост,Жене,71.2
2015,BiH,Старост,Жене,71.7
2016,BiH,Старост,Жене,72.2
2017,BiH,Старост,Жене,72.2
2018,BiH,Старост,Жене,72.5
2019,BiH,Старост,Жене,73.3
2003,BiH,Старост,Жене,73.6
2004,BiH,Старост,Жене,74.5
2005,BiH,Старост,Жене,75.0
2006,BiH,Старост,Жене,75.3
2007,BiH,Старост,Жене,75.5
2008,BiH,Старост,Жене,75.8
2009,BiH,Старост,Жене,76.1
2010,BiH,Старост,Жене,76.2
2011,BiH,Старост,Жене,76.5
2012,BiH,Старост,Жене,76.8
2013,BiH,Старост,Жене,76.9
1997,Федерација БиХ,Старост,Оба пола,64.3
1998,Федерација БиХ,Старост,Оба пола,63.8
