Year,Пол,UNIT_MEASURE,Ethnicity_national_affiliation,Value
2013,Оба пола,Број,Bosniak,1769592
2013,Оба пола,Број,Serb,1086733
2013,Оба пола,Број,Croat ,544780
2013,Оба пола,Број,Bosnian,37110
2013,Оба пола,Број,Romani,12583
2013,Оба пола,Број,Muslim,12121
2013,Оба пола,Број,Bosnian_and_Herzegovinian,11406
2013,Оба пола,Број,Albanian,2659
2013,Оба пола,Број,Yugoslav,2570
2013,Оба пола,Број,Ukrainian,2331
2013,Оба пола,Број,Montenegrin,1883
2013,Оба пола,Број,Turk,1108
2013,Оба пола,Број,Slovenian,937
2013,Оба пола,Број,Orthodox,826
2013,Оба пола,Број,Macedonian ,738
2013,Оба пола,Број,Others,10267
2013,Оба пола,Број,Undeclared,27055
2013,Оба пола,Број,Unknown,6460
2013,M,Број,Bosniak,867492
2013,M,Број,Serb,534030
2013,M,Број,Croat ,267789
2013,M,Број,Bosnian,18135
2013,M,Број,Romani,6511
2013,M,Број,Muslim,5888
2013,M,Број,Bosnian_and_Herzegovinian,5663
2013,M,Број,Albanian,1646
2013,M,Број,Yugoslav,1350
2013,M,Број,Ukrainian,1146
2013,M,Број,Montenegrin,953
2013,M,Број,Turk,738
2013,M,Број,Slovenian,366
2013,M,Број,Orthodox,376
2013,M,Број,Macedonian ,351
2013,M,Број,Others,5171
2013,M,Број,Undeclared,11503
2013,M,Број,Unknown,3162
2013,Ж,Број,Bosniak,902100
2013,Ж,Број,Serb,552703
2013,Ж,Број,Croat ,276991
2013,Ж,Број,Bosnian,18975
2013,Ж,Број,Romani,6072
2013,Ж,Број,Muslim,6233
2013,Ж,Број,Bosnian_and_Herzegovinian,5743
2013,Ж,Број,Albanian,1013
2013,Ж,Број,Yugoslav,1220
2013,Ж,Број,Ukrainian,1185
2013,Ж,Број,Montenegrin,930
2013,Ж,Број,Turk,370
2013,Ж,Број,Slovenian,571
2013,Ж,Број,Orthodox,450
2013,Ж,Број,Macedonian ,387
2013,Ж,Број,Others,5096
2013,Ж,Број,Undeclared,15552
2013,Ж,Број,Unknown,3298
