Year,Пол,Административно подручје,UNIT_MEASURE,Value
1996,Оба пола,BiH,Број,653
1997,Оба пола,BiH,Број,601
1998,Оба пола,BiH,Број,494
1999,Оба пола,BiH,Број,431
2000,Оба пола,BiH,Број,383
2001,Оба пола,BiH,Број,287
2002,Оба пола,BiH,Број,334
2003,Оба пола,BiH,Број,268
2004,Оба пола,BiH,Број,253
2005,Оба пола,BiH,Број,233
2006,Оба пола,BiH,Број,255
2007,Оба пола,BiH,Број,231
2008,Оба пола,BiH,Број,235
2009,Оба пола,BiH,Број,224
2010,Оба пола,BiH,Број,216
2011,Оба пола,BiH,Број,184
2012,Оба пола,BiH,Број,177
2013,Оба пола,BiH,Број,181
2014,Оба пола,BiH,Број,156
2015,Оба пола,BiH,Број,182
2016,Оба пола,BiH,Број,178
2017,Оба пола,BiH,Број,196
2018,Оба пола,BiH,Број,183
2019,Оба пола,BiH,Број,190
1996,M,BiH,Број,360
1997,M,BiH,Број,369
1998,M,BiH,Број,302
1999,M,BiH,Број,242
2000,M,BiH,Број,220
2001,M,BiH,Број,159
2002,M,BiH,Број,191
2003,M,BiH,Број,154
2004,M,BiH,Број,151
2005,M,BiH,Број,133
2006,M,BiH,Број,158
2007,M,BiH,Број,132
2008,M,BiH,Број,131
2009,M,BiH,Број,116
2010,M,BiH,Број,125
2011,M,BiH,Број,111
2012,M,BiH,Број,111
2013,M,BiH,Број,109
2014,M,BiH,Број,74
2015,M,BiH,Број,94
2016,M,BiH,Број,111
2017,M,BiH,Број,105
2018,M,BiH,Број,91
2019,M,BiH,Број,102
1996,Ж,BiH,Број,293
1997,Ж,BiH,Број,232
1998,Ж,BiH,Број,192
1999,Ж,BiH,Број,189
2000,Ж,BiH,Број,163
2001,Ж,BiH,Број,128
2002,Ж,BiH,Број,143
2003,Ж,BiH,Број,114
2004,Ж,BiH,Број,102
2005,Ж,BiH,Број,100
2006,Ж,BiH,Број,97
2007,Ж,BiH,Број,99
2008,Ж,BiH,Број,104
2009,Ж,BiH,Број,108
2010,Ж,BiH,Број,91
2011,Ж,BiH,Број,73
2012,Ж,BiH,Број,66
2013,Ж,BiH,Број,72
2014,Ж,BiH,Број,82
2015,Ж,BiH,Број,88
2016,Ж,BiH,Број,67
2017,Ж,BiH,Број,91
2018,Ж,BiH,Број,92
2019,Ж,BiH,Број,88
1997,Оба пола,Федерација БиХ,Број,445
1998,Оба пола,Федерација БиХ,Број,382
1999,Оба пола,Федерација БиХ,Број,312
2000,Оба пола,Федерација БиХ,Број,280
2001,Оба пола,Федерација БиХ,Број,214
2002,Оба пола,Федерација БиХ,Број,245
2003,Оба пола,Федерација БиХ,Број,202
2004,Оба пола,Федерација БиХ,Број,190
2005,Оба пола,Федерација БиХ,Број,194
2006,Оба пола,Федерација БиХ,Број,205
2007,Оба пола,Федерација БиХ,Број,193
2008,Оба пола,Федерација БиХ,Број,194
2009,Оба пола,Федерација БиХ,Број,173
2010,Оба пола,Федерација БиХ,Број,172
2011,Оба пола,Федерација БиХ,Број,141
2012,Оба пола,Федерација БиХ,Број,139
2013,Оба пола,Федерација БиХ,Број,148
2014,Оба пола,Федерација БиХ,Број,127
2015,Оба пола,Федерација БиХ,Број,154
2016,Оба пола,Федерација БиХ,Број,147
2017,Оба пола,Федерација БиХ,Број,162
2018,Оба пола,Федерација БиХ,Број,158
2019,Оба пола,Федерација БиХ,Број,167
1997,M,Федерација БиХ,Број,276
1998,M,Федерација БиХ,Број,235
1999,M,Федерација БиХ,Број,174
2000,M,Федерација БиХ,Број,163
2001,M,Федерација БиХ,Број,118
2002,M,Федерација БиХ,Број,138
2003,M,Федерација БиХ,Број,122
2004,M,Федерација БиХ,Број,107
2005,M,Федерација БиХ,Број,113
2006,M,Федерација БиХ,Број,127
2007,M,Федерација БиХ,Број,114
2008,M,Федерација БиХ,Број,110
2009,M,Федерација БиХ,Број,87
2010,M,Федерација БиХ,Број,105
2011,M,Федерација БиХ,Број,85
2012,M,Федерација БиХ,Број,85
2013,M,Федерација БиХ,Број,88
2014,M,Федерација БиХ,Број,63
2015,M,Федерација БиХ,Број,84
2016,M,Федерација БиХ,Број,87
2017,M,Федерација БиХ,Број,87
2018,M,Федерација БиХ,Број,81
2019,M,Федерација БиХ,Број,89
1997,Ж,Федерација БиХ,Број,169
1998,Ж,Федерација БиХ,Број,147
1999,Ж,Федерација БиХ,Број,138
2000,Ж,Федерација БиХ,Број,117
2001,Ж,Федерација БиХ,Број,96
2002,Ж,Федерација БиХ,Број,107
2003,Ж,Федерација БиХ,Број,80
2004,Ж,Федерација БиХ,Број,83
2005,Ж,Федерација БиХ,Број,81
2006,Ж,Федерација БиХ,Број,78
2007,Ж,Федерација БиХ,Број,79
2008,Ж,Федерација БиХ,Број,84
2009,Ж,Федерација БиХ,Број,86
2010,Ж,Федерација БиХ,Број,67
2011,Ж,Федерација БиХ,Број,56
2012,Ж,Федерација БиХ,Број,54
2013,Ж,Федерација БиХ,Број,60
2014,Ж,Федерација БиХ,Број,64
2015,Ж,Федерација БиХ,Број,70
2016,Ж,Федерација БиХ,Број,60
2017,Ж,Федерација БиХ,Број,75
2018,Ж,Федерација БиХ,Број,77
2019,Ж,Федерација БиХ,Број,78
1996,Оба пола,Република Српска,Број,179
1997,Оба пола,Република Српска,Број,156
1998,Оба пола,Република Српска,Број,112
1999,Оба пола,Република Српска,Број,119
2000,Оба пола,Република Српска,Број,103
2001,Оба пола,Република Српска,Број,73
2002,Оба пола,Република Српска,Број,89
2003,Оба пола,Република Српска,Број,64
2004,Оба пола,Република Српска,Број,61
2005,Оба пола,Република Српска,Број,37
2006,Оба пола,Република Српска,Број,50
2007,Оба пола,Република Српска,Број,38
2008,Оба пола,Република Српска,Број,40
2009,Оба пола,Република Српска,Број,51
2010,Оба пола,Република Српска,Број,44
2011,Оба пола,Република Српска,Број,43
2012,Оба пола,Република Српска,Број,37
2013,Оба пола,Република Српска,Број,33
2014,Оба пола,Република Српска,Број,29
2015,Оба пола,Република Српска,Број,26
2016,Оба пола,Република Српска,Број,23
2017,Оба пола,Република Српска,Број,26
2018,Оба пола,Република Српска,Број,17
2019,Оба пола,Република Српска,Број,15
1996,M,Република Српска,Број,99
1997,M,Република Српска,Број,93
1998,M,Република Српска,Број,67
1999,M,Република Српска,Број,68
2000,M,Република Српска,Број,57
2001,M,Република Српска,Број,41
2002,M,Република Српска,Број,53
2003,M,Република Српска,Број,32
2004,M,Република Српска,Број,43
2005,M,Република Српска,Број,20
2006,M,Република Српска,Број,31
2007,M,Република Српска,Број,18
2008,M,Република Српска,Број,20
2009,M,Република Српска,Број,29
2010,M,Република Српска,Број,20
2011,M,Република Српска,Број,26
2012,M,Република Српска,Број,25
2013,M,Република Српска,Број,21
2014,M,Република Српска,Број,11
2015,M,Република Српска,Број,9
2016,M,Република Српска,Број,17
2017,M,Република Српска,Број,13
2018,M,Република Српска,Број,7
2019,M,Република Српска,Број,7
1996,Ж,Република Српска,Број,80
1997,Ж,Република Српска,Број,63
1998,Ж,Република Српска,Број,45
1999,Ж,Република Српска,Број,51
2000,Ж,Република Српска,Број,46
2001,Ж,Република Српска,Број,32
2002,Ж,Република Српска,Број,36
2003,Ж,Република Српска,Број,32
2004,Ж,Република Српска,Број,18
2005,Ж,Република Српска,Број,17
2006,Ж,Република Српска,Број,19
2007,Ж,Република Српска,Број,20
2008,Ж,Република Српска,Број,20
2009,Ж,Република Српска,Број,22
2010,Ж,Република Српска,Број,24
2011,Ж,Република Српска,Број,17
2012,Ж,Република Српска,Број,12
2013,Ж,Република Српска,Број,12
2014,Ж,Република Српска,Број,18
2015,Ж,Република Српска,Број,17
2016,Ж,Република Српска,Број,6
2017,Ж,Република Српска,Број,13
2018,Ж,Република Српска,Број,10
2019,Ж,Република Српска,Број,8
2004,Оба пола,Брчко дистрикт БиХ,Број,0
2005,Оба пола,Брчко дистрикт БиХ,Број,0
2006,Оба пола,Брчко дистрикт БиХ,Број,0
2007,Оба пола,Брчко дистрикт БиХ,Број,0
2008,Оба пола,Брчко дистрикт БиХ,Број,0
2009,Оба пола,Брчко дистрикт БиХ,Број,0
2010,Оба пола,Брчко дистрикт БиХ,Број,0
2011,Оба пола,Брчко дистрикт БиХ,Број,0
2012,Оба пола,Брчко дистрикт БиХ,Број,0
2013,Оба пола,Брчко дистрикт БиХ,Број,0
2014,Оба пола,Брчко дистрикт БиХ,Број,0
2015,Оба пола,Брчко дистрикт БиХ,Број,0
2016,Оба пола,Брчко дистрикт БиХ,Број,0
2017,Оба пола,Брчко дистрикт БиХ,Број,0
2018,Оба пола,Брчко дистрикт БиХ,Број,0
2019,Оба пола,Брчко дистрикт БиХ,Број,0
2004,M,Брчко дистрикт БиХ,Број,0
2005,M,Брчко дистрикт БиХ,Број,0
2006,M,Брчко дистрикт БиХ,Број,0
2007,M,Брчко дистрикт БиХ,Број,0
2008,M,Брчко дистрикт БиХ,Број,0
2009,M,Брчко дистрикт БиХ,Број,0
2010,M,Брчко дистрикт БиХ,Број,0
2011,M,Брчко дистрикт БиХ,Број,0
2012,M,Брчко дистрикт БиХ,Број,0
2013,M,Брчко дистрикт БиХ,Број,0
2014,M,Брчко дистрикт БиХ,Број,0
2015,M,Брчко дистрикт БиХ,Број,0
2016,M,Брчко дистрикт БиХ,Број,0
2017,M,Брчко дистрикт БиХ,Број,0
2018,M,Брчко дистрикт БиХ,Број,0
2019,M,Брчко дистрикт БиХ,Број,0
2004,Ж,Брчко дистрикт БиХ,Број,0
2005,Ж,Брчко дистрикт БиХ,Број,0
2006,Ж,Брчко дистрикт БиХ,Број,0
2007,Ж,Брчко дистрикт БиХ,Број,0
2008,Ж,Брчко дистрикт БиХ,Број,0
2009,Ж,Брчко дистрикт БиХ,Број,0
2010,Ж,Брчко дистрикт БиХ,Број,0
2011,Ж,Брчко дистрикт БиХ,Број,0
2012,Ж,Брчко дистрикт БиХ,Број,0
2013,Ж,Брчко дистрикт БиХ,Број,0
2014,Ж,Брчко дистрикт БиХ,Број,0
2015,Ж,Брчко дистрикт БиХ,Број,0
2016,Ж,Брчко дистрикт БиХ,Број,0
2017,Ж,Брчко дистрикт БиХ,Број,0
2018,Ж,Брчко дистрикт БиХ,Број,0
2019,Ж,Брчко дистрикт БиХ,Број,0
