Year,Пол,UNIT_MEASURE,Value
2020,Оба пола,_%,10.9
2025,Оба пола,_%,11.9
2030,Оба пола,_%,13.1
2035,Оба пола,_%,14.5
2040,Оба пола,_%,16.0
2045,Оба пола,_%,17.5
2050,Оба пола,_%,18.8
2055,Оба пола,_%,19.8
2060,Оба пола,_%,20.7
2065,Оба пола,_%,21.5
2070,Оба пола,_%,22.2
2020,Мушкарци,_%,11.4
2025,Мушкарци,_%,12.5
2030,Мушкарци,_%,13.8
2035,Мушкарци,_%,15.3
2040,Мушкарци,_%,16.9
2045,Мушкарци,_%,18.5
2050,Мушкарци,_%,19.8
2055,Мушкарци,_%,20.9
2060,Мушкарци,_%,21.9
2065,Мушкарци,_%,22.6
2070,Мушкарци,_%,23.1
2020,Жене,_%,10.52
2025,Жене,_%,11.42
2030,Жене,_%,12.48
2035,Жене,_%,13.75
2040,Жене,_%,15.19
2045,Жене,_%,16.66
2050,Жене,_%,17.9
2055,Жене,_%,18.93
2060,Жене,_%,19.79
2065,Жене,_%,20.64
2070,Жене,_%,21.5
