Year,UNIT_MEASURE,Ентитет,Value
1999,Број,Република Српска,3401.0
2000,Број,Република Српска,3508.0
2001,Број,Република Српска,3689.0
2002,Број,Република Српска,3815.0
2003,Број,Република Српска,3636.0
2004,Број,Република Српска,3316.0
2005,Број,Република Српска,3625.11
2006,Број,Република Српска,3091.45
2007,Број,FBiH,4656.72
2007,Број,Република Српска,2680.96
2008,Број,FBiH,4654.39
2008,Број,Република Српска,2465.66
2009,Број,FBiH,4416.16
2009,Број,Република Српска,2281.68
2010,Број,FBiH,4219.6
2010,Број,Република Српска,2187.84
2011,Број,FBiH,4531.53
2011,Број,Република Српска,2156.36
2012,Број,FBiH,3943.13
2012,Број,Република Српска,2098.81
2013,Број,FBiH,3514.59
2013,Број,Република Српска,2081.09
2014,Број,FBiH,3482.45
2014,Број,Република Српска,2074.91
2015,Број,FBiH,3468.57
2015,Број,Република Српска,1704.05
2016,Број,FBiH,3263.66
2016,Број,Република Српска,1651.24
2017,Број,FBiH,2994.82
2017,Број,Република Српска,1723.49
2018,Број,FBiH,2752.17
2018,Број,Република Српска,1713.29
2019,Број,FBiH,2508.7
2018,Број,Брчко Дистрикт БиХ,2774.47
