Year,UNIT_MEASURE,Административно подручје,Value
1971,Број на 1000 бракова,BiH,88.2
1981,Број на 1000 бракова,BiH,93.3
1991,Број на 1000 бракова,BiH,56.3
1997,Број на 1000 бракова,BiH,79.0
1998,Број на 1000 бракова,BiH,87.7
1999,Број на 1000 бракова,BiH,88.8
2000,Број на 1000 бракова,BiH,88.1
2001,Број на 1000 бракова,BiH,104.7
2002,Број на 1000 бракова,BiH,112.9
2003,Број на 1000 бракова,BiH,92.5
2004,Број на 1000 бракова,BiH,68.4
2005,Број на 1000 бракова,BiH,81.3
2006,Број на 1000 бракова,BiH,77.2
2007,Број на 1000 бракова,BiH,77.7
2008,Број на 1000 бракова,BiH,61.8
2009,Број на 1000 бракова,BiH,68.0
2010,Број на 1000 бракова,BiH,85.8
2011,Број на 1000 бракова,BiH,120.5
2012,Број на 1000 бракова,BiH,125.8
2013,Број на 1000 бракова,BiH,148.1
2014,Број на 1000 бракова,BiH,144.1
2015,Број на 1000 бракова,BiH,150.5
2016,Број на 1000 бракова,BiH,143.9
2017,Број на 1000 бракова,BiH,151.3
2018,Број на 1000 бракова,BiH,155.2
2019,Број на 1000 бракова,BiH,147.2
1996,Број на 1000 бракова,Федерација БиХ,25.7
1997,Број на 1000 бракова,Федерација БиХ,68.4
1998,Број на 1000 бракова,Федерација БиХ,77.9
1999,Број на 1000 бракова,Федерација БиХ,84.1
2000,Број на 1000 бракова,Федерација БиХ,84.9
2001,Број на 1000 бракова,Федерација БиХ,100.8
2002,Број на 1000 бракова,Федерација БиХ,110.5
2003,Број на 1000 бракова,Федерација БиХ,89.6
2004,Број на 1000 бракова,Федерација БиХ,62.6
2005,Број на 1000 бракова,Федерација БиХ,70.9
2006,Број на 1000 бракова,Федерација БиХ,71.7
2007,Број на 1000 бракова,Федерација БиХ,69.6
2008,Број на 1000 бракова,Федерација БиХ,62.9
2009,Број на 1000 бракова,Федерација БиХ,58.9
2010,Број на 1000 бракова,Федерација БиХ,76.5
2011,Број на 1000 бракова,Федерација БиХ,97.0
2012,Број на 1000 бракова,Федерација БиХ,97.5
2013,Број на 1000 бракова,Федерација БиХ,119.8
2014,Број на 1000 бракова,Федерација БиХ,110.2
2015,Број на 1000 бракова,Федерација БиХ,115.8
2016,Број на 1000 бракова,Федерација БиХ,113.0
2017,Број на 1000 бракова,Федерација БиХ,132.8
2018,Број на 1000 бракова,Федерација БиХ,139.6
2019,Број на 1000 бракова,Федерација БиХ,136.4
1997,Број на 1000 бракова,Република Српска,95.1
1998,Број на 1000 бракова,Република Српска,102.1
1999,Број на 1000 бракова,Република Српска,93.5
2000,Број на 1000 бракова,Република Српска,92.6
2001,Број на 1000 бракова,Република Српска,115.6
2002,Број на 1000 бракова,Република Српска,117.2
2003,Број на 1000 бракова,Република Српска,109.9
2004,Број на 1000 бракова,Република Српска,89.2
2005,Број на 1000 бракова,Република Српска,105.9
2006,Број на 1000 бракова,Република Српска,76.7
2007,Број на 1000 бракова,Република Српска,84.0
2008,Број на 1000 бракова,Република Српска,49.5
2009,Број на 1000 бракова,Република Српска,74.2
2010,Број на 1000 бракова,Република Српска,89.6
2011,Број на 1000 бракова,Република Српска,152.7
2012,Број на 1000 бракова,Република Српска,164.9
2013,Број на 1000 бракова,Република Српска,192.4
2014,Број на 1000 бракова,Република Српска,189.9
2015,Број на 1000 бракова,Република Српска,193.9
2016,Број на 1000 бракова,Република Српска,184.3
2017,Број на 1000 бракова,Република Српска,165.4
2018,Број на 1000 бракова,Република Српска,161.4
2019,Број на 1000 бракова,Република Српска,158.0
2002,Број на 1000 бракова,Брчко дистрикт БиХ,90.1
2003,Број на 1000 бракова,Брчко дистрикт БиХ,122.1
2004,Број на 1000 бракова,Брчко дистрикт БиХ,122.8
2005,Број на 1000 бракова,Брчко дистрикт БиХ,127.1
2006,Број на 1000 бракова,Брчко дистрикт БиХ,135.2
2007,Број на 1000 бракова,Брчко дистрикт БиХ,132.0
2008,Број на 1000 бракова,Брчко дистрикт БиХ,120.6
2009,Број на 1000 бракова,Брчко дистрикт БиХ,207.5
2010,Број на 1000 бракова,Брчко дистрикт БиХ,249.2
2011,Број на 1000 бракова,Брчко дистрикт БиХ,324.6
2012,Број на 1000 бракова,Брчко дистрикт БиХ,335.7
2013,Број на 1000 бракова,Брчко дистрикт БиХ,307.1
2014,Број на 1000 бракова,Брчко дистрикт БиХ,378.6
2015,Број на 1000 бракова,Брчко дистрикт БиХ,464.2
2016,Број на 1000 бракова,Брчко дистрикт БиХ,442.6
2017,Број на 1000 бракова,Брчко дистрикт БиХ,410.9
2018,Број на 1000 бракова,Брчко дистрикт БиХ,471.5
2019,Број на 1000 бракова,Брчко дистрикт БиХ,312.2
