Year,Пол,UNIT_MEASURE,Value
2020,Оба пола,number_birth_rate,8.6
2025,Оба пола,number_birth_rate,8.0
2030,Оба пола,number_birth_rate,7.4
2035,Оба пола,number_birth_rate,6.9
2040,Оба пола,number_birth_rate,6.7
2045,Оба пола,number_birth_rate,6.5
2050,Оба пола,number_birth_rate,6.4
2055,Оба пола,number_birth_rate,6.4
2060,Оба пола,number_birth_rate,6.3
2065,Оба пола,number_birth_rate,6.2
2070,Оба пола,number_birth_rate,6.2
2020,Мушкарци,number_birth_rate,9.06
2025,Мушкарци,number_birth_rate,8.49
2030,Мушкарци,number_birth_rate,7.92
2035,Мушкарци,number_birth_rate,7.47
2040,Мушкарци,number_birth_rate,7.29
2045,Мушкарци,number_birth_rate,7.22
2050,Мушкарци,number_birth_rate,7.19
2055,Мушкарци,number_birth_rate,7.16
2060,Мушкарци,number_birth_rate,7.11
2065,Мушкарци,number_birth_rate,7.08
2070,Мушкарци,number_birth_rate,7.12
2020,Жене,number_birth_rate,8.16
2025,Жене,number_birth_rate,7.5
2030,Жене,number_birth_rate,6.86
2035,Жене,number_birth_rate,6.35
2040,Жене,number_birth_rate,6.1
2045,Жене,number_birth_rate,5.94
2050,Жене,number_birth_rate,5.81
2055,Жене,number_birth_rate,5.69
2060,Жене,number_birth_rate,5.56
2065,Жене,number_birth_rate,5.45
2070,Жене,number_birth_rate,5.41
