Year,UNIT_MEASURE,Пол,Ентитет,Value
2004,%,Оба пола,BiH,37.8
2007,%,Оба пола,BiH,38.3
2011,%,Оба пола,BiH,39.7
2013,%,Оба пола,BiH,39.5
2015,%,Оба пола,BiH,41.9
2004,%,Оба пола,Федерација БиХ,36.4
2007,%,Оба пола,Федерација БиХ,37.0
2011,%,Оба пола,Федерација БиХ,38.5
2013,%,Оба пола,Федерација БиХ,38.5
2015,%,Оба пола,Федерација БиХ,40.7
2004,%,Оба пола,Република Српска,40.1
2007,%,Оба пола,Република Српска,40.8
2011,%,Оба пола,Република Српска,42.0
2013,%,Оба пола,Република Српска,41.4
2015,%,Оба пола,Република Српска,44.4
2004,%,Оба пола,Брчко Дистрикт БиХ,38.3
2007,%,Оба пола,Брчко Дистрикт БиХ,39.5
2011,%,Оба пола,Брчко Дистрикт БиХ,40.4
2013,%,Оба пола,Брчко Дистрикт БиХ,39.7
2015,%,Оба пола,Брчко Дистрикт БиХ,40.8
2004,%,Мушкарци,BiH,36.8
2007,%,Мушкарци,BiH,37.2
2011,%,Мушкарци,BiH,38.6
2013,%,Мушкарци,BiH,38.2
2015,%,Мушкарци,BiH,40.5
2004,%,Мушкарци,Федерација БиХ,35.6
2007,%,Мушкарци,Федерација БиХ,35.8
2011,%,Мушкарци,Федерација БиХ,37.6
2013,%,Мушкарци,Федерација БиХ,37.2
2015,%,Мушкарци,Федерација БиХ,39.2
2004,%,Мушкарци,Република Српска,39.0
2007,%,Мушкарци,Република Српска,39.6
2011,%,Мушкарци,Република Српска,40.5
2013,%,Мушкарци,Република Српска,40.0
2015,%,Мушкарци,Република Српска,43.0
2004,%,Мушкарци,Брчко Дистрикт БиХ,37.2
2007,%,Мушкарци,Брчко Дистрикт БиХ,38.7
2011,%,Мушкарци,Брчко Дистрикт БиХ,39.2
2013,%,Мушкарци,Брчко Дистрикт БиХ,38.4
2015,%,Мушкарци,Брчко Дистрикт БиХ,39.8
2004,%,Жене,BiH,38.7
2007,%,Жене,BiH,39.4
2011,%,Жене,BiH,40.8
2013,%,Жене,BiH,40.7
2015,%,Жене,BiH,43.3
2004,%,Жене,Федерација БиХ,37.2
2007,%,Жене,Федерација БиХ,38.1
2011,%,Жене,Федерација БиХ,39.4
2013,%,Жене,Федерација БиХ,39.7
2015,%,Жене,Федерација БиХ,42.2
2004,%,Жене,Република Српска,41.1
2007,%,Жене,Република Српска,42.0
2011,%,Жене,Република Српска,43.6
2013,%,Жене,Република Српска,42.7
2015,%,Жене,Република Српска,45.7
2004,%,Жене,Брчко Дистрикт БиХ,39.3
2007,%,Жене,Брчко Дистрикт БиХ,40.2
2011,%,Жене,Брчко Дистрикт БиХ,41.7
2013,%,Жене,Брчко Дистрикт БиХ,40.9
2015,%,Жене,Брчко Дистрикт БиХ,41.7
