Year,Ентитет,Године,UNIT_MEASURE,Year.1,Value
1997,Федерација БиХ,13 - 14,Број,1997,11
1997,Федерација БиХ,15 - 19,Број,1997,3128
1997,Република Српска,13 - 14,Број,1997,0
1997,Република Српска,15 - 19,Број,1997,0
1997,Брчко Дистрикт БиХ,13 - 14,Број,1997,0
1997,Брчко Дистрикт БиХ,15 - 19,Број,1997,0
1997,BiH,13 - 14,Број,1997,11
1997,BiH,15 - 19,Број,1997,3128
1998,Федерација БиХ,13 - 14,Број,1998,2
1998,Федерација БиХ,15 - 19,Број,1998,2395
1998,Република Српска,13 - 14,Број,1998,0
1998,Република Српска,15 - 19,Број,1998,796
1998,Брчко Дистрикт БиХ,13 - 14,Број,1998,0
1998,Брчко Дистрикт БиХ,15 - 19,Број,1998,0
1998,BiH,13 - 14,Број,1998,2
1998,BiH,15 - 19,Број,1998,3191
1999,Федерација БиХ,13 - 14,Број,1999,0
1999,Федерација БиХ,15 - 19,Број,1999,2073
1999,Република Српска,13 - 14,Број,1999,1
1999,Република Српска,15 - 19,Број,1999,907
1999,Брчко Дистрикт БиХ,13 - 14,Број,1999,0
1999,Брчко Дистрикт БиХ,15 - 19,Број,1999,0
1999,BiH,13 - 14,Број,1999,1
1999,BiH,15 - 19,Број,1999,2980
2000,Федерација БиХ,13 - 14,Број,2000,3
2000,Федерација БиХ,15 - 19,Број,2000,1806
2000,Република Српска,13 - 14,Број,2000,1
2000,Република Српска,15 - 19,Број,2000,722
2000,Брчко Дистрикт БиХ,13 - 14,Број,2000,0
2000,Брчко Дистрикт БиХ,15 - 19,Број,2000,0
2000,BiH,13 - 14,Број,2000,4
2000,BiH,15 - 19,Број,2000,2528
2001,Федерација БиХ,13 - 14,Број,2001,13
2001,Федерација БиХ,15 - 19,Број,2001,1679
2001,Република Српска,13 - 14,Број,2001,2
2001,Република Српска,15 - 19,Број,2001,938
2001,Брчко Дистрикт БиХ,13 - 14,Број,2001,0
2001,Брчко Дистрикт БиХ,15 - 19,Број,2001,0
2001,BiH,13 - 14,Број,2001,15
2001,BiH,15 - 19,Број,2001,2617
2002,Федерација БиХ,13 - 14,Број,2002,10
2002,Федерација БиХ,15 - 19,Број,2002,1561
2002,Република Српска,13 - 14,Број,2002,4
2002,Република Српска,15 - 19,Број,2002,787
2002,Брчко Дистрикт БиХ,13 - 14,Број,2002,0
2002,Брчко Дистрикт БиХ,15 - 19,Број,2002,0
2002,BiH,13 - 14,Број,2002,14
2002,BiH,15 - 19,Број,2002,2348
2003,Федерација БиХ,13 - 14,Број,2003,9
2003,Федерација БиХ,15 - 19,Број,2003,1457
2003,Република Српска,13 - 14,Број,2003,0
2003,Република Српска,15 - 19,Број,2003,688
