Year,UNIT_MEASURE,Ентитет,Value
1971,Старост,BiH,22.2
1981,Старост,BiH,23.0
2004,Старост,BiH,24.34
2005,Старост,BiH,24.41
2006,Старост,BiH,24.51
2007,Старост,BiH,24.76
2008,Старост,BiH,24.94
2009,Старост,BiH,25.25
2010,Старост,BiH,25.87
2011,Старост,BiH,26.25
2012,Старост,BiH,26.45
2013,Старост,BiH,26.69
2014,Старост,BiH,26.97
2015,Старост,BiH,27.17
2016,Старост,BiH,26.96
2017,Старост,BiH,27.28
2018,Старост,BiH,27.4
2019,Старост,BiH,27.68
1996,Старост,Федерација БиХ,23.6
1997,Старост,Федерација БиХ,23.5
1998,Старост,Федерација БиХ,23.9
1999,Старост,Федерација БиХ,24.2
2000,Старост,Федерација БиХ,24.2
2001,Старост,Федерација БиХ,24.2
2002,Старост,Федерација БиХ,24.2
2003,Старост,Федерација БиХ,24.3
2004,Старост,Федерација БиХ,24.5
2005,Старост,Федерација БиХ,24.5
2006,Старост,Федерација БиХ,24.6
2007,Старост,Федерација БиХ,24.8
2008,Старост,Федерација БиХ,24.9
2009,Старост,Федерација БиХ,25.1
2010,Старост,Федерација БиХ,25.4
2011,Старост,Федерација БиХ,25.6
2012,Старост,Федерација БиХ,25.7
2013,Старост,Федерација БиХ,26.05
2014,Старост,Федерација БиХ,26.2
2015,Старост,Федерација БиХ,26.4
2016,Старост,Федерација БиХ,26.3
2017,Старост,Федерација БиХ,26.7
2018,Старост,Федерација БиХ,26.7
2019,Старост,Федерација БиХ,26.8
1998,Старост,Република Српска,23.8
1999,Старост,Република Српска,24.4
2000,Старост,Република Српска,24.6
2001,Старост,Република Српска,24.2
2002,Старост,Република Српска,24.6
2003,Старост,Република Српска,23.7
2004,Старост,Република Српска,24.6
2005,Старост,Република Српска,24.9
2006,Старост,Република Српска,25.0
2007,Старост,Република Српска,25.0
2008,Старост,Република Српска,25.4
2009,Старост,Република Српска,25.6
2010,Старост,Република Српска,25.9
2011,Старост,Република Српска,26.3
2012,Старост,Република Српска,26.4
2013,Старост,Република Српска,26.75
2014,Старост,Република Српска,26.9
2015,Старост,Република Српска,27.2
2016,Старост,Република Српска,26.9
2017,Старост,Република Српска,27.3
2018,Старост,Република Српска,27.6
2019,Старост,Република Српска,27.8
2008,Старост,Брчко Дистрикт БиХ,25.08
2009,Старост,Брчко Дистрикт БиХ,25.49
2010,Старост,Брчко Дистрикт БиХ,25.79
2012,Старост,Брчко Дистрикт БиХ,26.71
2013,Старост,Брчко Дистрикт БиХ,26.55
2014,Старост,Брчко Дистрикт БиХ,26.15
2015,Старост,Брчко Дистрикт БиХ,27.01
2017,Старост,Брчко Дистрикт БиХ,27.48
2018,Старост,Брчко Дистрикт БиХ,27.63
2019,Старост,Брчко Дистрикт БиХ,27.5
