Year,UNIT_MEASURE,Године,FERTILITY_RATE,Value
1996,Број,_ALL,total_fertility_rate,1.647
1997,Број,_ALL,total_fertility_rate,1.685
1998,Број,_ALL,total_fertility_rate,1.558
1999,Број,_ALL,total_fertility_rate,1.362
2000,Број,_ALL,total_fertility_rate,1.279
2001,Број,_ALL,total_fertility_rate,1.227
2002,Број,_ALL,total_fertility_rate,1.228
2003,Број,_ALL,total_fertility_rate,1.216
2004,Број,_ALL,total_fertility_rate,1.218
2005,Број,_ALL,total_fertility_rate,1.2
2006,Број,_ALL,total_fertility_rate,1.177
2007,Број,_ALL,total_fertility_rate,1.259
2008,Број,_ALL,total_fertility_rate,1.285
2009,Број,_ALL,total_fertility_rate,1.303
2010,Број,_ALL,total_fertility_rate,1.267
2011,Број,_ALL,total_fertility_rate,1.206
2012,Број,_ALL,total_fertility_rate,1.349
2013,Број,_ALL,total_fertility_rate,1.276
2014,Број,_ALL,total_fertility_rate,1.259
2015,Број,_ALL,total_fertility_rate,1.242
2016,Број,_ALL,total_fertility_rate,1.259
2017,Број,_ALL,total_fertility_rate,1.26
2018,Број,_ALL,total_fertility_rate,1.253
2019,Број,_ALL,total_fertility_rate,1.204
1996,Број,0-15,age_specific_fertility_rates,0.1
1997,Број,0-15,age_specific_fertility_rates,0.1
1998,Број,0-15,age_specific_fertility_rates,0.0
1999,Број,0-15,age_specific_fertility_rates,0.0
2000,Број,0-15,age_specific_fertility_rates,0.0
2001,Број,0-15,age_specific_fertility_rates,0.0
2002,Број,0-15,age_specific_fertility_rates,0.0
2003,Број,0-15,age_specific_fertility_rates,0.0
2004,Број,0-15,age_specific_fertility_rates,0.0
2005,Број,0-15,age_specific_fertility_rates,0.0
2006,Број,0-15,age_specific_fertility_rates,0.0
2007,Број,0-15,age_specific_fertility_rates,0.0
2008,Број,0-15,age_specific_fertility_rates,0.1
2009,Број,0-15,age_specific_fertility_rates,0.1
2010,Број,0-15,age_specific_fertility_rates,0.1
2011,Број,0-15,age_specific_fertility_rates,0.1
2012,Број,0-15,age_specific_fertility_rates,0.0
2013,Број,0-15,age_specific_fertility_rates,0.0
2014,Број,0-15,age_specific_fertility_rates,0.0
2015,Број,0-15,age_specific_fertility_rates,0.0
2016,Број,0-15,age_specific_fertility_rates,0.0
2017,Број,0-15,age_specific_fertility_rates,0.1
2018,Број,0-15,age_specific_fertility_rates,0.1
2019,Број,0-15,age_specific_fertility_rates,0.0
1996,Број,15-19,age_specific_fertility_rates,30.7
1997,Број,15-19,age_specific_fertility_rates,36.1
1998,Број,15-19,age_specific_fertility_rates,26.2
1999,Број,15-19,age_specific_fertility_rates,19.9
2000,Број,15-19,age_specific_fertility_rates,16.6
2001,Број,15-19,age_specific_fertility_rates,17.4
2002,Број,15-19,age_specific_fertility_rates,18.7
2003,Број,15-19,age_specific_fertility_rates,17.4
2004,Број,15-19,age_specific_fertility_rates,17.2
2005,Број,15-19,age_specific_fertility_rates,16.5
2006,Број,15-19,age_specific_fertility_rates,16.4
2007,Број,15-19,age_specific_fertility_rates,15.2
2008,Број,15-19,age_specific_fertility_rates,15.8
2009,Број,15-19,age_specific_fertility_rates,14.8
2010,Број,15-19,age_specific_fertility_rates,13.5
2011,Број,15-19,age_specific_fertility_rates,12.2
2012,Број,15-19,age_specific_fertility_rates,12.3
2013,Број,15-19,age_specific_fertility_rates,11.0
2014,Број,15-19,age_specific_fertility_rates,10.7
2015,Број,15-19,age_specific_fertility_rates,10.5
2016,Број,15-19,age_specific_fertility_rates,11.0
2017,Број,15-19,age_specific_fertility_rates,9.2
2018,Број,15-19,age_specific_fertility_rates,9.5
