Year,Године,MARRIAGE_BIRTH,UNIT_MEASURE,Ентитет,Value
1997,13 - 14,unknown_marital_status_birth,Број,Федерација БиХ,11.0
1997,15 - 19,unknown_marital_status_birth,Број,Федерација БиХ,3128.0
1997,16 - 19,Укупно,Број,Федерација БиХ,11.0
1997,17 - 19,Укупно,Број,Федерација БиХ,3128.0
1997,13 - 14,unknown_marital_status_birth,Број,BiH,11.0
1997,15 - 19,unknown_marital_status_birth,Број,BiH,3128.0
1997,16 - 19,Укупно,Број,BiH,11.0
1997,17 - 19,Укупно,Број,BiH,3128.0
1998,13 - 14,unknown_marital_status_birth,Број,Федерација БиХ,2.0
1998,15 - 19,unknown_marital_status_birth,Број,Федерација БиХ,2395.0
1998,16 - 19,Укупно,Број,Федерација БиХ,2.0
1998,17 - 19,Укупно,Број,Федерација БиХ,2395.0
1998,19 - 19,in_marriage_birth,Број,Република Српска,567.0
1998,21 - 19,out_of_marriage_birth,Број,Република Српска,229.0
1998,25 - 19,Укупно,Број,Република Српска,796.0
1998,19 - 19,in_marriage_birth,Број,BiH,567.0
1998,21 - 19,out_of_marriage_birth,Број,BiH,229.0
1998,22 - 19,unknown_marital_status_birth,Број,BiH,2.0
1998,23 - 19,unknown_marital_status_birth,Број,BiH,2395.0
1998,24 - 19,Укупно,Број,BiH,2.0
1998,25 - 19,Укупно,Број,BiH,3191.0
1999,23 - 19,unknown_marital_status_birth,Број,Федерација БиХ,2073.0
1999,25 - 19,Укупно,Број,Федерација БиХ,2073.0
1999,19 - 19,in_marriage_birth,Број,Република Српска,681.0
1999,20 - 19,out_of_marriage_birth,Број,Република Српска,1.0
1999,21 - 19,out_of_marriage_birth,Број,Република Српска,226.0
1999,24 - 19,Укупно,Број,Република Српска,1.0
1999,25 - 19,Укупно,Број,Република Српска,907.0
1999,19 - 19,in_marriage_birth,Број,BiH,681.0
1999,20 - 19,out_of_marriage_birth,Број,BiH,1.0
1999,21 - 19,out_of_marriage_birth,Број,BiH,226.0
1999,23 - 19,unknown_marital_status_birth,Број,BiH,2073.0
1999,24 - 19,Укупно,Број,BiH,1.0
1999,25 - 19,Укупно,Број,BiH,2980.0
2000,30 - 19,unknown_marital_status_birth,Број,Федерација БиХ,3.0
2000,31 - 19,unknown_marital_status_birth,Број,Федерација БиХ,1806.0
2000,32 - 19,Укупно,Број,Федерација БиХ,3.0
2000,33 - 19,Укупно,Број,Федерација БиХ,1806.0
2000,27 - 19,in_marriage_birth,Број,Република Српска,542.0
2000,28 - 19,out_of_marriage_birth,Број,Република Српска,1.0
2000,29 - 19,out_of_marriage_birth,Број,Република Српска,180.0
2000,32 - 19,Укупно,Број,Република Српска,1.0
2000,33 - 19,Укупно,Број,Република Српска,722.0
2000,27 - 19,in_marriage_birth,,BiH,542.0
2000,28 - 19,out_of_marriage_birth,,BiH,1.0
2000,29 - 19,out_of_marriage_birth,,BiH,180.0
2000,30 - 19,unknown_marital_status_birth,,BiH,3.0
2000,31 - 19,unknown_marital_status_birth,,BiH,1806.0
2000,32 - 19,Укупно,,BiH,4.0
2000,33 - 19,Укупно,,BiH,2528.0
2001,30 - 19,unknown_marital_status_birth,,Федерација БиХ,13.0
2001,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1679.0
2001,32 - 19,Укупно,,Федерација БиХ,13.0
2001,33 - 19,Укупно,,Федерација БиХ,1679.0
2001,27 - 19,in_marriage_birth,,Република Српска,707.0
2001,28 - 19,out_of_marriage_birth,,Република Српска,2.0
2001,29 - 19,out_of_marriage_birth,,Република Српска,231.0
2001,32 - 19,Укупно,,Република Српска,2.0
2001,33 - 19,Укупно,,Република Српска,938.0
2001,27 - 19,in_marriage_birth,,BiH,707.0
2001,28 - 19,out_of_marriage_birth,,BiH,2.0
2001,29 - 19,out_of_marriage_birth,,BiH,231.0
2001,30 - 19,unknown_marital_status_birth,,BiH,13.0
2001,31 - 19,unknown_marital_status_birth,,BiH,1679.0
2001,32 - 19,Укупно,,BiH,15.0
2001,33 - 19,Укупно,,BiH,2617.0
2002,30 - 19,unknown_marital_status_birth,,Федерација БиХ,10.0
2002,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1561.0
2002,32 - 19,Укупно,,Федерација БиХ,10.0
2002,33 - 19,Укупно,,Федерација БиХ,1561.0
2002,27 - 19,in_marriage_birth,,Република Српска,585.0
2002,28 - 19,out_of_marriage_birth,,Република Српска,4.0
2002,29 - 19,out_of_marriage_birth,,Република Српска,202.0
2002,32 - 19,Укупно,,Република Српска,4.0
2002,33 - 19,Укупно,,Република Српска,787.0
2002,27 - 19,in_marriage_birth,,BiH,585.0
2002,28 - 19,out_of_marriage_birth,,BiH,4.0
2002,29 - 19,out_of_marriage_birth,,BiH,202.0
2002,30 - 19,unknown_marital_status_birth,,BiH,10.0
2002,31 - 19,unknown_marital_status_birth,,BiH,1561.0
2002,32 - 19,Укупно,,BiH,14.0
2002,33 - 19,Укупно,,BiH,2348.0
2003,30 - 19,unknown_marital_status_birth,,Федерација БиХ,9.0
2003,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1457.0
2003,32 - 19,Укупно,,Федерација БиХ,9.0
2003,33 - 19,Укупно,,Федерација БиХ,1457.0
2003,27 - 19,in_marriage_birth,,Република Српска,459.0
2003,29 - 19,out_of_marriage_birth,,Република Српска,229.0
2003,33 - 19,Укупно,,Република Српска,688.0
2003,27 - 19,in_marriage_birth,,BiH,459.0
2003,29 - 19,out_of_marriage_birth,,BiH,229.0
2003,30 - 19,unknown_marital_status_birth,,BiH,9.0
2003,31 - 19,unknown_marital_status_birth,,BiH,1457.0
2003,32 - 19,Укупно,,BiH,9.0
2003,33 - 19,Укупно,,BiH,2145.0
2004,30 - 19,unknown_marital_status_birth,,Федерација БиХ,7.0
2004,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1396.0
2004,32 - 19,Укупно,,Федерација БиХ,7.0
2004,33 - 19,Укупно,,Федерација БиХ,1396.0
2004,26 - 19,in_marriage_birth,,Република Српска,1.0
2004,27 - 19,in_marriage_birth,,Република Српска,477.0
2004,28 - 19,out_of_marriage_birth,,Република Српска,3.0
2004,29 - 19,out_of_marriage_birth,,Република Српска,220.0
2004,32 - 19,Укупно,,Република Српска,4.0
2004,33 - 19,Укупно,,Република Српска,697.0
2004,32 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,1.0
2004,33 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,43.0
2004,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2004,33 - 19,Укупно,,Брчко Дистрикт БиХ,43.0
2004,26 - 19,in_marriage_birth,,BiH,1.0
2004,27 - 19,in_marriage_birth,,BiH,477.0
2004,28 - 19,out_of_marriage_birth,,BiH,3.0
2004,29 - 19,out_of_marriage_birth,,BiH,220.0
2004,30 - 19,unknown_marital_status_birth,,BiH,8.0
2004,31 - 19,unknown_marital_status_birth,,BiH,1439.0
2004,32 - 19,Укупно,,BiH,12.0
2004,33 - 19,Укупно,,BiH,2136.0
2005,30 - 19,unknown_marital_status_birth,,Федерација БиХ,2.0
2005,31 - 19,unknown_marital_status_birth,,Федерација БиХ,1296.0
2005,32 - 19,Укупно,,Федерација БиХ,2.0
2005,33 - 19,Укупно,,Федерација БиХ,1296.0
2005,27 - 19,in_marriage_birth,,Република Српска,409.0
2005,29 - 19,out_of_marriage_birth,,Република Српска,250.0
2005,32 - 19,Укупно,,Република Српска,3.0
2005,33 - 19,Укупно,,Република Српска,659.0
2005,30 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,1.0
2005,31 - 19,unknown_marital_status_birth,,Брчко Дистрикт БиХ,52.0
2005,32 - 19,Укупно,,Брчко Дистрикт БиХ,1.0
2005,33 - 19,Укупно,,Брчко Дистрикт БиХ,52.0
2005,27 - 19,in_marriage_birth,,BiH,409.0
