Year,UNIT_MEASURE,Метода,Административно подручје,Value
2000,% од укупно,Савремене методе,Федерација БиХ,15.7
2000,% од укупно,Савремене методе,Република Српска,15.7
2006,% од укупно,Савремене методе,BiH,11.2
2006,% од укупно,Савремене методе,Федерација БиХ,12.1
2006,% од укупно,Савремене методе,Република Српска,9.4
2006,% од укупно,Савремене методе,Брчко дистрикт БиХ,12.7
2011,% од укупно,Савремене методе,BiH,12.0
2011,% од укупно,Савремене методе,Федерација БиХ,10.0
2011,% од укупно,Савремене методе,Република Српска,16.8
2011,% од укупно,Савремене методе,Брчко дистрикт БиХ,14.5
2000,% од укупно,Све методе,BiH,48.0
2000,% од укупно,Све методе,Федерација БиХ,48.7
2000,% од укупно,Све методе,Република Српска,45.1
2006,% од укупно,Све методе,BiH,35.7
2006,% од укупно,Све методе,Федерација БиХ,33.6
2006,% од укупно,Све методе,Република Српска,40.7
2006,% од укупно,Све методе,Брчко дистрикт БиХ,23.1
2011,% од укупно,Све методе,BiH,45.8
2011,% од укупно,Све методе,Федерација БиХ,43.1
2011,% од укупно,Све методе,Република Српска,53.7
2011,% од укупно,Све методе,Брчко дистрикт БиХ,24.7
2000,% од укупно,Традиционалне методе,Федерација БиХ,32.9
2000,% од укупно,Традиционалне методе,Република Српска,29.4
2006,% од укупно,Традиционалне методе,BiH,24.5
2006,% од укупно,Традиционалне методе,Федерација БиХ,21.5
2006,% од укупно,Традиционалне методе,Република Српска,31.2
2006,% од укупно,Традиционалне методе,Брчко дистрикт БиХ,10.4
2011,% од укупно,Традиционалне методе,BiH,34.0
2011,% од укупно,Традиционалне методе,Федерација БиХ,33.1
2011,% од укупно,Традиционалне методе,Република Српска,36.9
2011,% од укупно,Традиционалне методе,Брчко дистрикт БиХ,10.2
