Year,Value,UNIT_MEASURE
1996,1.647,Broj djece po ženi 15-49
1997,1.684,Broj djece po ženi 15-49
1998,1.558,Broj djece po ženi 15-49
1999,1.362,Broj djece po ženi 15-49
2000,1.3,Broj djece po ženi 15-49
2001,1.4,Broj djece po ženi 15-49
2002,1.2,Broj djece po ženi 15-49
2003,1.215,Broj djece po ženi 15-49
2004,1.217,Broj djece po ženi 15-49
2005,1.2,Broj djece po ženi 15-49
2006,1.176,Broj djece po ženi 15-49
2007,1.258,Broj djece po ženi 15-49
2008,1.285,Broj djece po ženi 15-49
2009,1.303,Broj djece po ženi 15-49
2010,1.266,Broj djece po ženi 15-49
2011,1.205,Broj djece po ženi 15-49
2012,1.349,Broj djece po ženi 15-49
2013,1.276,Broj djece po ženi 15-49
2014,1.258,Broj djece po ženi 15-49
2015,1.242,Broj djece po ženi 15-49
2016,1.258,Broj djece po ženi 15-49
2017,1.259,Broj djece po ženi 15-49
2018,1.252,Broj djece po ženi 15-49
2019,1.204,Broj djece po ženi 15-49
