Year,MARRIAGES,Entity,SEX,UNIT_MEASURE,Value
1971,marriage_rate,BiH,,NUMBER,9.4
1981,marriage_rate,BiH,,NUMBER,8.9
1991,marriage_rate,BiH,,NUMBER,6.5
1996,marriage_rate,BiH,,NUMBER,5.8
1997,marriage_rate,BiH,,NUMBER,6.2
1998,marriage_rate,BiH,,NUMBER,6.1
1999,marriage_rate,BiH,,NUMBER,6.0
2000,marriage_rate,BiH,,NUMBER,5.8
2001,marriage_rate,BiH,,NUMBER,5.3
2002,marriage_rate,BiH,,NUMBER,5.3
2003,marriage_rate,BiH,,NUMBER,5.4
2004,marriage_rate,BiH,,NUMBER,5.8
2005,marriage_rate,BiH,,NUMBER,5.6
2006,marriage_rate,BiH,,NUMBER,5.6
2007,marriage_rate,BiH,,NUMBER,6.12
2008,marriage_rate,BiH,,NUMBER,5.77
2009,marriage_rate,BiH,,NUMBER,5.37
2010,marriage_rate,BiH,,NUMBER,5.08
2011,marriage_rate,BiH,,NUMBER,4.99
2012,marriage_rate,BiH,,NUMBER,4.75
2013,marriage_rate,BiH,,NUMBER,5.0
2014,marriage_rate,BiH,,NUMBER,5.3
2015,marriage_rate,BiH,,NUMBER,5.6
2016,marriage_rate,BiH,,NUMBER,5.5
2017,marriage_rate,BiH,,NUMBER,5.7
2018,marriage_rate,BiH,,NUMBER,5.7
2019,marriage_rate,BiH,,NUMBER,5.4
1996,marriage_rate,FBIH,,NUMBER,6.5
1997,marriage_rate,FBIH,,NUMBER,6.8
1998,marriage_rate,FBIH,,NUMBER,6.7
1999,marriage_rate,FBIH,,NUMBER,6.3
2000,marriage_rate,FBIH,,NUMBER,6.0
2001,marriage_rate,FBIH,,NUMBER,5.5
2002,marriage_rate,FBIH,,NUMBER,5.6
2003,marriage_rate,FBIH,,NUMBER,5.6
2004,marriage_rate,FBIH,,NUMBER,5.9
2005,marriage_rate,FBIH,,NUMBER,5.8
2006,marriage_rate,FBIH,,NUMBER,5.6
2007,marriage_rate,FBIH,,NUMBER,6.4
2008,marriage_rate,FBIH,,NUMBER,6.4
2009,marriage_rate,FBIH,,NUMBER,5.9
2010,marriage_rate,FBIH,,NUMBER,5.6
2011,marriage_rate,FBIH,,NUMBER,5.4
2012,marriage_rate,FBIH,,NUMBER,5.2
2013,marriage_rate,FBIH,,NUMBER,4.9
2014,marriage_rate,FBIH,,NUMBER,5.4
2015,marriage_rate,FBIH,,NUMBER,5.9
2016,marriage_rate,FBIH,,NUMBER,5.8
2017,marriage_rate,FBIH,,NUMBER,5.9
2018,marriage_rate,FBIH,,NUMBER,5.9
2019,marriage_rate,FBIH,,NUMBER,5.6
1996,marriage_rate,RS,,NUMBER,5.2
1997,marriage_rate,RS,,NUMBER,5.8
1998,marriage_rate,RS,,NUMBER,6.0
1999,marriage_rate,RS,,NUMBER,6.6
2000,marriage_rate,RS,,NUMBER,6.4
2001,marriage_rate,RS,,NUMBER,6.0
2002,marriage_rate,RS,,NUMBER,6.1
2003,marriage_rate,RS,,NUMBER,5.7
2004,marriage_rate,RS,,NUMBER,6.0
2005,marriage_rate,RS,,NUMBER,5.7
2006,marriage_rate,RS,,NUMBER,5.8
2007,marriage_rate,RS,,NUMBER,6.0
2008,marriage_rate,RS,,NUMBER,5.43
2009,marriage_rate,RS,,NUMBER,5.2
2010,marriage_rate,RS,,NUMBER,4.9
2011,marriage_rate,RS,,NUMBER,4.94
2012,marriage_rate,RS,,NUMBER,4.54
2013,marriage_rate,RS,,NUMBER,4.67
2014,marriage_rate,RS,,NUMBER,4.99
2015,marriage_rate,RS,,NUMBER,5.07
2016,marriage_rate,RS,,NUMBER,4.81
2017,marriage_rate,RS,,NUMBER,5.2
2018,marriage_rate,RS,,NUMBER,5.2
2019,marriage_rate,RS,,NUMBER,5.1
2006,marriage_rate,BD,,NUMBER,8.9
2007,marriage_rate,BD,,NUMBER,9.41
2008,marriage_rate,BD,,NUMBER,8.98
2009,marriage_rate,BD,,NUMBER,8.85
2010,marriage_rate,BD,,NUMBER,8.2
2011,marriage_rate,BD,,NUMBER,8.1
2012,marriage_rate,BD,,NUMBER,9.29
2013,marriage_rate,BD,,NUMBER,7.5
2014,marriage_rate,BD,,NUMBER,7.9
2015,marriage_rate,BD,,NUMBER,8.0
2016,marriage_rate,BD,,NUMBER,7.8
2017,marriage_rate,BD,,NUMBER,8.6
2018,marriage_rate,BD,,NUMBER,8.0
2019,marriage_rate,BD,,NUMBER,8.5
1996,number_of_marriages,BiH,,NUMBER,21107.0
1997,number_of_marriages,BiH,,NUMBER,23220.0
1998,number_of_marriages,BiH,,NUMBER,22398.0
1999,number_of_marriages,BiH,,NUMBER,22472.0
2000,number_of_marriages,BiH,,NUMBER,21897.0
2001,number_of_marriages,BiH,,NUMBER,20302.0
2002,number_of_marriages,BiH,,NUMBER,20122.0
2003,number_of_marriages,BiH,,NUMBER,20733.0
2004,number_of_marriages,BiH,,NUMBER,22252.0
2005,number_of_marriages,BiH,,NUMBER,21698.0
2006,number_of_marriages,BiH,,NUMBER,21501.0
2007,number_of_marriages,BiH,,NUMBER,23494.0
2008,number_of_marriages,BiH,,NUMBER,22151.0
2009,number_of_marriages,BiH,,NUMBER,20633.0
2010,number_of_marriages,BiH,,NUMBER,19541.0
2011,number_of_marriages,BiH,,NUMBER,19156.0
2012,number_of_marriages,BiH,,NUMBER,18235.0
2013,number_of_marriages,BiH,,NUMBER,17623.0
2014,number_of_marriages,BiH,,NUMBER,18643.0
2015,number_of_marriages,BiH,,NUMBER,19686.0
2016,number_of_marriages,BiH,,NUMBER,19265.0
2017,number_of_marriages,BiH,,NUMBER,19969.0
2018,number_of_marriages,BiH,,NUMBER,19911.0
2019,number_of_marriages,BiH,,NUMBER,18952.0
1996,number_of_marriages,FBIH,,NUMBER,14692.0
1997,number_of_marriages,FBIH,,NUMBER,16061.0
1998,number_of_marriages,FBIH,,NUMBER,14921.0
1999,number_of_marriages,FBIH,,NUMBER,14285.0
2000,number_of_marriages,FBIH,,NUMBER,13894.0
2001,number_of_marriages,FBIH,,NUMBER,12758.0
2002,number_of_marriages,FBIH,,NUMBER,12889.0
2003,number_of_marriages,FBIH,,NUMBER,13102.0
2004,number_of_marriages,FBIH,,NUMBER,13695.0
2005,number_of_marriages,FBIH,,NUMBER,13620.0
2006,number_of_marriages,FBIH,,NUMBER,13012.0
2007,number_of_marriages,FBIH,,NUMBER,14808.0
2008,number_of_marriages,FBIH,,NUMBER,14909.0
2009,number_of_marriages,FBIH,,NUMBER,13670.0
2010,number_of_marriages,FBIH,,NUMBER,12988.0
2011,number_of_marriages,FBIH,,NUMBER,12589.0
2012,number_of_marriages,FBIH,,NUMBER,12060.0
2013,number_of_marriages,FBIH,,NUMBER,11381.0
2014,number_of_marriages,FBIH,,NUMBER,11982.0
2015,number_of_marriages,FBIH,,NUMBER,12972.0
2016,number_of_marriages,FBIH,,NUMBER,12790.0
2017,number_of_marriages,FBIH,,NUMBER,12994.0
2018,number_of_marriages,FBIH,,NUMBER,13061.0
2019,number_of_marriages,FBIH,,NUMBER,12266.0
1996,number_of_marriages,RS,,NUMBER,6227.0
1997,number_of_marriages,RS,,NUMBER,6889.0
1998,number_of_marriages,RS,,NUMBER,7186.0
1999,number_of_marriages,RS,,NUMBER,7893.0
2000,number_of_marriages,RS,,NUMBER,7642.0
2001,number_of_marriages,RS,,NUMBER,7179.0
2002,number_of_marriages,RS,,NUMBER,7233.0
2003,number_of_marriages,RS,,NUMBER,6769.0
2004,number_of_marriages,RS,,NUMBER,7143.0
2005,number_of_marriages,RS,,NUMBER,6810.0
2006,number_of_marriages,RS,,NUMBER,6860.0
2007,number_of_marriages,RS,,NUMBER,7093.0
2008,number_of_marriages,RS,,NUMBER,6401.0
2009,number_of_marriages,RS,,NUMBER,6131.0
2010,number_of_marriages,RS,,NUMBER,5767.0
2011,number_of_marriages,RS,,NUMBER,5802.0
2012,number_of_marriages,RS,,NUMBER,5326.0
2013,number_of_marriages,RS,,NUMBER,5467.0
2014,number_of_marriages,RS,,NUMBER,5823.0
2015,number_of_marriages,RS,,NUMBER,5895.0
2016,number_of_marriages,RS,,NUMBER,5563.0
2017,number_of_marriages,RS,,NUMBER,5954.0
2018,number_of_marriages,RS,,NUMBER,5966.0
2019,number_of_marriages,RS,,NUMBER,5822.0
2002,number_of_marriages,BD,,NUMBER,644.0
2003,number_of_marriages,BD,,NUMBER,655.0
2004,number_of_marriages,BD,,NUMBER,782.0
2005,number_of_marriages,BD,,NUMBER,669.0
2006,number_of_marriages,BD,,NUMBER,673.0
2007,number_of_marriages,BD,,NUMBER,712.0
2008,number_of_marriages,BD,,NUMBER,680.0
2009,number_of_marriages,BD,,NUMBER,670.0
2010,number_of_marriages,BD,,NUMBER,618.0
2011,number_of_marriages,BD,,NUMBER,613.0
2012,number_of_marriages,BD,,NUMBER,703.0
2013,number_of_marriages,BD,,NUMBER,622.0
2014,number_of_marriages,BD,,NUMBER,663.0
2015,number_of_marriages,BD,,NUMBER,670.0
2016,number_of_marriages,BD,,NUMBER,653.0
2017,number_of_marriages,BD,,NUMBER,718.0
2018,number_of_marriages,BD,,NUMBER,632.0
2019,number_of_marriages,BD,,NUMBER,599.0
