Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
accepting_attitudes_towards_people_living_with_hiv_(men_15-49),accepting_attitudes_towards_people_living_with_hiv_(men_15-49),accepting_attitudes_towards_people_living_with_hiv_(men_15-49),accepting_attitudes_towards_people_living_with_hiv_(men_15-49),accepting_attitudes_towards_people_living_with_hiv_(men_15-49),4,1
accepting_attitudes_towards_people_living_with_hiv_(women_15-49),accepting_attitudes_towards_people_living_with_hiv_(women_15-49),accepting_attitudes_towards_people_living_with_hiv_(women_15-49),accepting_attitudes_towards_people_living_with_hiv_(women_15-49),accepting_attitudes_towards_people_living_with_hiv_(women_15-49),10,1
alcohol_use_(men_15-49),alcohol_use_(men_15-49),alcohol_use_(men_15-49),alcohol_use_(men_15-49),alcohol_use_(men_15-49),4,1
alcohol_use_(women_15-49),alcohol_use_(women_15-49),alcohol_use_(women_15-49),alcohol_use_(women_15-49),alcohol_use_(women_15-49),4,1
comprehensive_knowledge_about_hiv_prevention_(men_15-24),comprehensive_knowledge_about_hiv_prevention_(men_15-24),comprehensive_knowledge_about_hiv_prevention_(men_15-24),comprehensive_knowledge_about_hiv_prevention_(men_15-24),comprehensive_knowledge_about_hiv_prevention_(men_15-24),4,1
comprehensive_knowledge_about_hiv_prevention_(men_15-49),comprehensive_knowledge_about_hiv_prevention_(men_15-49),comprehensive_knowledge_about_hiv_prevention_(men_15-49),comprehensive_knowledge_about_hiv_prevention_(men_15-49),comprehensive_knowledge_about_hiv_prevention_(men_15-49),4,1
comprehensive_knowledge_about_hiv_prevention_(women_15-24),comprehensive_knowledge_about_hiv_prevention_(women_15-24),comprehensive_knowledge_about_hiv_prevention_(women_15-24),comprehensive_knowledge_about_hiv_prevention_(women_15-24),comprehensive_knowledge_about_hiv_prevention_(women_15-24),4,1
comprehensive_knowledge_about_hiv_prevention_(women_15-49),comprehensive_knowledge_about_hiv_prevention_(women_15-49),comprehensive_knowledge_about_hiv_prevention_(women_15-49),comprehensive_knowledge_about_hiv_prevention_(women_15-49),comprehensive_knowledge_about_hiv_prevention_(women_15-49),8,1
condom_use_during_sex_with_multiple_partners_(men_15-49),condom_use_during_sex_with_multiple_partners_(men_15-49),condom_use_during_sex_with_multiple_partners_(men_15-49),condom_use_during_sex_with_multiple_partners_(men_15-49),condom_use_during_sex_with_multiple_partners_(men_15-49),3,1
condom_use_during_sex_with_multiple_partners_(women_15-49),condom_use_during_sex_with_multiple_partners_(women_15-49),condom_use_during_sex_with_multiple_partners_(women_15-49),condom_use_during_sex_with_multiple_partners_(women_15-49),condom_use_during_sex_with_multiple_partners_(women_15-49),1,1
condom_use_with_non-regular_partners_(men_15-24),condom_use_with_non-regular_partners_(men_15-24),condom_use_with_non-regular_partners_(men_15-24),condom_use_with_non-regular_partners_(men_15-24),condom_use_with_non-regular_partners_(men_15-24),3,1
condom_use_with_non-regular_partners_(women_15-24),condom_use_with_non-regular_partners_(women_15-24),condom_use_with_non-regular_partners_(women_15-24),condom_use_with_non-regular_partners_(women_15-24),condom_use_with_non-regular_partners_(women_15-24),6,1
contraceptive_prevalence_rate_(modern_methods),contraceptive_prevalence_rate_(modern_methods),contraceptive_prevalence_rate_(modern_methods),contraceptive_prevalence_rate_(modern_methods),contraceptive_prevalence_rate_(modern_methods),10,1
contraceptive_prevalence_rate_(total),contraceptive_prevalence_rate_(total),contraceptive_prevalence_rate_(total),contraceptive_prevalence_rate_(total),contraceptive_prevalence_rate_(total),11,1
contraceptive_prevalence_rate_(traditional_methods),contraceptive_prevalence_rate_(traditional_methods),contraceptive_prevalence_rate_(traditional_methods),contraceptive_prevalence_rate_(traditional_methods),contraceptive_prevalence_rate_(traditional_methods),10,1
happiness_(men_15-24),happiness_(men_15-24),happiness_(men_15-24),happiness_(men_15-24),happiness_(men_15-24),4,1
happiness_(women_15-24),happiness_(women_15-24),happiness_(women_15-24),happiness_(women_15-24),happiness_(women_15-24),4,1
husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(men_15-49),4,1
husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),husband/partner_has_the_right_to_hit_or_beat_his_wife/partner_(women_15-49),8,1
institutional_deliveries,institutional_deliveries,institutional_deliveries,institutional_deliveries,institutional_deliveries,7,1
life_satisfaction_(men_15-24),life_satisfaction_(men_15-24),life_satisfaction_(men_15-24),life_satisfaction_(men_15-24),life_satisfaction_(men_15-24),4,1
life_satisfaction_(women_15-24),life_satisfaction_(women_15-24),life_satisfaction_(women_15-24),life_satisfaction_(women_15-24),life_satisfaction_(women_15-24),4,1
marriage_before_age_15_(men_15-49),marriage_before_age_15_(men_15-49),marriage_before_age_15_(men_15-49),marriage_before_age_15_(men_15-49),marriage_before_age_15_(men_15-49),3,1
marriage_before_age_15_(women_15-49),marriage_before_age_15_(women_15-49),marriage_before_age_15_(women_15-49),marriage_before_age_15_(women_15-49),marriage_before_age_15_(women_15-49),7,1
marriage_before_age_18_(men_20-49),marriage_before_age_18_(men_20-49),marriage_before_age_18_(men_20-49),marriage_before_age_18_(men_20-49),marriage_before_age_18_(men_20-49),4,1
marriage_before_age_18_(women_20-49),marriage_before_age_18_(women_20-49),marriage_before_age_18_(women_20-49),marriage_before_age_18_(women_20-49),marriage_before_age_18_(women_20-49),8,1
men_aged_15-24_who_have_never_had_sex_,men_aged_15-24_who_have_never_had_sex_,men_aged_15-24_who_have_never_had_sex_,men_aged_15-24_who_have_never_had_sex_,men_aged_15-24_who_have_never_had_sex_,4,1
satisfied_demand_for_family_planning,satisfied_demand_for_family_planning,satisfied_demand_for_family_planning,satisfied_demand_for_family_planning,satisfied_demand_for_family_planning,8,1
sex_before_age_15_(men_15-24),sex_before_age_15_(men_15-24),sex_before_age_15_(men_15-24),sex_before_age_15_(men_15-24),sex_before_age_15_(men_15-24),3,1
sex_before_age_15_(women_15-19-24),sex_before_age_15_(women_15-19-24),sex_before_age_15_(women_15-19-24),sex_before_age_15_(women_15-19-24),sex_before_age_15_(women_15-19-24),5,1
sex_with_multiple_partners_(men_15-49),sex_with_multiple_partners_(men_15-49),sex_with_multiple_partners_(men_15-49),sex_with_multiple_partners_(men_15-49),sex_with_multiple_partners_(men_15-49),4,1
sex_with_multiple_partners_(women_15-49),sex_with_multiple_partners_(women_15-49),sex_with_multiple_partners_(women_15-49),sex_with_multiple_partners_(women_15-49),sex_with_multiple_partners_(women_15-49),4,1
sex_with_non-regular_partners_(men_15-24),sex_with_non-regular_partners_(men_15-24),sex_with_non-regular_partners_(men_15-24),sex_with_non-regular_partners_(men_15-24),sex_with_non-regular_partners_(men_15-24),3,1
sex_with_non-regular_partners_(women_15-24),sex_with_non-regular_partners_(women_15-24),sex_with_non-regular_partners_(women_15-24),sex_with_non-regular_partners_(women_15-24),sex_with_non-regular_partners_(women_15-24),6,1
skilled_attendant_at_delivery,skilled_attendant_at_delivery,skilled_attendant_at_delivery,skilled_attendant_at_delivery,skilled_attendant_at_delivery,10,1
tobacco_use_(men_15-49),tobacco_use_(men_15-49),tobacco_use_(men_15-49),tobacco_use_(men_15-49),tobacco_use_(men_15-49),4,1
tobacco_use_(women_15-49),tobacco_use_(women_15-49),tobacco_use_(women_15-49),tobacco_use_(women_15-49),tobacco_use_(women_15-49),4,1
unmet_need_for_family_planning,unmet_need_for_family_planning,unmet_need_for_family_planning,unmet_need_for_family_planning,unmet_need_for_family_planning,8,1
women_aged_15-24_who_have_never_had_sex_,women_aged_15-24_who_have_never_had_sex_,women_aged_15-24_who_have_never_had_sex_,women_aged_15-24_who_have_never_had_sex_,women_aged_15-24_who_have_never_had_sex_,3,1
young_women_aged_15-19_years_currently_married_or_in_union,young_women_aged_15-19_years_currently_married_or_in_union,young_women_aged_15-19_years_currently_married_or_in_union,young_women_aged_15-19_years_currently_married_or_in_union,young_women_aged_15-19_years_currently_married_or_in_union,5,1
