Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
certain_conditions_originating,certain_conditions_originating,(P00-P96) Određena stanja nastala u perinatalnom periodu,„(П00-П96) Одређена стања настала у перинаталном периоду“,„(P00-P96) Određena stanja nastala u perinatalnom periodu“,7,3
congenital_malformations_deformations,congenital_malformations_deformations,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti","„(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности“","„(Q00-Q99) Kongenitalne malformacije, deformiteti i kromosomske abnormalnosti“",7,3
diseases_of_the_blood,diseases_of_the_blood,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema","„(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система“","„(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sustava“",7,3
diseases_of_the_circulatory,diseases_of_the_circulatory,(I00-I99) Bolesti cirkulacijskog sistema,„(И00-И99) Болести циркулацијског система“,„(I00-I99) Bolesti cirkulacijskog sustava“,7,3
diseases_of_the_digestive,diseases_of_the_digestive,(K00-K93) Bolesti digestivnog sistema,„(К00-К93) Болести дигестивног система“,„(K00-K93) Bolesti digestivnog sustava“,7,3
diseases_of_the_eye,diseases_of_the_eye,"(H00-H93) Bolesti oka, uha i adneksa","„(Х00-Х93) Болести ока, уха и аднекса""","„(H00-H93) Bolesti oka, uha i adneksa""",7,3
diseases_of_the_genitourinary,diseases_of_the_genitourinary,(N00-N99) Bolesti genitalno-urinarnog sistema,„(Н00-Н99) Болести генитално-уринарног система“,„(N00-N99) Bolesti genitalno-urinarnog sustava“,7,3
diseases_of_the_musculoskeletal,diseases_of_the_musculoskeletal,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,„(М00-М99) Болести мускулоскелетног система и везивног ткива“,„(M00-M99) Bolesti muskuloskeletnog sustava i vezivnog tkiva“,7,3
diseases_of_the_nervous,diseases_of_the_nervous,(G00-G99) Bolesti nervnog sistema,„(Г00-Г99) Болести нервног система“,„(G00-G99) Bolesti nervnog sustava“,7,3
diseases_of_the_respiratory,diseases_of_the_respiratory,(J00-J99) Bolesti respiratornog sistema,„(Ј00-Ј99) Болести респираторног система“,„(J00-J99) Bolesti respiratornog sustava“,7,3
diseases_of_the_skin,diseases_of_the_skin,(L00-L99) Bolesti kože i potkožnog tkiva,„(Л00-Л99) Болести коже и поткожног ткива“,„(L00-L99) Bolesti kože i potkožnog tkiva“,7,3
endocrine_metabolic_and_nutritional,endocrine_metabolic_and_nutritional,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma","„(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма“","„(E00-E90) Endokrine bolesti, bolesti prehrane i bolesti metabolizma“",7,3
external_causes_of_mortality,external_causes_of_mortality,(V01-Y98) Vanjski uzroci smrtnosti,„(В01-Y98) Спољни узроци смртности“,„(V01-Y98) Vanjski uzroci mortaliteta“,7,3
factors_influencing_health_status,factors_influencing_health_status,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,„(З00-З99) Фактори који утичу на здравствено стање и контакт са здравственом службом“,„(Z00-Z99) Čimbenici koji utječu na stanje zdravlja i kontakt sa zdravstvenom službom“,7,3
infectious_and_parasitic,infectious_and_parasitic,(A00-B99) Zarazne i parazitarne bolesti,„(А00-Б99) Заразне и паразитарне болести“,„(A00-B99) Zarazne i parazitarne bolesti“,7,3
injuries_poisoning_and_consequences,injuries_poisoning_and_consequences,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom","„(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора“","„(S00-T98) Ozljede, otrovanja i ostale posljedice vanjskih uzroka“",7,3
mental_and_behavioural_disorders,mental_and_behavioural_disorders,(F00-F99) Duševni poremećaji i poremećaji ponašanja,„(Ф00-Ф99) Душевни поремећаји и поремећаји понашања“,„(F00-F99) Duševni poremećaji i poremećaji ponašanja“,7,3
neoplasms,neoplasms,"(C00-C97,D00-D48) Neoplazme","„(Ц00-Ц97,Д00-Д48) Неоплазме“","„(C00-C97,D00-D48) Neoplazme“",7,3
pregnancy_childbirth_and_the,pregnancy_childbirth_and_the,"(O00-O99) Trudnoća, porođaj i postporođajni period","„(О00-О99) Трудноћа, порођај и постпорођајни период“","„(O00-O99) Trudnoća, porođaj i postporođajni period“",5,3
symptoms_signs_and_abnormal,symptoms_signs_and_abnormal,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani","„(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани“","„(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi nesvrstani drugamo“",7,3
total,total,Ukupno,Укупно,Ukupno,6,2
unknown,unknown,Nepoznato,Непознато,Nepoznato,7,3
