Year,Spol,Entitet,UNIT_MEASURE,Value
1971,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,22.0
1981,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,17.2
1991,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,14.9
1996,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,14.0
1997,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,12.4
1998,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,11.0
1999,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,10.1
2000,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,9.7
2001,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,7.6
2002,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,9.4
2003,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,7.6
2004,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,7.2
2005,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.7
2006,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,7.5
2007,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.8
2008,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.9
2009,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.5
2010,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.4
2011,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,5.8
2012,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,5.4
2013,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,5.9
2014,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,5.2
2015,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.1
2016,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,5.9
2017,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.5
2018,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.2
2019,Oba spola,BiH,NO_PER_100_LIVE_BIRTHS,6.7
1996,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,14.8
1997,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,14.6
1998,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,12.9
1999,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,11.2
2000,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,10.8
2001,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,8.2
2002,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,10.4
2003,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,8.4
2004,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,8.3
2005,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,7.5
2006,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,9.0
2007,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,7.5
2008,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,7.4
2009,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.4
2010,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,7.2
2011,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.7
2012,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.6
2013,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.9
2014,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,4.7
2015,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.1
2016,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,7.1
2017,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.7
2018,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.0
2019,Muškarci,BiH,NO_PER_100_LIVE_BIRTHS,6.9
