Year,POVERTY_RATE,UNIT_MEASURE,Entitet,Value
2004,households_in_poverty,_%,BiH,18.1
2007,households_in_poverty,_%,BiH,18.4
2011,households_in_poverty,_%,BiH,17.2
2015,households_in_poverty,_%,BiH,16.5
2004,population_in_poverty,_%,BiH,18.3
2007,population_in_poverty,_%,BiH,18.2
2011,population_in_poverty,_%,BiH,17.9
2015,population_in_poverty,_%,BiH,16.9
2007,males_in_poverty,_%,BiH,18.3
2011,males_in_poverty,_%,BiH,18.0
2015,males_in_poverty,_%,BiH,17.1
2007,females_in_poverty,_%,BiH,18.1
2011,females_in_poverty,_%,BiH,17.7
2015,females_in_poverty,_%,BiH,16.7
2004,households_in_poverty,_%,Federacija BiH,18.3
2007,households_in_poverty,_%,Federacija BiH,16.3
2011,households_in_poverty,_%,Federacija BiH,16.0
2015,households_in_poverty,_%,Federacija BiH,16.0
2004,population_in_poverty,_%,Federacija BiH,18.8
2007,population_in_poverty,_%,Federacija BiH,17.0
2011,population_in_poverty,_%,Federacija BiH,17.1
2015,population_in_poverty,_%,Federacija BiH,17.1
2007,males_in_poverty,_%,Federacija BiH,17.1
2011,males_in_poverty,_%,Federacija BiH,17.5
2015,males_in_poverty,_%,Federacija BiH,18.8
2007,females_in_poverty,_%,Federacija BiH,16.9
2011,females_in_poverty,_%,Federacija BiH,16.7
2015,females_in_poverty,_%,Federacija BiH,15.9
2004,households_in_poverty,_%,Republika Srpska,18.3
2007,households_in_poverty,_%,Republika Srpska,21.7
2011,households_in_poverty,_%,Republika Srpska,19.6
2015,households_in_poverty,_%,Republika Srpska,17.4
2004,population_in_poverty,_%,Republika Srpska,17.8
2007,population_in_poverty,_%,Republika Srpska,20.1
2011,population_in_poverty,_%,Republika Srpska,19.5
2015,population_in_poverty,_%,Republika Srpska,16.4
2007,males_in_poverty,_%,Republika Srpska,20.2
2011,males_in_poverty,_%,Republika Srpska,19.1
2015,males_in_poverty,_%,Republika Srpska,14.5
2007,females_in_poverty,_%,Republika Srpska,20.1
2011,females_in_poverty,_%,Republika Srpska,19.8
2015,females_in_poverty,_%,Republika Srpska,17.6
2004,households_in_poverty,_%,Brčko Distrikt BiH,7.8
2007,households_in_poverty,_%,Brčko Distrikt BiH,23.6
2011,households_in_poverty,_%,Brčko Distrikt BiH,12.2
2015,households_in_poverty,_%,Brčko Distrikt BiH,15.9
2004,population_in_poverty,_%,Brčko Distrikt BiH,9.5
2007,population_in_poverty,_%,Brčko Distrikt BiH,25.8
2011,population_in_poverty,_%,Brčko Distrikt BiH,14.7
2015,population_in_poverty,_%,Brčko Distrikt BiH,17.6
2007,males_in_poverty,_%,Brčko Distrikt BiH,23.4
2011,males_in_poverty,_%,Brčko Distrikt BiH,14.1
2015,males_in_poverty,_%,Brčko Distrikt BiH,15.3
2007,females_in_poverty,_%,Brčko Distrikt BiH,28.2
2011,females_in_poverty,_%,Brčko Distrikt BiH,15.3
2015,females_in_poverty,_%,Brčko Distrikt BiH,19.0
