Year,UNIT_MEASURE,Ентитет,Value
1971,%,BiH,22.2
1981,%,BiH,23.0
2004,%,BiH,24.34
2005,%,BiH,24.41
2006,%,BiH,24.51
2007,%,BiH,24.76
2008,%,BiH,24.94
2009,%,BiH,25.25
2010,%,BiH,25.87
2011,%,BiH,26.25
2012,%,BiH,26.45
2013,%,BiH,26.69
2014,%,BiH,26.97
2015,%,BiH,27.17
2016,%,BiH,26.96
2017,%,BiH,27.28
2018,%,BiH,27.4
2019,%,BiH,27.68
1996,%,Федерација БиХ,23.6
1997,%,Федерација БиХ,23.5
1998,%,Федерација БиХ,23.9
1999,%,Федерација БиХ,24.2
2000,%,Федерација БиХ,24.2
2001,%,Федерација БиХ,24.2
2002,%,Федерација БиХ,24.2
2003,%,Федерација БиХ,24.3
2004,%,Федерација БиХ,24.5
2005,%,Федерација БиХ,24.5
2006,%,Федерација БиХ,24.6
2007,%,Федерација БиХ,24.8
2008,%,Федерација БиХ,24.9
2009,%,Федерација БиХ,25.1
2010,%,Федерација БиХ,25.4
2011,%,Федерација БиХ,25.6
2012,%,Федерација БиХ,25.7
2013,%,Федерација БиХ,26.05
2014,%,Федерација БиХ,26.2
2015,%,Федерација БиХ,26.4
2016,%,Федерација БиХ,26.3
2017,%,Федерација БиХ,26.7
2018,%,Федерација БиХ,26.7
2019,%,Федерација БиХ,26.8
1998,%,Република Српска,23.8
1999,%,Република Српска,24.4
2000,%,Република Српска,24.6
2001,%,Република Српска,24.2
2002,%,Република Српска,24.6
2003,%,Република Српска,23.7
2004,%,Република Српска,24.6
2005,%,Република Српска,24.9
2006,%,Република Српска,25.0
2007,%,Република Српска,25.0
2008,%,Република Српска,25.4
2009,%,Република Српска,25.6
2010,%,Република Српска,25.9
2011,%,Република Српска,26.3
2012,%,Република Српска,26.4
2013,%,Република Српска,26.75
2014,%,Република Српска,26.9
2015,%,Република Српска,27.2
2016,%,Република Српска,26.9
2017,%,Република Српска,27.3
2018,%,Република Српска,27.6
2019,%,Република Српска,27.8
2008,%,Брчко Дистрикт БиХ,25.08
2009,%,Брчко Дистрикт БиХ,25.49
2010,%,Брчко Дистрикт БиХ,25.79
2012,%,Брчко Дистрикт БиХ,26.71
2013,%,Брчко Дистрикт БиХ,26.55
2014,%,Брчко Дистрикт БиХ,26.15
2015,%,Брчко Дистрикт БиХ,27.01
2017,%,Брчко Дистрикт БиХ,27.48
2018,%,Брчко Дистрикт БиХ,27.63
2019,%,Брчко Дистрикт БиХ,27.5
