Year,UNIT_MEASURE,Administrative area,Value
2002,Number,BiH,10.0
2002,Number,Federation of BiH,10.0
2003,Number,BiH,5.0
2003,Number,Federation of BiH,5.0
2004,Number,BiH,18.0
2004,Number,Federation of BiH,18.0
2005,Number,BiH,18.0
2005,Number,Federation of BiH,9.0
2005,Number,Republika Srpska,9.0
2006,Number,BiH,15.0
2006,Number,Federation of BiH,15.0
2007,Number,BiH,22.0
2007,Number,Federation of BiH,17.0
2007,Number,Republika Srpska,5.0
2008,Number,BiH,15.0
2008,Number,Federation of BiH,11.0
2008,Number,Republika Srpska,4.0
2009,Number,BiH,10.0
2009,Number,Federation of BiH,5.0
2009,Number,Republika Srpska,5.0
2010,Number,BiH,22.0
2010,Number,Federation of BiH,7.0
2010,Number,Republika Srpska,15.0
2011,Number,BiH,30.0
2011,Number,Federation of BiH,5.0
2011,Number,Republika Srpska,25.0
2012,Number,BiH,18.0
2012,Number,Federation of BiH,6.0
2012,Number,Republika Srpska,12.0
2013,Number,BiH,14.0
2013,Number,Federation of BiH,5.0
2013,Number,Republika Srpska,9.0
2014,Number,BiH,21.0
2014,Number,Federation of BiH,6.0
2014,Number,Republika Srpska,15.0
2015,Number,BiH,12.0
2015,Number,Federation of BiH,4.0
2015,Number,Republika Srpska,8.0
2016,Number,BiH,16.0
2016,Number,Federation of BiH,9.0
2016,Number,Republika Srpska,7.0
2017,Number,BiH,20.0
2017,Number,Federation of BiH,9.0
2017,Number,Republika Srpska,11.0
2018,Number,BiH,17.0
2018,Number,Federation of BiH,5.0
2018,Number,Republika Srpska,12.0
2019,Number,BiH,42.0
2019,Number,Federation of BiH,42.0
