Year,Пол,UNIT_MEASURE,Value
2020,Оба пола,Број на 1.000 становника,8.6
2025,Оба пола,Број на 1.000 становника,8.0
2030,Оба пола,Број на 1.000 становника,7.4
2035,Оба пола,Број на 1.000 становника,6.9
2040,Оба пола,Број на 1.000 становника,6.7
2045,Оба пола,Број на 1.000 становника,6.5
2050,Оба пола,Број на 1.000 становника,6.4
2055,Оба пола,Број на 1.000 становника,6.4
2060,Оба пола,Број на 1.000 становника,6.3
2065,Оба пола,Број на 1.000 становника,6.2
2070,Оба пола,Број на 1.000 становника,6.2
2020,M,Број на 1.000 становника,9.06
2025,M,Број на 1.000 становника,8.49
2030,M,Број на 1.000 становника,7.92
2035,M,Број на 1.000 становника,7.47
2040,M,Број на 1.000 становника,7.29
2045,M,Број на 1.000 становника,7.22
2050,M,Број на 1.000 становника,7.19
2055,M,Број на 1.000 становника,7.16
2060,M,Број на 1.000 становника,7.11
2065,M,Број на 1.000 становника,7.08
2070,M,Број на 1.000 становника,7.12
2020,Ж,Број на 1.000 становника,8.16
2025,Ж,Број на 1.000 становника,7.5
2030,Ж,Број на 1.000 становника,6.86
2035,Ж,Број на 1.000 становника,6.35
2040,Ж,Број на 1.000 становника,6.1
2045,Ж,Број на 1.000 становника,5.94
2050,Ж,Број на 1.000 становника,5.81
2055,Ж,Број на 1.000 становника,5.69
2060,Ж,Број на 1.000 становника,5.56
2065,Ж,Број на 1.000 становника,5.45
2070,Ж,Број на 1.000 становника,5.41
