Year,UNIT_MEASURE,Spol,Value
1996,Broj na 1000 živorođenih,Oba spola,5.82
1997,Broj na 1000 živorođenih,Oba spola,4.96
1998,Broj na 1000 živorođenih,Oba spola,4.49
1999,Broj na 1000 živorođenih,Oba spola,5.28
2000,Broj na 1000 živorođenih,Oba spola,4.02
2001,Broj na 1000 živorođenih,Oba spola,5.12
2002,Broj na 1000 živorođenih,Oba spola,3.88
2003,Broj na 1000 živorođenih,Oba spola,4.26
2004,Broj na 1000 živorođenih,Oba spola,4.78
2005,Broj na 1000 živorođenih,Oba spola,4.25
2006,Broj na 1000 živorođenih,Oba spola,4.03
2007,Broj na 1000 živorođenih,Oba spola,5.14
2008,Broj na 1000 živorođenih,Oba spola,5.0
2009,Broj na 1000 živorođenih,Oba spola,3.94
2010,Broj na 1000 živorođenih,Oba spola,4.27
2011,Broj na 1000 živorođenih,Oba spola,3.71
2012,Broj na 1000 živorođenih,Oba spola,3.69
2013,Broj na 1000 živorođenih,Oba spola,3.32
2014,Broj na 1000 živorođenih,Oba spola,2.54
2015,Broj na 1000 živorođenih,Oba spola,3.83
2016,Broj na 1000 živorođenih,Oba spola,3.64
2017,Broj na 1000 živorođenih,Oba spola,3.41
2018,Broj na 1000 živorođenih,Oba spola,2.99
2019,Broj na 1000 živorođenih,Oba spola,2.89
