Year,UNIT_MEASURE,Type_of_institution,Spol,Value
2015,Broj,_T,Oba spola,7871
2015,Broj,_T,M,3645
2015,Broj,_T,Ž,4226
2015,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,997
2015,Broj,homes_for_children_and_youth_without_parental_care,M,527
2015,Broj,homes_for_children_and_youth_without_parental_care,Ž,470
2015,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,1742
2015,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1041
2015,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,701
2015,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,282
2015,Broj,social_welfare_institutions_for_adults_with_disabilities,M,201
2015,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,81
2015,Broj,social_welfare_institutions_for_adults,Oba spola,4850
2015,Broj,social_welfare_institutions_for_adults,M,1876
2015,Broj,social_welfare_institutions_for_adults,Ž,2974
2016,Broj,_T,Oba spola,9249
2016,Broj,_T,M,4455
2016,Broj,_T,Ž,4794
2016,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,970
2016,Broj,homes_for_children_and_youth_without_parental_care,M,487
2016,Broj,homes_for_children_and_youth_without_parental_care,Ž,483
2016,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,2742
2016,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1668
2016,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,1074
2016,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,213
2016,Broj,social_welfare_institutions_for_adults_with_disabilities,M,141
2016,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,72
2016,Broj,social_welfare_institutions_for_adults,Oba spola,5324
2016,Broj,social_welfare_institutions_for_adults,M,2159
2016,Broj,social_welfare_institutions_for_adults,Ž,3165
2017,Broj,_T,Oba spola,9800
2017,Broj,_T,M,4489
2017,Broj,_T,Ž,5311
2017,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,1070
2017,Broj,homes_for_children_and_youth_without_parental_care,M,538
2017,Broj,homes_for_children_and_youth_without_parental_care,Ž,532
2017,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,2748
2017,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1643
2017,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Ž,1105
2017,Broj,social_welfare_institutions_for_adults_with_disabilities,Oba spola,204
2017,Broj,social_welfare_institutions_for_adults_with_disabilities,M,121
2017,Broj,social_welfare_institutions_for_adults_with_disabilities,Ž,83
2017,Broj,social_welfare_institutions_for_adults,Oba spola,5778
2017,Broj,social_welfare_institutions_for_adults,M,2187
2017,Broj,social_welfare_institutions_for_adults,Ž,3591
2018,Broj,_T,Oba spola,10232
2018,Broj,_T,M,4710
2018,Broj,_T,Ž,5522
2018,Broj,homes_for_children_and_youth_without_parental_care,Oba spola,965
2018,Broj,homes_for_children_and_youth_without_parental_care,M,476
2018,Broj,homes_for_children_and_youth_without_parental_care,Ž,489
2018,Broj,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,Oba spola,2776
