Year,UNIT_MEASURE,Godine,FERTILITY_RATE,Value
1996,Broj,_ALL,total_fertility_rate,1.647
1997,Broj,_ALL,total_fertility_rate,1.685
1998,Broj,_ALL,total_fertility_rate,1.558
1999,Broj,_ALL,total_fertility_rate,1.362
2000,Broj,_ALL,total_fertility_rate,1.279
2001,Broj,_ALL,total_fertility_rate,1.227
2002,Broj,_ALL,total_fertility_rate,1.228
2003,Broj,_ALL,total_fertility_rate,1.216
2004,Broj,_ALL,total_fertility_rate,1.218
2005,Broj,_ALL,total_fertility_rate,1.2
2006,Broj,_ALL,total_fertility_rate,1.177
2007,Broj,_ALL,total_fertility_rate,1.259
2008,Broj,_ALL,total_fertility_rate,1.285
2009,Broj,_ALL,total_fertility_rate,1.303
2010,Broj,_ALL,total_fertility_rate,1.267
2011,Broj,_ALL,total_fertility_rate,1.206
2012,Broj,_ALL,total_fertility_rate,1.349
2013,Broj,_ALL,total_fertility_rate,1.276
2014,Broj,_ALL,total_fertility_rate,1.259
2015,Broj,_ALL,total_fertility_rate,1.242
2016,Broj,_ALL,total_fertility_rate,1.259
2017,Broj,_ALL,total_fertility_rate,1.26
2018,Broj,_ALL,total_fertility_rate,1.253
2019,Broj,_ALL,total_fertility_rate,1.204
1996,Broj,0-15,age_specific_fertility_rates,0.1
1997,Broj,0-15,age_specific_fertility_rates,0.1
1998,Broj,0-15,age_specific_fertility_rates,0.0
1999,Broj,0-15,age_specific_fertility_rates,0.0
2000,Broj,0-15,age_specific_fertility_rates,0.0
2001,Broj,0-15,age_specific_fertility_rates,0.0
2002,Broj,0-15,age_specific_fertility_rates,0.0
2003,Broj,0-15,age_specific_fertility_rates,0.0
2004,Broj,0-15,age_specific_fertility_rates,0.0
2005,Broj,0-15,age_specific_fertility_rates,0.0
2006,Broj,0-15,age_specific_fertility_rates,0.0
2007,Broj,0-15,age_specific_fertility_rates,0.0
2008,Broj,0-15,age_specific_fertility_rates,0.1
2009,Broj,0-15,age_specific_fertility_rates,0.1
2010,Broj,0-15,age_specific_fertility_rates,0.1
