Year,Spol,Uzrok smrti (prema šiframa bolesti po MKB-10),UNIT_MEASURE,Value
1999,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,4591
1999,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,15911
1999,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,866
1999,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,709
1999,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2552
1999,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1022
1999,Oba spola,Ukupno,Broj,25651
1999,M,"(C00-C97,D00-D48) Neoplazme",Broj,2752
1999,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,7700
1999,M,(J00-J99) Bolesti respiratornog sistema,Broj,498
1999,M,(K00-K93) Bolesti digestivnog sistema,Broj,445
1999,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1347
1999,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,786
1999,M,Ukupno,Broj,13528
1999,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,1839
1999,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8211
1999,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,368
1999,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,264
1999,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1205
1999,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,236
1999,Ž,Ukupno,Broj,12123
2000,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,5122
2000,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,16283
2000,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,805
2000,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,848
2000,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,2860
2000,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1091
2000,Oba spola,Ukupno,Broj,27009
2000,M,"(C00-C97,D00-D48) Neoplazme",Broj,3144
2000,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,7810
2000,M,(J00-J99) Bolesti respiratornog sistema,Broj,464
2000,M,(K00-K93) Bolesti digestivnog sistema,Broj,518
2000,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1484
2000,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,812
2000,M,Ukupno,Broj,14232
2000,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,1978
2000,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8473
2000,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,341
2000,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,330
2000,Ž,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1376
2000,Ž,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,279
2000,Ž,Ukupno,Broj,12777
2001,Oba spola,(A00-B99) Zarazne i parazitarne bolesti,Broj,257
2001,Oba spola,"(C00-C97,D00-D48) Neoplazme",Broj,5347
2001,Oba spola,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,20
2001,Oba spola,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,667
2001,Oba spola,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,48
2001,Oba spola,(G00-G99) Bolesti nervnog sistema,Broj,161
2001,Oba spola,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2001,Oba spola,(I00-I99) Bolesti cirkulacijskog sistema,Broj,16328
2001,Oba spola,(J00-J99) Bolesti respiratornog sistema,Broj,745
2001,Oba spola,(K00-K93) Bolesti digestivnog sistema,Broj,827
2001,Oba spola,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,17
2001,Oba spola,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,14
2001,Oba spola,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,397
2001,Oba spola,"(O00-O99) Trudnoća, porođaj i postporođajni period",Broj,1
2001,Oba spola,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,188
2001,Oba spola,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,43
2001,Oba spola,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,3031
2001,Oba spola,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,1017
2001,Oba spola,(V01-Y98) Vanjski uzroci smrtnosti,Broj,261
2001,Oba spola,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,1
2001,Oba spola,Nepoznato,Broj,954
2001,Oba spola,Ukupno,Broj,30325
2001,M,(A00-B99) Zarazne i parazitarne bolesti,Broj,157
2001,M,"(C00-C97,D00-D48) Neoplazme",Broj,3288
2001,M,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,7
2001,M,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,240
2001,M,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,37
2001,M,(G00-G99) Bolesti nervnog sistema,Broj,79
2001,M,"(H00-H93) Bolesti oka, uha i adneksa",Broj,1
2001,M,(I00-I99) Bolesti cirkulacijskog sistema,Broj,7943
2001,M,(J00-J99) Bolesti respiratornog sistema,Broj,434
2001,M,(K00-K93) Bolesti digestivnog sistema,Broj,540
2001,M,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,5
2001,M,(M00-M99) Bolesti muskuloskeletnog sistema i vezivnog tkiva,Broj,6
2001,M,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,200
2001,M,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,109
2001,M,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,18
2001,M,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,1637
2001,M,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,768
2001,M,(V01-Y98) Vanjski uzroci smrtnosti,Broj,206
2001,M,Nepoznato,Broj,527
2001,M,Ukupno,Broj,16202
2001,Ž,(A00-B99) Zarazne i parazitarne bolesti,Broj,100
2001,Ž,"(C00-C97,D00-D48) Neoplazme",Broj,2059
2001,Ž,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,13
2001,Ž,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,427
2001,Ž,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,11
2001,Ž,(G00-G99) Bolesti nervnog sistema,Broj,82
2001,Ž,(I00-I99) Bolesti cirkulacijskog sistema,Broj,8385
2001,Ž,(J00-J99) Bolesti respiratornog sistema,Broj,311
2001,Ž,(K00-K93) Bolesti digestivnog sistema,Broj,287
