Year,UNIT_MEASURE,Spol,Nivo obrazovanja,Value
1991,Broj,Oba spola,Nepotpuno osnovno obrazovanje,658356.0
1991,% od ukupno,Oba spola,Nepotpuno osnovno obrazovanje,16.65
1991,Broj,M,Nepotpuno osnovno obrazovanje,285421.0
1991,% od ukupno,M,Nepotpuno osnovno obrazovanje,8.52
1991,Broj,Ž,Nepotpuno osnovno obrazovanje,372935.0
1991,% od ukupno,Ž,Nepotpuno osnovno obrazovanje,11.13
1991,Broj,Oba spola,Osnovna škola,818361.0
1991,% od ukupno,Oba spola,Osnovna škola,24.43
1991,Broj,M,Osnovna škola,421045.0
1991,% od ukupno,M,Osnovna škola,12.57
1991,Broj,Ž,Osnovna škola,397316.0
1991,% od ukupno,Ž,Osnovna škola,11.86
1991,Broj,Oba spola,Srednja škola,1092372.0
1991,% od ukupno,Oba spola,Srednja škola,32.61
1991,Broj,M,Srednja škola,671058.0
1991,% od ukupno,M,Srednja škola,20.03
1991,Broj,Ž,Srednja škola,421314.0
1991,% od ukupno,Ž,Srednja škola,12.58
1991,Broj,Oba spola,Visoko obrazovanje i prva godina fakulteta,92501.0
1991,% od ukupno,Oba spola,Visoko obrazovanje i prva godina fakulteta,2.76
1991,Broj,M,Visoko obrazovanje i prva godina fakulteta,56759.0
1991,% od ukupno,M,Visoko obrazovanje i prva godina fakulteta,1.69
1991,Broj,Ž,Visoko obrazovanje i prva godina fakulteta,35742.0
1991,% od ukupno,Ž,Visoko obrazovanje i prva godina fakulteta,1.07
1991,Broj,Oba spola,Napredne škole /fakultet /akademija /univerzitet,122967.0
1991,% od ukupno,Oba spola,Napredne škole /fakultet /akademija /univerzitet,3.67
1991,Broj,M,Napredne škole /fakultet /akademija /univerzitet,77240.0
1991,% od ukupno,M,Napredne škole /fakultet /akademija /univerzitet,2.31
1991,Broj,Ž,Napredne škole /fakultet /akademija /univerzitet,45727.0
1991,% od ukupno,Ž,Napredne škole /fakultet /akademija /univerzitet,1.37
1991,Broj,Oba spola,Nepoznato,93903.0
1991,% od ukupno,Oba spola,Nepoznato,2.8
1991,Broj,M,Nepoznato,47397.0
1991,% od ukupno,M,Nepoznato,1.41
1991,Broj,Ž,Nepoznato,46506.0
1991,% od ukupno,Ž,Nepoznato,1.39
1991,Broj,Oba spola,Bez obrazovanja,471182.0
1991,% od ukupno,Oba spola,Bez obrazovanja,14.07
