Year,UNIT_MEASURE,SPOL,AGE,Value
2006,%,Oba spola,15+,43.1
2006,%,Oba spola,15 - 24,33.4
2006,%,Oba spola,25 - 49,66.0
2006,%,Oba spola,50 - 64,36.6
2006,%,Oba spola,65+,5.7
2006,%,Oba spola,15 - 64,51.3
2006,%,M,15+,56.2
2006,%,M,15 - 24,40.1
2006,%,M,25 - 49,81.9
2006,%,M,50 - 64,53.4
2006,%,M,65+,8.0
2006,%,M,15 - 64,65.5
2006,%,Ž,15+,30.8
2006,%,Ž,15 - 24,26.3
2006,%,Ž,25 - 49,50.0
2006,%,Ž,50 - 64,22.1
2006,%,Ž,65+,4.0
2006,%,Ž,15 - 64,37.4
2007,%,Oba spola,15+,43.9
2007,%,Oba spola,15 - 24,33.4
2007,%,Oba spola,25 - 49,67.0
2007,%,Oba spola,50 - 64,38.9
2007,%,Oba spola,65+,5.9
2007,%,Oba spola,15 - 64,52.2
2007,%,M,15+,57.7
2007,%,M,15 - 24,40.8
2007,%,M,25 - 49,84.0
2007,%,M,50 - 64,55.4
2007,%,M,65+,9.0
2007,%,M,15 - 64,67.0
2007,%,Ž,15+,31.0
2007,%,Ž,15 - 24,25.7
2007,%,Ž,25 - 49,50.2
2007,%,Ž,50 - 64,23.7
2007,%,Ž,65+,3.6
2007,%,Ž,15 - 64,37.8
2008,%,Oba spola,15+,43.9
2008,%,Oba spola,15 - 24,33.2
2008,%,Oba spola,25 - 49,68.6
2008,%,Oba spola,50 - 64,40.5
2008,%,Oba spola,65+,5.4
2008,%,Oba spola,15 - 64,53.5
2008,%,M,15+,57.1
2008,%,M,15 - 24,40.0
2008,%,M,25 - 49,85.1
2008,%,M,50 - 64,57.2
2008,%,M,65+,8.3
2008,%,M,15 - 64,67.7
2008,%,Ž,15+,31.6
2008,%,Ž,15 - 24,25.6
2008,%,Ž,25 - 49,52.4
2008,%,Ž,50 - 64,25.7
2008,%,Ž,65+,3.2
2008,%,Ž,15 - 64,39.5
2009,%,Oba spola,15+,43.6
2009,%,Oba spola,15 - 24,32.6
2009,%,Oba spola,25 - 49,69.1
2009,%,Oba spola,50 - 64,40.8
2009,%,Oba spola,65+,4.2
2009,%,Oba spola,15 - 64,53.2
2009,%,M,15+,56.2
2009,%,M,15 - 24,40.4
2009,%,M,25 - 49,85.2
2009,%,M,50 - 64,55.3
2009,%,M,65+,5.6
2009,%,M,15 - 64,67.0
2009,%,Ž,15+,31.9
2009,%,Ž,15 - 24,24.3
2009,%,Ž,25 - 49,53.2
2009,%,Ž,50 - 64,27.6
2009,%,Ž,65+,3.1
2009,%,Ž,15 - 64,39.7
2010,%,Oba spola,15+,44.6
2010,%,Oba spola,15 - 24,33.0
2010,%,Oba spola,25 - 49,70.6
2010,%,Oba spola,50 - 64,40.5
2010,%,Oba spola,65+,4.6
2010,%,Oba spola,15 - 64,54.0
2010,%,M,15+,56.7
2010,%,M,15 - 24,39.7
2010,%,M,25 - 49,85.3
