Year,UNIT_MEASURE,Test,Value
1971,%,BiH,15.4
1972,%,BiH,14.5
1973,%,BiH,13.7
1974,%,BiH,13.8
1975,%,BiH,13.4
1976,%,BiH,13.4
1977,%,BiH,12.4
1978,%,BiH,11.4
1979,%,BiH,10.9
1980,%,BiH,10.9
1981,%,BiH,10.8
1982,%,BiH,11.2
1983,%,BiH,10.6
1984,%,BiH,10.8
1985,%,BiH,10.4
1986,%,BiH,9.9
1987,%,BiH,9.7
1988,%,BiH,9.6
1989,%,BiH,8.4
1990,%,BiH,8.7
1991,%,BiH,7.8
1996,%,BiH,5.9
1997,%,BiH,5.5
1998,%,BiH,4.5
1999,%,BiH,3.7
2000,%,BiH,2.4
2001,%,BiH,1.9
2002,%,BiH,1.4
2003,%,BiH,0.9
2004,%,BiH,0.7
2005,%,BiH,0.1
2006,%,BiH,0.2
2007,%,BiH,-0.3
2008,%,BiH,0.0
2009,%,BiH,-0.1
2010,%,BiH,-0.4
2011,%,BiH,-0.8
2012,%,BiH,-0.8
2013,%,BiH,-1.4
2014,%,BiH,-1.6
2015,%,BiH,-2.3
2016,%,BiH,-1.8
2017,%,BiH,-2.2
2018,%,BiH,-2.4
2019,%,BiH,-3.0
1996,%,Federacija BiH,8.9
1997,%,Federacija BiH,7.7
1998,%,Federacija BiH,6.8
1999,%,Federacija BiH,5.2
2000,%,Federacija BiH,3.6
2001,%,Federacija BiH,3.1
2002,%,Federacija BiH,2.6
2003,%,Federacija BiH,2.1
2004,%,Federacija BiH,1.7
2005,%,Federacija BiH,1.1
2006,%,Federacija BiH,1.3
2007,%,Federacija BiH,1.0
2008,%,Federacija BiH,1.5
2009,%,Federacija BiH,1.2
2010,%,Federacija BiH,0.8
2011,%,Federacija BiH,0.4
2012,%,Federacija BiH,0.3
2013,%,Federacija BiH,-0.1
2014,%,Federacija BiH,-0.2
2015,%,Federacija BiH,-1.1
2016,%,Federacija BiH,-0.7
2017,%,Federacija BiH,-0.8
2018,%,Federacija BiH,-1.2
2019,%,Federacija BiH,-1.8
1996,%,Republika Srpska,1.1
1997,%,Republika Srpska,1.6
1998,%,Republika Srpska,0.8
1999,%,Republika Srpska,1.5
2000,%,Republika Srpska,0.6
2001,%,Republika Srpska,0.1
2002,%,Republika Srpska,-0.5
2003,%,Republika Srpska,-2.1
2004,%,Republika Srpska,-2.1
2005,%,Republika Srpska,-2.9
2006,%,Republika Srpska,-2.3
2007,%,Republika Srpska,-3.4
2008,%,Republika Srpska,-2.8
2009,%,Republika Srpska,-2.7
2010,%,Republika Srpska,-2.9
2011,%,Republika Srpska,-3.5
2012,%,Republika Srpska,-3.3
2013,%,Republika Srpska,-3.8
2014,%,Republika Srpska,-4.3
2015,%,Republika Srpska,-4.9
2016,%,Republika Srpska,-3.9
2017,%,Republika Srpska,-4.6
2018,%,Republika Srpska,-4.6
2019,%,Republika Srpska,-5.1
2004,%,Brčko distrikt BiH,2.6
2005,%,Brčko distrikt BiH,2.0
2006,%,Brčko distrikt BiH,2.3
2007,%,Brčko distrikt BiH,2.1
2008,%,Brčko distrikt BiH,0.2
2009,%,Brčko distrikt BiH,0.3
2010,%,Brčko distrikt BiH,0.1
2011,%,Brčko distrikt BiH,-0.6
2012,%,Brčko distrikt BiH,0.5
2013,%,Brčko distrikt BiH,-0.5
2014,%,Brčko distrikt BiH,-1.0
2015,%,Brčko distrikt BiH,-2.2
2016,%,Brčko distrikt BiH,-1.3
2017,%,Brčko distrikt BiH,-2.4
2018,%,Brčko distrikt BiH,-2.1
2019,%,Brčko distrikt BiH,-2.8
