Year,UNIT_MEASURE,SPOL,Value
2010,% od ukupnog broja,M,28.1
2011,% od ukupnog broja,M,29.2
2012,% od ukupnog broja,M,30.5
2013,% od ukupnog broja,M,27.4
2014,% od ukupnog broja,M,27.9
2015,% od ukupnog broja,M,29.2
2016,% od ukupnog broja,M,28.0
2017,% od ukupnog broja,M,24.5
2018,% od ukupnog broja,M,22.1
2010,% od ukupnog broja,Ž,28.0
2011,% od ukupnog broja,Ž,26.1
2012,% od ukupnog broja,Ž,26.2
2013,% od ukupnog broja,Ž,24.1
2014,% od ukupnog broja,Ž,24.0
2015,% od ukupnog broja,Ž,26.0
2016,% od ukupnog broja,Ž,24.7
2017,% od ukupnog broja,Ž,24.0
2018,% od ukupnog broja,Ž,21.1
