Year,Administrativna oblast,UNIT_MEASURE,Value
1971,BiH,Broj na 1.000 stanovnika,9.4
1981,BiH,Broj na 1.000 stanovnika,8.9
1991,BiH,Broj na 1.000 stanovnika,6.5
1996,BiH,Broj na 1.000 stanovnika,5.8
1997,BiH,Broj na 1.000 stanovnika,6.2
1998,BiH,Broj na 1.000 stanovnika,6.1
1999,BiH,Broj na 1.000 stanovnika,6.0
2000,BiH,Broj na 1.000 stanovnika,5.8
2001,BiH,Broj na 1.000 stanovnika,5.3
2002,BiH,Broj na 1.000 stanovnika,5.3
2003,BiH,Broj na 1.000 stanovnika,5.4
2004,BiH,Broj na 1.000 stanovnika,5.8
2005,BiH,Broj na 1.000 stanovnika,5.6
2006,BiH,Broj na 1.000 stanovnika,5.6
2007,BiH,Broj na 1.000 stanovnika,6.12
2008,BiH,Broj na 1.000 stanovnika,5.77
2009,BiH,Broj na 1.000 stanovnika,5.37
2010,BiH,Broj na 1.000 stanovnika,5.08
2011,BiH,Broj na 1.000 stanovnika,4.99
2012,BiH,Broj na 1.000 stanovnika,4.75
2013,BiH,Broj na 1.000 stanovnika,5.0
2014,BiH,Broj na 1.000 stanovnika,5.3
2015,BiH,Broj na 1.000 stanovnika,5.6
2016,BiH,Broj na 1.000 stanovnika,5.5
2017,BiH,Broj na 1.000 stanovnika,5.7
2018,BiH,Broj na 1.000 stanovnika,5.7
2019,BiH,Broj na 1.000 stanovnika,5.4
