Year,UNIT_MEASURE,Tip odnosa zavisnosti,Spol,Value
1971,%,Ukupan omjer ekonomske podrške,Oba spola,65.4
1971,%,Ukupan omjer ekonomske podrške,M,67.9
1971,%,Ukupan omjer ekonomske podrške,Ž,63.0
1981,%,Ukupan omjer ekonomske podrške,Oba spola,52.3
1981,%,Ukupan omjer ekonomske podrške,M,53.0
1981,%,Ukupan omjer ekonomske podrške,Ž,51.6
1991,%,Ukupan omjer ekonomske podrške,Oba spola,48.3
1991,%,Ukupan omjer ekonomske podrške,M,46.8
1991,%,Ukupan omjer ekonomske podrške,Ž,49.7
2013,%,Ukupan omjer ekonomske podrške,Oba spola,42.1
2013,%,Ukupan omjer ekonomske podrške,M,39.2
2013,%,Ukupan omjer ekonomske podrške,Ž,44.9
1971,%,Omjer ekonomske podrške mladima,Oba spola,57.0
1971,%,Omjer ekonomske podrške mladima,M,60.2
1971,%,Omjer ekonomske podrške mladima,Ž,53.9
1981,%,Omjer ekonomske podrške mladima,Oba spola,42.5
1981,%,Omjer ekonomske podrške mladima,M,44.5
1981,%,Omjer ekonomske podrške mladima,Ž,40.6
1991,%,Omjer ekonomske podrške mladima,Oba spola,35.6
1991,%,Omjer ekonomske podrške mladima,M,36.6
1991,%,Omjer ekonomske podrške mladima,Ž,34.6
2013,%,Omjer ekonomske podrške mladima,Oba spola,21.9
2013,%,Omjer ekonomske podrške mladima,M,22.4
2013,%,Omjer ekonomske podrške mladima,Ž,21.3
1971,%,Omjer ekonomske podrške starijim osobama,Oba spola,8.4
1971,%,Omjer ekonomske podrške starijim osobama,M,7.7
1971,%,Omjer ekonomske podrške starijim osobama,Ž,9.1
1981,%,Omjer ekonomske podrške starijim osobama,Oba spola,9.8
1981,%,Omjer ekonomske podrške starijim osobama,M,8.5
1981,%,Omjer ekonomske podrške starijim osobama,Ž,11.0
1991,%,Omjer ekonomske podrške starijim osobama,Oba spola,12.7
1991,%,Omjer ekonomske podrške starijim osobama,M,10.1
1991,%,Omjer ekonomske podrške starijim osobama,Ž,15.2
2013,%,Omjer ekonomske podrške starijim osobama,Oba spola,20.2
2013,%,Omjer ekonomske podrške starijim osobama,M,16.8
2013,%,Omjer ekonomske podrške starijim osobama,Ž,23.6
1971,%,Omjer starijih i mladih,Oba spola,14.8
1971,%,Omjer starijih i mladih,M,12.8
1971,%,Omjer starijih i mladih,Ž,16.9
1981,%,Omjer starijih i mladih,Oba spola,23.1
1981,%,Omjer starijih i mladih,M,19.2
1981,%,Omjer starijih i mladih,Ž,27.2
1991,%,Omjer starijih i mladih,Oba spola,35.6
1991,%,Omjer starijih i mladih,M,27.7
1991,%,Omjer starijih i mladih,Ž,43.8
2013,%,Omjer starijih i mladih,Oba spola,92.3
2013,%,Omjer starijih i mladih,M,75.0
2013,%,Omjer starijih i mladih,Ž,110.6
