Year,Uzrok smrti (prema šiframa bolesti po MKB-10),UNIT_MEASURE,Value
1999,"(C00-C97,D00-D48) Neoplazme",Broj,123.0
1999,(I00-I99) Bolesti cirkulacijskog sistema,Broj,427.0
1999,(J00-J99) Bolesti respiratornog sistema,Broj,23.25
1999,(K00-K93) Bolesti digestivnog sistema,Broj,19.0
1999,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,68.51
1999,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,27.44
2000,"(C00-C97,D00-D48) Neoplazme",Broj,135.0
2000,(I00-I99) Bolesti cirkulacijskog sistema,Broj,431.0
2000,(J00-J99) Bolesti respiratornog sistema,Broj,21.29
2000,(K00-K93) Bolesti digestivnog sistema,Broj,22.0
2000,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,75.64
2000,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,28.85
2000,(A00-B99) Zarazne i parazitarne bolesti,Broj,6.77
2000,"(C00-C97,D00-D48) Neoplazme",Broj,141.0
2000,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,0.53
2000,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,18.0
2000,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,1.26
2000,(G00-G99) Bolesti nervnog sistema,Broj,4.0
2000,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2000,(I00-I99) Bolesti cirkulacijskog sistema,Broj,430.0
2000,(J00-J99) Bolesti respiratornog sistema,Broj,19.62
2000,(K00-K93) Bolesti digestivnog sistema,Broj,22.0
2000,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.45
2000,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,10.45
2000,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,4.95
2000,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.13
2000,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,79.81
2000,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,26.78
2000,(V01-Y98) Vanjski uzroci smrtnosti,Broj,6.87
2000,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2000,Nepoznato,Broj,25.12
2002,(A00-B99) Zarazne i parazitarne bolesti,Broj,6.87
2002,"(C00-C97,D00-D48) Neoplazme",Broj,138.0
2002,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,0.5
2002,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,23.0
2002,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,1.72
2002,(G00-G99) Bolesti nervnog sistema,Broj,4.0
2002,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2002,(I00-I99) Bolesti cirkulacijskog sistema,Broj,418.0
2002,(J00-J99) Bolesti respiratornog sistema,Broj,21.34
2002,(K00-K93) Bolesti digestivnog sistema,Broj,21.0
2002,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.44
2002,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,5.72
2002,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,5.9
2002,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.46
2002,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,77.93
2002,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,25.71
2002,(V01-Y98) Vanjski uzroci smrtnosti,Broj,6.32
2002,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2002,Nepoznato,Broj,46.76
2003,"(C00-C97,D00-D48) Neoplazme",Broj,151.0
2003,(I00-I99) Bolesti cirkulacijskog sistema,Broj,443.0
2003,(J00-J99) Bolesti respiratornog sistema,Broj,22.86
2003,(K00-K93) Bolesti digestivnog sistema,Broj,21.0
2003,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,82.62
2003,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,24.79
2003,Nepoznato,Broj,20.09
2004,(A00-B99) Zarazne i parazitarne bolesti,Broj,6.64
2004,"(C00-C97,D00-D48) Neoplazme",Broj,149.0
2004,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,0.81
2004,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,26.0
2004,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,2.71
2004,(G00-G99) Bolesti nervnog sistema,Broj,7.0
2004,(I00-I99) Bolesti cirkulacijskog sistema,Broj,461.0
2004,(J00-J99) Bolesti respiratornog sistema,Broj,23.61
2004,(K00-K93) Bolesti digestivnog sistema,Broj,22.0
2004,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.29
2004,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,12.16
2004,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,4.24
2004,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.09
2004,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,70.87
2004,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,23.95
2004,(V01-Y98) Vanjski uzroci smrtnosti,Broj,7.11
2004,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2004,Nepoznato,Broj,31.49
2005,"(C00-C97,D00-D48) Neoplazme",Broj,163.0
2005,(I00-I99) Bolesti cirkulacijskog sistema,Broj,466.0
2005,(J00-J99) Bolesti respiratornog sistema,Broj,32.32
2005,(K00-K93) Bolesti digestivnog sistema,Broj,21.0
2005,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,62.3
2005,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,24.77
2005,"(C00-C97,D00-D48) Neoplazme",Broj,3.14
2005,(I00-I99) Bolesti cirkulacijskog sistema,Broj,10.19
2005,(J00-J99) Bolesti respiratornog sistema,Broj,512.0
2005,(K00-K93) Bolesti digestivnog sistema,Broj,390.0
2005,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,62.3
2005,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,24.77
2006,(A00-B99) Zarazne i parazitarne bolesti,Broj,6.17
2006,"(C00-C97,D00-D48) Neoplazme",Broj,163.0
2006,"(D50-D89) Bolesti krvi i krvotvornih organa, kao i poremećaji imunološkog sistema",Broj,0.52
2006,"(E00-E90) Endokrine bolesti, bolesti ishrane i bolesti metabolizma",Broj,40.0
2006,(F00-F99) Duševni poremećaji i poremećaji ponašanja,Broj,3.07
2006,(G00-G99) Bolesti nervnog sistema,Broj,8.0
2006,"(H00-H93) Bolesti oka, uha i adneksa",Broj,0.03
2006,(I00-I99) Bolesti cirkulacijskog sistema,Broj,442.0
2006,(J00-J99) Bolesti respiratornog sistema,Broj,29.46
2006,(K00-K93) Bolesti digestivnog sistema,Broj,21.0
2006,(L00-L99) Bolesti kože i potkožnog tkiva,Broj,0.29
2006,(N00-N99) Bolesti genitalno-urinarnog sistema,Broj,14.23
2006,(P00-P96) Određena stanja nastala u perinatalnom periodu,Broj,4.81
2006,"(Q00-Q99) Kongenitalne malformacije, deformiteti i hromosomske abnormalnosti",Broj,1.46
2006,"(R00-R99) Simptomi, znakovi i abnormalni klinički i laboratorijski nalazi koji nisu drugdje klasificirani",Broj,71.4
2006,"(S00-T98) Ozljede, trovanja i druge posljedice s vanjskim uzrokom",Broj,26.46
2006,(V01-Y98) Vanjski uzroci smrtnosti,Broj,5.52
2006,(Z00-Z99) Faktori koji utječu na zdravstveno stanje i kontakt sa zdravstvenom službom,Broj,0.03
2006,Nepoznato,Broj,27.09
