Year,Municipality,AGE,UNIT_MEASURE,Sex,Value
2013,Sarajevo - Ilijaš,Total,Number,F,10222
2013,Istočna Ilidža,Total,Number,Both sexes,14763
2013,Istočna Ilidža,Total,Number,M,7069
2013,Istočna Ilidža,Total,Number,F,7694
2013,Istočni Drvar,Total,Number,Both sexes,79
2013,Istočni Drvar,Total,Number,M,53
2013,Istočni Drvar,Total,Number,F,26
2013,Istočni Mostar,Total,Number,Both sexes,257
2013,Istočni Mostar,Total,Number,M,142
2013,Istočni Mostar,Total,Number,F,115
2013,Istočni Stari Grad,Total,Number,Both sexes,1131
2013,Istočni Stari Grad,Total,Number,M,560
2013,Istočni Stari Grad,Total,Number,F,571
2013,Istočno Novo Sarajevo,Total,Number,Both sexes,10642
2013,Istočno Novo Sarajevo,Total,Number,M,5058
2013,Istočno Novo Sarajevo,Total,Number,F,5584
2013,Jablanica,Total,Number,Both sexes,10111
2013,Jablanica,Total,Number,M,5027
2013,Jablanica,Total,Number,F,5084
2013,Jajce,Total,Number,Both sexes,27258
2013,Jajce,Total,Number,M,13856
2013,Jajce,Total,Number,F,13402
2013,Jezero,Total,Number,Both sexes,1144
2013,Jezero,Total,Number,M,601
2013,Jezero,Total,Number,F,543
2013,Kakanj,Total,Number,Both sexes,37441
2013,Kakanj,Total,Number,M,18651
2013,Kakanj,Total,Number,F,18790
2013,Kalesija,Total,Number,Both sexes,33053
2013,Kalesija,Total,Number,M,16597
2013,Kalesija,Total,Number,F,16456
2013,Kalinovik,Total,Number,Both sexes,2029
2013,Kalinovik,Total,Number,M,987
2013,Kalinovik,Total,Number,F,1042
2013,Kiseljak,Total,Number,Both sexes,20722
2013,Kiseljak,Total,Number,M,10285
2013,Kiseljak,Total,Number,F,10437
2013,Kladanj,Total,Number,Both sexes,12348
2013,Kladanj,Total,Number,M,6108
2013,Kladanj,Total,Number,F,6240
2013,Ključ,Total,Number,Both sexes,16744
2013,Ključ,Total,Number,M,8365
2013,Ključ,Total,Number,F,8379
2013,Kneževo,Total,Number,Both sexes,9793
2013,Kneževo,Total,Number,M,4892
2013,Kneževo,Total,Number,F,4901
2013,Konjic,Total,Number,Both sexes,25148
2013,Konjic,Total,Number,M,12360
2013,Konjic,Total,Number,F,12788
2013,Kostajnica,Total,Number,Both sexes,5977
2013,Kostajnica,Total,Number,M,2967
2013,Kostajnica,Total,Number,F,3010
2013,Kotor Varoš,Total,Number,Both sexes,19710
2013,Kotor Varoš,Total,Number,M,9818
2013,Kotor Varoš,Total,Number,F,9892
2013,Kozarska Dubica,Total,Number,Both sexes,21524
2013,Kozarska Dubica,Total,Number,M,10516
2013,Kozarska Dubica,Total,Number,F,11008
2013,Kreševo,Total,Number,Both sexes,5273
2013,Kreševo,Total,Number,M,2597
2013,Kreševo,Total,Number,F,2676
2013,Krupa Na Uni,Total,Number,Both sexes,1597
2013,Krupa Na Uni,Total,Number,M,862
2013,Krupa Na Uni,Total,Number,F,735
2013,Kupres - FBiH,Total,Number,Both sexes,5057
2013,Kupres - FBiH,Total,Number,M,2541
2013,Kupres - FBiH,Total,Number,F,2516
2013,Kupres - RS,Total,Number,Both sexes,300
2013,Kupres - RS,Total,Number,M,160
2013,Kupres - RS,Total,Number,F,140
2013,Laktaši,Total,Number,Both sexes,34966
2013,Laktaši,Total,Number,M,17320
2013,Laktaši,Total,Number,F,17646
2013,Livno,Total,Number,Both sexes,34133
2013,Livno,Total,Number,M,17024
2013,Livno,Total,Number,F,17109
2013,Lopare,Total,Number,Both sexes,15357
2013,Lopare,Total,Number,M,7749
2013,Lopare,Total,Number,F,7608
2013,Lukavac,Total,Number,Both sexes,44520
2013,Lukavac,Total,Number,M,21786
2013,Lukavac,Total,Number,F,22734
2013,Ljubinje,Total,Number,Both sexes,3511
2013,Ljubinje,Total,Number,M,1725
2013,Ljubinje,Total,Number,F,1786
2013,Ljubuški,Total,Number,Both sexes,28184
2013,Ljubuški,Total,Number,M,14022
2013,Ljubuški,Total,Number,F,14162
2013,Maglaj,Total,Number,Both sexes,23146
2013,Maglaj,Total,Number,M,11430
2013,Maglaj,Total,Number,F,11716
2013,Milići,Total,Number,Both sexes,11441
2013,Milići,Total,Number,M,5798
2013,Milići,Total,Number,F,5643
2013,Modriča,Total,Number,Both sexes,25720
2013,Modriča,Total,Number,M,12561
2013,Modriča,Total,Number,F,13159
2013,Mostar,Total,Number,Both sexes,105797
2013,Mostar,Total,Number,M,51210
2013,Mostar,Total,Number,F,54587
2013,Mrkonjić Grad,Total,Number,Both sexes,16671
2013,Mrkonjić Grad,Total,Number,M,8096
2013,Mrkonjić Grad,Total,Number,F,8575
2013,Neum,Total,Number,Both sexes,4653
2013,Neum,Total,Number,M,2344
2013,Neum,Total,Number,F,2309
2013,Nevesinje,Total,Number,Both sexes,12961
2013,Nevesinje,Total,Number,M,6462
2013,Nevesinje,Total,Number,F,6499
2013,Novi Grad,Total,Number,Both sexes,27115
2013,Novi Grad,Total,Number,M,13594
2013,Novi Grad,Total,Number,F,13521
2013,Sarajevo - Novi Grad,Total,Number,Both sexes,118553
2013,Sarajevo - Novi Grad,Total,Number,M,55735
2013,Sarajevo - Novi Grad,Total,Number,F,62818
2013,Novi Travnik,Total,Number,Both sexes,23832
2013,Novi Travnik,Total,Number,M,11862
2013,Novi Travnik,Total,Number,F,11970
2013,Novo Goražde,Total,Number,Both sexes,3117
2013,Novo Goražde,Total,Number,M,1618
2013,Novo Goražde,Total,Number,F,1499
2013,Sarajevo - Novo Sarajevo,Total,Number,Both sexes,64814
2013,Sarajevo - Novo Sarajevo,Total,Number,M,29580
2013,Sarajevo - Novo Sarajevo,Total,Number,F,35234
2013,Odžak,Total,Number,Both sexes,18821
2013,Odžak,Total,Number,M,9373
2013,Odžak,Total,Number,F,9448
2013,Olovo,Total,Number,Both sexes,10175
2013,Olovo,Total,Number,M,5084
2013,Olovo,Total,Number,F,5091
2013,Orašje,Total,Number,Both sexes,19861
2013,Orašje,Total,Number,M,10059
2013,Orašje,Total,Number,F,9802
2013,Osmaci,Total,Number,Both sexes,6016
2013,Osmaci,Total,Number,M,3065
2013,Osmaci,Total,Number,F,2951
2013,Oštra Luka,Total,Number,Both sexes,2786
2013,Oštra Luka,Total,Number,M,1440
2013,Oštra Luka,Total,Number,F,1346
2013,Pale - FBiH,Total,Number,Both sexes,904
2013,Pale - FBiH,Total,Number,M,456
2013,Pale - FBiH,Total,Number,F,448
2013,Pale - RS,Total,Number,Both sexes,20909
2013,Pale - RS,Total,Number,M,10038
2013,Pale - RS,Total,Number,F,10871
2013,Pelagićevo,Total,Number,Both sexes,5220
2013,Pelagićevo,Total,Number,M,2609
2013,Pelagićevo,Total,Number,F,2611
2013,Petrovac,Total,Number,Both sexes,361
2013,Petrovac,Total,Number,M,172
2013,Petrovac,Total,Number,F,189
2013,Petrovo,Total,Number,Both sexes,6474
2013,Petrovo,Total,Number,M,3124
2013,Petrovo,Total,Number,F,3350
2013,Posušje,Total,Number,Both sexes,20477
2013,Posušje,Total,Number,M,10287
2013,Posušje,Total,Number,F,10190
2013,Prijedor,Total,Number,Both sexes,89397
2013,Prijedor,Total,Number,M,43863
2013,Prijedor,Total,Number,F,45534
2013,Prnjavor,Total,Number,Both sexes,35956
2013,Prnjavor,Total,Number,M,17572
2013,Prnjavor,Total,Number,F,18384
2013,Prozor,Total,Number,Both sexes,14280
2013,Prozor,Total,Number,M,7210
2013,Prozor,Total,Number,F,7070
2013,Ravno,Total,Number,Both sexes,3219
2013,Ravno,Total,Number,M,1657
2013,Ravno,Total,Number,F,1562
2013,Ribnik,Total,Number,Both sexes,6048
2013,Ribnik,Total,Number,M,3009
2013,Ribnik,Total,Number,F,3039
2013,Rogatica,Total,Number,Both sexes,10723
2013,Rogatica,Total,Number,M,5270
2013,Rogatica,Total,Number,F,5453
2013,Rudo,Total,Number,Both sexes,7963
2013,Rudo,Total,Number,M,4050
2013,Rudo,Total,Number,F,3913
2013,Sanski Most,Total,Number,Both sexes,41475
2013,Sanski Most,Total,Number,M,20826
2013,Sanski Most,Total,Number,F,20649
2013,Sapna,Total,Number,Both sexes,11178
2013,Sapna,Total,Number,M,5739
2013,Sapna,Total,Number,F,5439
2013,Sokolac,Total,Number,Both sexes,12021
2013,Sokolac,Total,Number,M,5919
2013,Sokolac,Total,Number,F,6102
2013,Srbac,Total,Number,Both sexes,17587
2013,Srbac,Total,Number,M,8623
2013,Srbac,Total,Number,F,8964
2013,Srebrenica,Total,Number,Both sexes,13409
2013,Srebrenica,Total,Number,M,6602
2013,Srebrenica,Total,Number,F,6807
2013,Srebrenik,Total,Number,Both sexes,39678
2013,Srebrenik,Total,Number,M,19348
2013,Srebrenik,Total,Number,F,20330
2013,Sarajevo - Stari Grad,Total,Number,Both sexes,36976
2013,Sarajevo - Stari Grad,Total,Number,M,17482
2013,Sarajevo - Stari Grad,Total,Number,F,19494
2013,Stolac,Total,Number,Both sexes,14502
2013,Stolac,Total,Number,M,7326
2013,Stolac,Total,Number,F,7176
2013,Šamac,Total,Number,Both sexes,17273
2013,Šamac,Total,Number,M,8385
2013,Šamac,Total,Number,F,8888
2013,Šekovići,Total,Number,Both sexes,6761
2013,Šekovići,Total,Number,M,3360
2013,Šekovići,Total,Number,F,3401
2013,Šipovo,Total,Number,Both sexes,10293
2013,Šipovo,Total,Number,M,5221
2013,Šipovo,Total,Number,F,5072
2013,Široki Brijeg,Total,Number,Both sexes,28929
2013,Široki Brijeg,Total,Number,M,14381
2013,Široki Brijeg,Total,Number,F,14548
2013,Teočak,Total,Number,Both sexes,7424
2013,Teočak,Total,Number,M,3767
2013,Teočak,Total,Number,F,3657
2013,Teslić,Total,Number,Both sexes,38536
2013,Teslić,Total,Number,M,18679
2013,Teslić,Total,Number,F,19857
2013,Tešanj,Total,Number,Both sexes,43063
2013,Tešanj,Total,Number,M,21376
2013,Tešanj,Total,Number,F,21687
2013,Tomislavgrad,Total,Number,Both sexes,31592
2013,Tomislavgrad,Total,Number,M,16055
2013,Tomislavgrad,Total,Number,F,15537
2013,Travnik,Total,Number,Both sexes,53482
2013,Travnik,Total,Number,M,26574
2013,Travnik,Total,Number,F,26908
2013,Trebinje,Total,Number,Both sexes,29198
2013,Trebinje,Total,Number,M,14251
2013,Trebinje,Total,Number,F,14947
2013,Trnovo - FBiH,Total,Number,Both sexes,1502
2013,Trnovo - FBiH,Total,Number,M,735
2013,Trnovo - FBiH,Total,Number,F,767
2013,Trnovo - RS,Total,Number,Both sexes,2050
2013,Trnovo - RS,Total,Number,M,989
2013,Trnovo - RS,Total,Number,F,1061
2013,Tuzla,Total,Number,Both sexes,110979
2013,Tuzla,Total,Number,M,52745
2013,Tuzla,Total,Number,F,58234
2013,Ugljevik,Total,Number,Both sexes,15710
2013,Ugljevik,Total,Number,M,7937
2013,Ugljevik,Total,Number,F,7773
2013,Usora,Total,Number,Both sexes,6603
2013,Usora,Total,Number,M,3266
2013,Usora,Total,Number,F,3337
2013,Vareš,Total,Number,Both sexes,8892
2013,Vareš,Total,Number,M,4373
2013,Vareš,Total,Number,F,4519
2013,Velika Kladuša,Total,Number,Both sexes,40419
2013,Velika Kladuša,Total,Number,M,19889
2013,Velika Kladuša,Total,Number,F,20530
2013,Visoko,Total,Number,Both sexes,39938
2013,Visoko,Total,Number,M,19705
2013,Visoko,Total,Number,F,20233
2013,Višegrad,Total,Number,Both sexes,10668
2013,Višegrad,Total,Number,M,5106
2013,Višegrad,Total,Number,F,5562
2013,Vitez,Total,Number,Both sexes,25836
2013,Vitez,Total,Number,M,12767
2013,Vitez,Total,Number,F,13069
2013,Vlasenica,Total,Number,Both sexes,11467
2013,Vlasenica,Total,Number,M,5638
2013,Vlasenica,Total,Number,F,5829
2013,Sarajevo - Vogošća,Total,Number,Both sexes,26343
2013,Sarajevo - Vogošća,Total,Number,M,12606
2013,Sarajevo - Vogošća,Total,Number,F,13737
2013,Vukosavlje,Total,Number,Both sexes,4667
2013,Vukosavlje,Total,Number,M,2340
2013,Vukosavlje,Total,Number,F,2327
2013,Zavidovići,Total,Number,Both sexes,35988
2013,Zavidovići,Total,Number,M,17883
2013,Zavidovići,Total,Number,F,18105
2013,Zenica,Total,Number,Both sexes,110663
2013,Zenica,Total,Number,M,54660
2013,Zenica,Total,Number,F,56003
2013,Zvornik,Total,Number,Both sexes,58856
2013,Zvornik,Total,Number,M,29270
2013,Zvornik,Total,Number,F,29586
2013,Žepče,Total,Number,Both sexes,30219
2013,Žepče,Total,Number,M,15335
2013,Žepče,Total,Number,F,14884
2013,Živinice,Total,Number,Both sexes,57765
2013,Živinice,Total,Number,M,28714
2013,Živinice,Total,Number,F,29051
2013,Banja Luka,0-4,Number,Both sexes,9610
2013,Banja Luka,0-4,Number,M,4898
2013,Banja Luka,0-4,Number,F,4712
2013,Banovići,0-4,Number,Both sexes,1206
2013,Banovići,0-4,Number,M,614
2013,Banovići,0-4,Number,F,592
2013,Berkovići,0-4,Number,Both sexes,93
2013,Berkovići,0-4,Number,M,45
2013,Berkovići,0-4,Number,F,48
2013,Bihać,0-4,Number,Both sexes,2652
2013,Bihać,0-4,Number,M,1361
2013,Bihać,0-4,Number,F,1291
2013,Bijeljina,0-4,Number,Both sexes,5080
2013,Bijeljina,0-4,Number,M,2637
2013,Bijeljina,0-4,Number,F,2443
2013,Bileća,0-4,Number,Both sexes,487
2013,Bileća,0-4,Number,M,255
2013,Bileća,0-4,Number,F,232
2013,Bosanska Krupa,0-4,Number,Both sexes,1423
2013,Bosanska Krupa,0-4,Number,M,735
2013,Bosanska Krupa,0-4,Number,F,688
2013,Bosanski Petrovac,0-4,Number,Both sexes,249
2013,Bosanski Petrovac,0-4,Number,M,126
2013,Bosanski Petrovac,0-4,Number,F,123
2013,Bosansko Grahovo,0-4,Number,Both sexes,69
2013,Bosansko Grahovo,0-4,Number,M,39
2013,Bosansko Grahovo,0-4,Number,F,30
2013,Bratunac,0-4,Number,Both sexes,948
2013,Bratunac,0-4,Number,M,509
2013,Bratunac,0-4,Number,F,439
2013,Brčko,0-4,Number,Both sexes,4165
2013,Brčko,0-4,Number,M,2178
2013,Brčko,0-4,Number,F,1987
2013,Breza,0-4,Number,Both sexes,698
2013,Breza,0-4,Number,M,348
2013,Breza,0-4,Number,F,350
2013,Brod,0-4,Number,Both sexes,771
2013,Brod,0-4,Number,M,402
2013,Brod,0-4,Number,F,369
2013,Bugojno,0-4,Number,Both sexes,1484
2013,Bugojno,0-4,Number,M,786
2013,Bugojno,0-4,Number,F,698
2013,Busovača,0-4,Number,Both sexes,961
2013,Busovača,0-4,Number,M,494
2013,Busovača,0-4,Number,F,467
2013,Bužim,0-4,Number,Both sexes,1405
2013,Bužim,0-4,Number,M,732
2013,Bužim,0-4,Number,F,673
2013,Cazin,0-4,Number,Both sexes,3940
2013,Cazin,0-4,Number,M,2050
2013,Cazin,0-4,Number,F,1890
2013,Sarajevo - Centar,0-4,Number,Both sexes,2588
2013,Sarajevo - Centar,0-4,Number,M,1308
2013,Sarajevo - Centar,0-4,Number,F,1280
2013,Čajniče,0-4,Number,Both sexes,185
2013,Čajniče,0-4,Number,M,85
2013,Čajniče,0-4,Number,F,100
2013,Čapljina,0-4,Number,Both sexes,1233
2013,Čapljina,0-4,Number,M,628
2013,Čapljina,0-4,Number,F,605
2013,Čelić,0-4,Number,Both sexes,475
2013,Čelić,0-4,Number,M,229
2013,Čelić,0-4,Number,F,246
2013,Čelinac,0-4,Number,Both sexes,769
2013,Čelinac,0-4,Number,M,399
2013,Čelinac,0-4,Number,F,370
2013,Čitluk,0-4,Number,Both sexes,1002
2013,Čitluk,0-4,Number,M,480
2013,Čitluk,0-4,Number,F,522
2013,Derventa,0-4,Number,Both sexes,1170
2013,Derventa,0-4,Number,M,580
2013,Derventa,0-4,Number,F,590
2013,Doboj,0-4,Number,Both sexes,3330
2013,Doboj,0-4,Number,M,1695
2013,Doboj,0-4,Number,F,1635
2013,Doboj-Istok,0-4,Number,Both sexes,541
2013,Doboj-Istok,0-4,Number,M,292
2013,Doboj-Istok,0-4,Number,F,249
2013,Doboj-Jug,0-4,Number,Both sexes,235
2013,Doboj-Jug,0-4,Number,M,120
2013,Doboj-Jug,0-4,Number,F,115
2013,Dobretići,0-4,Number,Both sexes,30
2013,Dobretići,0-4,Number,M,18
2013,Dobretići,0-4,Number,F,12
2013,Domaljevac-Šamac,0-4,Number,Both sexes,163
2013,Domaljevac-Šamac,0-4,Number,M,89
2013,Domaljevac-Šamac,0-4,Number,F,74
2013,Donji Vakuf,0-4,Number,Both sexes,680
2013,Donji Vakuf,0-4,Number,M,338
2013,Donji Vakuf,0-4,Number,F,342
2013,Donji Žabar,0-4,Number,Both sexes,145
2013,Donji Žabar,0-4,Number,M,70
2013,Donji Žabar,0-4,Number,F,75
2013,Drvar,0-4,Number,Both sexes,210
2013,Drvar,0-4,Number,M,106
2013,Drvar,0-4,Number,F,104
2013,Foča - FBiH,0-4,Number,Both sexes,85
2013,Foča - FBiH,0-4,Number,M,50
2013,Foča - FBiH,0-4,Number,F,35
2013,Foča - RS,0-4,Number,Both sexes,644
2013,Foča - RS,0-4,Number,M,367
2013,Foča - RS,0-4,Number,F,277
2013,Fojnica,0-4,Number,Both sexes,557
2013,Fojnica,0-4,Number,M,294
2013,Fojnica,0-4,Number,F,263
2013,Gacko,0-4,Number,Both sexes,419
2013,Gacko,0-4,Number,M,206
2013,Gacko,0-4,Number,F,213
2013,Glamoč,0-4,Number,Both sexes,145
2013,Glamoč,0-4,Number,M,77
2013,Glamoč,0-4,Number,F,68
2013,Goražde,0-4,Number,Both sexes,978
2013,Goražde,0-4,Number,M,513
2013,Goražde,0-4,Number,F,465
2013,Gornji Vakuf-Uskoplje,0-4,Number,Both sexes,1072
2013,Gornji Vakuf-Uskoplje,0-4,Number,M,559
2013,Gornji Vakuf-Uskoplje,0-4,Number,F,513
2013,Gračanica,0-4,Number,Both sexes,2600
2013,Gračanica,0-4,Number,M,1276
2013,Gračanica,0-4,Number,F,1324
2013,Gradačac,0-4,Number,Both sexes,2100
2013,Gradačac,0-4,Number,M,1060
2013,Gradačac,0-4,Number,F,1040
2013,Gradiška,0-4,Number,Both sexes,2092
2013,Gradiška,0-4,Number,M,1044
2013,Gradiška,0-4,Number,F,1048
2013,Grude,0-4,Number,Both sexes,805
2013,Grude,0-4,Number,M,409
2013,Grude,0-4,Number,F,396
2013,Sarajevo - Hadžići,0-4,Number,Both sexes,1380
2013,Sarajevo - Hadžići,0-4,Number,M,682
2013,Sarajevo - Hadžići,0-4,Number,F,698
2013,Han Pijesak,0-4,Number,Both sexes,134
2013,Han Pijesak,0-4,Number,M,72
2013,Han Pijesak,0-4,Number,F,62
2013,Sarajevo - Ilidža,0-4,Number,Both sexes,3915
2013,Sarajevo - Ilidža,0-4,Number,M,2013
2013,Sarajevo - Ilidža,0-4,Number,F,1902
2013,Sarajevo - Ilijaš,0-4,Number,Both sexes,1085
2013,Sarajevo - Ilijaš,0-4,Number,M,556
2013,Sarajevo - Ilijaš,0-4,Number,F,529
2013,Istočna Ilidža,0-4,Number,Both sexes,649
2013,Istočna Ilidža,0-4,Number,M,342
2013,Istočna Ilidža,0-4,Number,F,307
2013,Istočni Drvar,0-4,Number,Both sexes,-
2013,Istočni Drvar,0-4,Number,M,-
2013,Istočni Drvar,0-4,Number,F,-
2013,Istočni Mostar,0-4,Number,Both sexes,7
2013,Istočni Mostar,0-4,Number,M,4
2013,Istočni Mostar,0-4,Number,F,3
2013,Istočni Stari Grad,0-4,Number,Both sexes,40
2013,Istočni Stari Grad,0-4,Number,M,23
2013,Istočni Stari Grad,0-4,Number,F,17
2013,Istočno Novo Sarajevo,0-4,Number,Both sexes,625
2013,Istočno Novo Sarajevo,0-4,Number,M,300
2013,Istočno Novo Sarajevo,0-4,Number,F,325
2013,Jablanica,0-4,Number,Both sexes,440
2013,Jablanica,0-4,Number,M,231
2013,Jablanica,0-4,Number,F,209
2013,Jajce,0-4,Number,Both sexes,1311
2013,Jajce,0-4,Number,M,672
2013,Jajce,0-4,Number,F,639
2013,Jezero,0-4,Number,Both sexes,44
2013,Jezero,0-4,Number,M,22
2013,Jezero,0-4,Number,F,22
2013,Kakanj,0-4,Number,Both sexes,2102
2013,Kakanj,0-4,Number,M,1130
2013,Kakanj,0-4,Number,F,972
2013,Kalesija,0-4,Number,Both sexes,1841
2013,Kalesija,0-4,Number,M,936
2013,Kalesija,0-4,Number,F,905
2013,Kalinovik,0-4,Number,Both sexes,52
2013,Kalinovik,0-4,Number,M,25
2013,Kalinovik,0-4,Number,F,27
2013,Kiseljak,0-4,Number,Both sexes,1082
2013,Kiseljak,0-4,Number,M,531
2013,Kiseljak,0-4,Number,F,551
2013,Kladanj,0-4,Number,Both sexes,606
2013,Kladanj,0-4,Number,M,336
2013,Kladanj,0-4,Number,F,270
2013,Ključ,0-4,Number,Both sexes,699
2013,Ključ,0-4,Number,M,342
2013,Ključ,0-4,Number,F,357
2013,Kneževo,0-4,Number,Both sexes,406
2013,Kneževo,0-4,Number,M,213
2013,Kneževo,0-4,Number,F,193
2013,Konjic,0-4,Number,Both sexes,1046
2013,Konjic,0-4,Number,M,516
2013,Konjic,0-4,Number,F,530
2013,Kostajnica,0-4,Number,Both sexes,222
2013,Kostajnica,0-4,Number,M,103
2013,Kostajnica,0-4,Number,F,119
2013,Kotor Varoš,0-4,Number,Both sexes,922
2013,Kotor Varoš,0-4,Number,M,478
