Year,CAUSE_OF_DEATH,UNIT_MEASURE,Spol,Value
1999,neoplasms,Broj,Oba spola,4.591
1999,diseases_of_the_circulatory,Broj,Oba spola,15.911
1999,diseases_of_the_respiratory,Broj,Oba spola,866.0
1999,diseases_of_the_digestive,Broj,Oba spola,709.0
1999,symptoms_signs_and_abnormal,Broj,Oba spola,2552.0
1999,injuries_poisoning_and_consequences,Broj,Oba spola,1022.0
1999,Ukupno,Broj,Oba spola,25651.0
1999,neoplasms,Broj,Muškarci,2.752
1999,diseases_of_the_circulatory,Broj,Muškarci,7.7
1999,diseases_of_the_respiratory,Broj,Muškarci,498.0
1999,diseases_of_the_digestive,Broj,Muškarci,445.0
1999,symptoms_signs_and_abnormal,Broj,Muškarci,1347.0
1999,injuries_poisoning_and_consequences,Broj,Muškarci,786.0
1999,Ukupno,Broj,Muškarci,13528.0
1999,neoplasms,Broj,Žene,1.839
1999,diseases_of_the_circulatory,Broj,Žene,8.211
1999,diseases_of_the_respiratory,Broj,Žene,368.0
1999,diseases_of_the_digestive,Broj,Žene,264.0
1999,symptoms_signs_and_abnormal,Broj,Žene,1205.0
1999,injuries_poisoning_and_consequences,Broj,Žene,236.0
1999,Ukupno,Broj,Žene,12123.0
2000,neoplasms,Broj,Oba spola,5.122
2000,diseases_of_the_circulatory,Broj,Oba spola,16.283
2000,diseases_of_the_respiratory,Broj,Oba spola,805.0
2000,diseases_of_the_digestive,Broj,Oba spola,848.0
2000,symptoms_signs_and_abnormal,Broj,Oba spola,2860.0
2000,injuries_poisoning_and_consequences,Broj,Oba spola,1091.0
2000,Ukupno,Broj,Oba spola,27009.0
2000,neoplasms,Broj,Muškarci,3.144
2000,diseases_of_the_circulatory,Broj,Muškarci,7.81
2000,diseases_of_the_respiratory,Broj,Muškarci,464.0
2000,diseases_of_the_digestive,Broj,Muškarci,518.0
2000,symptoms_signs_and_abnormal,Broj,Muškarci,1484.0
2000,injuries_poisoning_and_consequences,Broj,Muškarci,812.0
2000,Ukupno,Broj,Muškarci,14232.0
2000,neoplasms,Broj,Žene,1.978
2000,diseases_of_the_circulatory,Broj,Žene,8.473
2000,diseases_of_the_respiratory,Broj,Žene,341.0
2000,diseases_of_the_digestive,Broj,Žene,330.0
2000,symptoms_signs_and_abnormal,Broj,Žene,1376.0
2000,injuries_poisoning_and_consequences,Broj,Žene,279.0
2000,Ukupno,Broj,Žene,12777.0
2001,infectious_and_parasitic,Broj,Oba spola,257.0
2001,neoplasms,Broj,Oba spola,5.347
2001,diseases_of_the_blood,Broj,Oba spola,20.0
2001,endocrine_metabolic_and_nutritional,Broj,Oba spola,667.0
2001,mental_and_behavioural_disorders,Broj,Oba spola,48.0
2001,diseases_of_the_nervous,Broj,Oba spola,161.0
2001,diseases_of_the_eye,Broj,Oba spola,1.0
2001,diseases_of_the_circulatory,Broj,Oba spola,16.328
2001,diseases_of_the_respiratory,Broj,Oba spola,745.0
2001,diseases_of_the_digestive,Broj,Oba spola,827.0
2001,diseases_of_the_skin,Broj,Oba spola,17.0
2001,diseases_of_the_musculoskeletal,Broj,Oba spola,14.0
2001,diseases_of_the_genitourinary,Broj,Oba spola,397.0
2001,pregnancy_childbirth_and_the,Broj,Oba spola,1.0
2001,certain_conditions_originating,Broj,Oba spola,188.0
2001,congenital_malformations_deformations,Broj,Oba spola,43.0
2001,symptoms_signs_and_abnormal,Broj,Oba spola,3031.0
2001,injuries_poisoning_and_consequences,Broj,Oba spola,1017.0
2001,external_causes_of_mortality,Broj,Oba spola,261.0
2001,factors_influencing_health_status,Broj,Oba spola,1.0
2001,unknown,Broj,Oba spola,954.0
2001,Ukupno,Broj,Oba spola,30325.0
2001,infectious_and_parasitic,Broj,Muškarci,157.0
2001,neoplasms,Broj,Muškarci,3.288
2001,diseases_of_the_blood,Broj,Muškarci,7.0
2001,endocrine_metabolic_and_nutritional,Broj,Muškarci,240.0
2001,mental_and_behavioural_disorders,Broj,Muškarci,37.0
2001,diseases_of_the_nervous,Broj,Muškarci,79.0
2001,diseases_of_the_eye,Broj,Muškarci,1.0
2001,diseases_of_the_circulatory,Broj,Muškarci,7.943
2001,diseases_of_the_respiratory,Broj,Muškarci,434.0
2001,diseases_of_the_digestive,Broj,Muškarci,540.0
2001,diseases_of_the_skin,Broj,Muškarci,5.0
2001,diseases_of_the_musculoskeletal,Broj,Muškarci,6.0
2001,diseases_of_the_genitourinary,Broj,Muškarci,200.0
2001,pregnancy_childbirth_and_the,Broj,Muškarci,0.0
2001,certain_conditions_originating,Broj,Muškarci,109.0
2001,congenital_malformations_deformations,Broj,Muškarci,18.0
2001,symptoms_signs_and_abnormal,Broj,Muškarci,1637.0
2001,injuries_poisoning_and_consequences,Broj,Muškarci,768.0
2001,external_causes_of_mortality,Broj,Muškarci,206.0
2001,unknown,Broj,Muškarci,527.0
2001,Ukupno,Broj,Muškarci,16202.0
2001,infectious_and_parasitic,Broj,Žene,100.0
