Year,UNIT_MEASURE,ADMIN_AREA,Value
2005,NUMBER,BiH,351.0
2005,NUMBER,RS,351.0
2006,NUMBER,BiH,331.0
2006,NUMBER,RS,331.0
2007,NUMBER,BiH,918.0
2007,NUMBER,FBIH,521.0
2007,NUMBER,RS,397.0
2008,NUMBER,BiH,852.0
2008,NUMBER,FBIH,425.0
2008,NUMBER,RS,427.0
2009,NUMBER,BiH,963.0
2009,NUMBER,FBIH,560.0
2009,NUMBER,RS,403.0
2010,NUMBER,BiH,876.0
2010,NUMBER,FBIH,465.0
2010,NUMBER,RS,411.0
2011,NUMBER,BiH,852.0
2011,NUMBER,FBIH,419.0
2011,NUMBER,RS,433.0
2012,NUMBER,BiH,488.0
2012,NUMBER,FBIH,488.0
2013,NUMBER,BiH,307.0
2013,NUMBER,FBIH,307.0
2014,NUMBER,BiH,208.0
2014,NUMBER,FBIH,208.0
2015,NUMBER,BiH,538.0
2015,NUMBER,FBIH,538.0
2016,NUMBER,BiH,1023.0
2016,NUMBER,FBIH,574.0
2016,NUMBER,RS,449.0
2017,NUMBER,BiH,556.0
2017,NUMBER,FBIH,556.0
