Year,UNIT_MEASURE,Administrative area,Value
1971,Number per 1000 marriages,BiH,88.2
1981,Number per 1000 marriages,BiH,93.3
1991,Number per 1000 marriages,BiH,56.3
1997,Number per 1000 marriages,BiH,79.0
1998,Number per 1000 marriages,BiH,87.7
1999,Number per 1000 marriages,BiH,88.8
2000,Number per 1000 marriages,BiH,88.1
2001,Number per 1000 marriages,BiH,104.7
2002,Number per 1000 marriages,BiH,112.9
2003,Number per 1000 marriages,BiH,92.5
2004,Number per 1000 marriages,BiH,68.4
2005,Number per 1000 marriages,BiH,81.3
2006,Number per 1000 marriages,BiH,77.2
2007,Number per 1000 marriages,BiH,77.7
2008,Number per 1000 marriages,BiH,61.8
2009,Number per 1000 marriages,BiH,68.0
2010,Number per 1000 marriages,BiH,85.8
2011,Number per 1000 marriages,BiH,120.5
2012,Number per 1000 marriages,BiH,125.8
2013,Number per 1000 marriages,BiH,148.1
2014,Number per 1000 marriages,BiH,144.1
2015,Number per 1000 marriages,BiH,150.5
2016,Number per 1000 marriages,BiH,143.9
2017,Number per 1000 marriages,BiH,151.3
2018,Number per 1000 marriages,BiH,155.2
2019,Number per 1000 marriages,BiH,147.2
