Year,UNIT_MEASURE,AGE,Sex,Activity rates,Value
2006,% of total,15+,Both sexes,Employed as % of working age population,29.7
2006,% of total,15 - 24,Both sexes,Employed as % of working age population,12.6
2006,% of total,25 - 49,Both sexes,Employed as % of working age population,46.5
2006,% of total,50 - 64,Both sexes,Employed as % of working age population,30.6
2006,% of total,65+,Both sexes,Employed as % of working age population,5.5
2006,% of total,15 - 64,Both sexes,Employed as % of working age population,35.0
2006,% of total,15+,M,Employed as % of working age population,39.9
2006,% of total,15 - 24,M,Employed as % of working age population,16.0
2006,% of total,25 - 49,M,Employed as % of working age population,60.0
2006,% of total,50 - 64,M,Employed as % of working age population,44.3
2006,% of total,65+,M,Employed as % of working age population,7.5
2006,% of total,15 - 64,M,Employed as % of working age population,46.1
2006,% of total,15+,F,Employed as % of working age population,20.0
2006,% of total,15 - 24,F,Employed as % of working age population,9.0
2006,% of total,25 - 49,F,Employed as % of working age population,33.0
2006,% of total,50 - 64,F,Employed as % of working age population,18.7
2006,% of total,65+,F,Employed as % of working age population,4.0
2006,% of total,15 - 64,F,Employed as % of working age population,24.0
2007,% of total,15+,Both sexes,Employed as % of working age population,31.2
2007,% of total,15 - 24,Both sexes,Employed as % of working age population,13.9
2007,% of total,25 - 49,Both sexes,Employed as % of working age population,48.8
2007,% of total,50 - 64,Both sexes,Employed as % of working age population,31.9
2007,% of total,65+,Both sexes,Employed as % of working age population,5.7
2007,% of total,15 - 64,Both sexes,Employed as % of working age population,36.8
2007,% of total,15+,M,Employed as % of working age population,42.3
2007,% of total,15 - 24,M,Employed as % of working age population,18.1
2007,% of total,25 - 49,M,Employed as % of working age population,63.6
2007,% of total,50 - 64,M,Employed as % of working age population,45.2
2007,% of total,65+,M,Employed as % of working age population,8.6
2007,% of total,15 - 64,M,Employed as % of working age population,48.7
2007,% of total,15+,F,Employed as % of working age population,20.8
2007,% of total,15 - 24,F,Employed as % of working age population,9.5
2007,% of total,25 - 49,F,Employed as % of working age population,34.2
2007,% of total,50 - 64,F,Employed as % of working age population,19.7
2007,% of total,65+,F,Employed as % of working age population,3.6
2007,% of total,15 - 64,F,Employed as % of working age population,25.0
2008,% of total,15+,Both sexes,Employed as % of working age population,33.6
2008,% of total,15 - 24,Both sexes,Employed as % of working age population,17.4
2008,% of total,25 - 49,Both sexes,Employed as % of working age population,53.4
2008,% of total,50 - 64,Both sexes,Employed as % of working age population,34.4
2008,% of total,65+,Both sexes,Employed as % of working age population,5.4
2008,% of total,15 - 64,Both sexes,Employed as % of working age population,40.7
2008,% of total,15+,M,Employed as % of working age population,44.9
2008,% of total,15 - 24,M,Employed as % of working age population,22.1
2008,% of total,25 - 49,M,Employed as % of working age population,68.8
2008,% of total,50 - 64,M,Employed as % of working age population,47.9
2008,% of total,65+,M,Employed as % of working age population,8.2
2008,% of total,15 - 64,M,Employed as % of working age population,52.9
2008,% of total,15+,F,Employed as % of working age population,23.1
2008,% of total,15 - 24,F,Employed as % of working age population,12.2
2008,% of total,25 - 49,F,Employed as % of working age population,38.4
2008,% of total,50 - 64,F,Employed as % of working age population,22.4
2008,% of total,65+,F,Employed as % of working age population,3.2
2008,% of total,15 - 64,F,Employed as % of working age population,28.7
2009,% of total,15+,Both sexes,Employed as % of working age population,33.1
2009,% of total,15 - 24,Both sexes,Employed as % of working age population,16.7
2009,% of total,25 - 49,Both sexes,Employed as % of working age population,53.5
2009,% of total,50 - 64,Both sexes,Employed as % of working age population,34.0
2009,% of total,65+,Both sexes,Employed as % of working age population,4.2
2009,% of total,15 - 64,Both sexes,Employed as % of working age population,40.1
2009,% of total,15+,M,Employed as % of working age population,43.2
2009,% of total,15 - 24,M,Employed as % of working age population,21.7
2009,% of total,25 - 49,M,Employed as % of working age population,67.4
2009,% of total,50 - 64,M,Employed as % of working age population,45.4
2009,% of total,65+,M,Employed as % of working age population,5.6
2009,% of total,15 - 64,M,Employed as % of working age population,51.3
2009,% of total,15+,F,Employed as % of working age population,23.7
2009,% of total,15 - 24,F,Employed as % of working age population,11.5
2009,% of total,25 - 49,F,Employed as % of working age population,39.9
2009,% of total,50 - 64,F,Employed as % of working age population,23.6
2009,% of total,65+,F,Employed as % of working age population,3.1
2009,% of total,15 - 64,F,Employed as % of working age population,29.3
2010,% of total,15+,Both sexes,Employed as % of working age population,32.5
2010,% of total,15 - 24,Both sexes,Employed as % of working age population,14.0
2010,% of total,25 - 49,Both sexes,Employed as % of working age population,52.5
2010,% of total,50 - 64,Both sexes,Employed as % of working age population,33.3
2010,% of total,65+,Both sexes,Employed as % of working age population,4.6
2010,% of total,15 - 64,Both sexes,Employed as % of working age population,39.0
2010,% of total,15+,M,Employed as % of working age population,42.2
2010,% of total,15 - 24,M,Employed as % of working age population,17.8
2010,% of total,25 - 49,M,Employed as % of working age population,65.6
2010,% of total,50 - 64,M,Employed as % of working age population,44.1
2010,% of total,65+,M,Employed as % of working age population,6.3
2010,% of total,15 - 64,M,Employed as % of working age population,49.6
2010,% of total,15+,F,Employed as % of working age population,23.3
2010,% of total,15 - 24,F,Employed as % of working age population,10.0
2010,% of total,25 - 49,F,Employed as % of working age population,39.2
2010,% of total,50 - 64,F,Employed as % of working age population,23.6
2010,% of total,65+,F,Employed as % of working age population,3.2
2010,% of total,15 - 64,F,Employed as % of working age population,28.6
2011,% of total,15+,Both sexes,Employed as % of working age population,31.9
2011,% of total,15 - 24,Both sexes,Employed as % of working age population,13.2
2011,% of total,25 - 49,Both sexes,Employed as % of working age population,52.1
2011,% of total,50 - 64,Both sexes,Employed as % of working age population,33.6
2011,% of total,65+,Both sexes,Employed as % of working age population,3.6
2011,% of total,15 - 64,Both sexes,Employed as % of working age population,38.7
2011,% of total,15+,M,Employed as % of working age population,41.3
2011,% of total,15 - 24,M,Employed as % of working age population,16.9
2011,% of total,25 - 49,M,Employed as % of working age population,64.5
2011,% of total,50 - 64,M,Employed as % of working age population,43.7
2011,% of total,65+,M,Employed as % of working age population,4.9
2011,% of total,15 - 64,M,Employed as % of working age population,48.7
2011,% of total,15+,F,Employed as % of working age population,23.0
2011,% of total,15 - 24,F,Employed as % of working age population,9.2
2011,% of total,25 - 49,F,Employed as % of working age population,39.0
2011,% of total,50 - 64,F,Employed as % of working age population,24.6
2011,% of total,65+,F,Employed as % of working age population,2.6
2011,% of total,15 - 64,F,Employed as % of working age population,28.7
2012,% of total,15+,Both sexes,Employed as % of working age population,31.7
2012,% of total,15 - 24,Both sexes,Employed as % of working age population,10.8
2012,% of total,25 - 49,Both sexes,Employed as % of working age population,52.2
2012,% of total,50 - 64,Both sexes,Employed as % of working age population,35.0
2012,% of total,65+,Both sexes,Employed as % of working age population,4.8
2012,% of total,15 - 64,Both sexes,Employed as % of working age population,38.5
2012,% of total,15+,M,Employed as % of working age population,41.5
2012,% of total,15 - 24,M,Employed as % of working age population,14.1
2012,% of total,25 - 49,M,Employed as % of working age population,64.9
2012,% of total,50 - 64,M,Employed as % of working age population,46.3
2012,% of total,65+,M,Employed as % of working age population,6.7
2012,% of total,15 - 64,M,Employed as % of working age population,49.0
2012,% of total,15+,F,Employed as % of working age population,22.6
2012,% of total,15 - 24,F,Employed as % of working age population,7.5
2012,% of total,25 - 49,F,Employed as % of working age population,39.1
2012,% of total,50 - 64,F,Employed as % of working age population,24.6
2012,% of total,65+,F,Employed as % of working age population,3.4
2012,% of total,15 - 64,F,Employed as % of working age population,28.1
2013,% of total,15+,Both sexes,Employed as % of working age population,31.6
2013,% of total,15 - 24,Both sexes,Employed as % of working age population,11.6
2013,% of total,25 - 49,Both sexes,Employed as % of working age population,52.7
2013,% of total,50 - 64,Both sexes,Employed as % of working age population,34.4
2013,% of total,65+,Both sexes,Employed as % of working age population,4.1
2013,% of total,15 - 64,Both sexes,Employed as % of working age population,38.5
2013,% of total,15+,M,Employed as % of working age population,40.6
2013,% of total,15 - 24,M,Employed as % of working age population,14.9
2013,% of total,25 - 49,M,Employed as % of working age population,64.3
2013,% of total,50 - 64,M,Employed as % of working age population,45.1
2013,% of total,65+,M,Employed as % of working age population,6.0
2013,% of total,15 - 64,M,Employed as % of working age population,48.0
2013,% of total,15+,F,Employed as % of working age population,23.0
2013,% of total,15 - 24,F,Employed as % of working age population,7.9
2013,% of total,25 - 49,F,Employed as % of working age population,40.8
2013,% of total,50 - 64,F,Employed as % of working age population,24.4
2013,% of total,65+,F,Employed as % of working age population,2.7
2013,% of total,15 - 64,F,Employed as % of working age population,28.9
2014,% of total,15+,Both sexes,Employed as % of working age population,31.7
2014,% of total,15 - 24,Both sexes,Employed as % of working age population,10.9
2014,% of total,25 - 49,Both sexes,Employed as % of working age population,53.3
2014,% of total,50 - 64,Both sexes,Employed as % of working age population,35.3
2014,% of total,65+,Both sexes,Employed as % of working age population,4.5
2014,% of total,15 - 64,Both sexes,Employed as % of working age population,39.0
2014,% of total,15+,M,Employed as % of working age population,41.2
2014,% of total,15 - 24,M,Employed as % of working age population,13.5
2014,% of total,25 - 49,M,Employed as % of working age population,65.3
2014,% of total,50 - 64,M,Employed as % of working age population,47.2
2014,% of total,65+,M,Employed as % of working age population,6.7
2014,% of total,15 - 64,M,Employed as % of working age population,48.9
2014,% of total,15+,F,Employed as % of working age population,22.7
2014,% of total,15 - 24,F,Employed as % of working age population,8.1
2014,% of total,25 - 49,F,Employed as % of working age population,40.8
2014,% of total,50 - 64,F,Employed as % of working age population,24.5
2014,% of total,65+,F,Employed as % of working age population,3.0
2014,% of total,15 - 64,F,Employed as % of working age population,28.9
2015,% of total,15+,Both sexes,Employed as % of working age population,31.9
2015,% of total,15 - 24,Both sexes,Employed as % of working age population,12.1
2015,% of total,25 - 49,Both sexes,Employed as % of working age population,53.9
2015,% of total,50 - 64,Both sexes,Employed as % of working age population,34.7
2015,% of total,65+,Both sexes,Employed as % of working age population,4.2
2015,% of total,15 - 64,Both sexes,Employed as % of working age population,39.2
2015,% of total,15+,M,Employed as % of working age population,40.9
2015,% of total,15 - 24,M,Employed as % of working age population,15.8
2015,% of total,25 - 49,M,Employed as % of working age population,66.1
2015,% of total,50 - 64,M,Employed as % of working age population,45.0
2015,% of total,65+,M,Employed as % of working age population,5.9
2015,% of total,15 - 64,M,Employed as % of working age population,48.8
2015,% of total,15+,F,Employed as % of working age population,23.2
2015,% of total,15 - 24,F,Employed as % of working age population,8.0
2015,% of total,25 - 49,F,Employed as % of working age population,41.4
2015,% of total,50 - 64,F,Employed as % of working age population,25.1
2015,% of total,65+,F,Employed as % of working age population,3.0
2015,% of total,15 - 64,F,Employed as % of working age population,29.5
2016,% of total,15+,Both sexes,Employed as % of working age population,32.2
2016,% of total,15 - 24,Both sexes,Employed as % of working age population,13.8
2016,% of total,25 - 49,Both sexes,Employed as % of working age population,54.4
2016,% of total,50 - 64,Both sexes,Employed as % of working age population,36.8
2016,% of total,65+,Both sexes,Employed as % of working age population,3.7
2016,% of total,15 - 64,Both sexes,Employed as % of working age population,40.2
2016,% of total,15+,M,Employed as % of working age population,42.5
2016,% of total,15 - 24,M,Employed as % of working age population,18.3
2016,% of total,25 - 49,M,Employed as % of working age population,67.6
2016,% of total,50 - 64,M,Employed as % of working age population,49.0
2016,% of total,65+,M,Employed as % of working age population,5.4
2016,% of total,15 - 64,M,Employed as % of working age population,51.1
2016,% of total,15+,F,Employed as % of working age population,22.4
2016,% of total,15 - 24,F,Employed as % of working age population,8.7
2016,% of total,25 - 49,F,Employed as % of working age population,40.7
2016,% of total,50 - 64,F,Employed as % of working age population,25.2
2016,% of total,65+,F,Employed as % of working age population,2.6
2016,% of total,15 - 64,F,Employed as % of working age population,29.1
2017,% of total,15+,Both sexes,Employed as % of working age population,33.9
2017,% of total,15 - 24,Both sexes,Employed as % of working age population,17.6
2017,% of total,25 - 49,Both sexes,Employed as % of working age population,58.1
2017,% of total,50 - 64,Both sexes,Employed as % of working age population,38.2
2017,% of total,65+,Both sexes,Employed as % of working age population,5.1
2017,% of total,15 - 64,Both sexes,Employed as % of working age population,43.0
2017,% of total,15+,M,Employed as % of working age population,43.2
2017,% of total,15 - 24,M,Employed as % of working age population,22.8
2017,% of total,25 - 49,M,Employed as % of working age population,70.5
2017,% of total,50 - 64,M,Employed as % of working age population,49.7
2017,% of total,65+,M,Employed as % of working age population,6.8
2017,% of total,15 - 64,M,Employed as % of working age population,53.3
2017,% of total,15+,F,Employed as % of working age population,24.9
2017,% of total,15 - 24,F,Employed as % of working age population,11.4
2017,% of total,25 - 49,F,Employed as % of working age population,45.6
2017,% of total,50 - 64,F,Employed as % of working age population,27.2
2017,% of total,65+,F,Employed as % of working age population,3.8
2017,% of total,15 - 64,F,Employed as % of working age population,32.5
2018,% of total,15+,Both sexes,Employed as % of working age population,34.3
2018,% of total,15 - 24,Both sexes,Employed as % of working age population,19.7
2018,% of total,25 - 49,Both sexes,Employed as % of working age population,58.9
2018,% of total,50 - 64,Both sexes,Employed as % of working age population,39.6
2018,% of total,65+,Both sexes,Employed as % of working age population,4.6
2018,% of total,15 - 64,Both sexes,Employed as % of working age population,44.0
2018,% of total,15+,M,Employed as % of working age population,44.1
2018,% of total,15 - 24,M,Employed as % of working age population,26.1
2018,% of total,25 - 49,M,Employed as % of working age population,71.8
2018,% of total,50 - 64,M,Employed as % of working age population,50.7
2018,% of total,65+,M,Employed as % of working age population,6.0
2018,% of total,15 - 64,M,Employed as % of working age population,54.7
2018,% of total,15+,F,Employed as % of working age population,25.0
2018,% of total,15 - 24,F,Employed as % of working age population,12.6
2018,% of total,25 - 49,F,Employed as % of working age population,45.8
2018,% of total,50 - 64,F,Employed as % of working age population,28.9
2018,% of total,65+,F,Employed as % of working age population,3.6
2018,% of total,15 - 64,F,Employed as % of working age population,33.0
2019,% of total,15+,Both sexes,Employed as % of working age population,35.5
2019,% of total,15 - 24,Both sexes,Employed as % of working age population,23.4
2019,% of total,25 - 49,Both sexes,Employed as % of working age population,60.7
2019,% of total,50 - 64,Both sexes,Employed as % of working age population,42.2
2019,% of total,65+,Both sexes,Employed as % of working age population,6.8
2019,% of total,15 - 64,Both sexes,Employed as % of working age population,46.4
2019,% of total,15+,M,Employed as % of working age population,44.6
2019,% of total,15 - 24,M,Employed as % of working age population,27.4
2019,% of total,25 - 49,M,Employed as % of working age population,73.0
2019,% of total,50 - 64,M,Employed as % of working age population,55.2
2019,% of total,65+,M,Employed as % of working age population,8.7
2019,% of total,15 - 64,M,Employed as % of working age population,57.0
2019,% of total,15+,F,Employed as % of working age population,26.7
2019,% of total,15 - 24,F,Employed as % of working age population,18.6
2019,% of total,25 - 49,F,Employed as % of working age population,48.5
2019,% of total,50 - 64,F,Employed as % of working age population,28.9
2019,% of total,65+,F,Employed as % of working age population,3.6
2019,% of total,15 - 64,F,Employed as % of working age population,33.0
