Year,SPOL,UNIT_MEASURE,Entitet,Value
2004,Oba spola,_%,BiH,18.3
2007,Oba spola,_%,BiH,18.2
2011,Oba spola,_%,BiH,17.9
2015,Oba spola,_%,BiH,16.9
2007,M,_%,BiH,18.3
2011,M,_%,BiH,18.0
2015,M,_%,BiH,17.1
2007,Ž,_%,BiH,18.1
2011,Ž,_%,BiH,17.7
2015,Ž,_%,BiH,16.7
2004,Oba spola,_%,Federacija BiH,18.8
2007,Oba spola,_%,Federacija BiH,17.0
2011,Oba spola,_%,Federacija BiH,17.1
2015,Oba spola,_%,Federacija BiH,17.1
2007,M,_%,Federacija BiH,17.1
2011,M,_%,Federacija BiH,17.5
2015,M,_%,Federacija BiH,18.8
2007,Ž,_%,Federacija BiH,16.9
2011,Ž,_%,Federacija BiH,16.7
2015,Ž,_%,Federacija BiH,15.9
2004,Oba spola,_%,Republika Srpska,17.8
2007,Oba spola,_%,Republika Srpska,20.1
2011,Oba spola,_%,Republika Srpska,19.5
2015,Oba spola,_%,Republika Srpska,16.4
2007,M,_%,Republika Srpska,20.2
2011,M,_%,Republika Srpska,19.1
2015,M,_%,Republika Srpska,14.5
2007,Ž,_%,Republika Srpska,20.1
2011,Ž,_%,Republika Srpska,19.8
2015,Ž,_%,Republika Srpska,17.6
2004,Oba spola,_%,Brčko Distrikt BiH,9.5
2007,Oba spola,_%,Brčko Distrikt BiH,25.8
2011,Oba spola,_%,Brčko Distrikt BiH,14.7
2015,Oba spola,_%,Brčko Distrikt BiH,17.6
2007,M,_%,Brčko Distrikt BiH,23.4
2011,M,_%,Brčko Distrikt BiH,14.1
2015,M,_%,Brčko Distrikt BiH,15.3
2007,Ž,_%,Brčko Distrikt BiH,28.2
2011,Ž,_%,Brčko Distrikt BiH,15.3
2015,Ž,_%,Brčko Distrikt BiH,19.0
