Year,UNIT_MEASURE,Value
1971,no_per_1000_marriages,88.2
1981,no_per_1000_marriages,93.3
1991,no_per_1000_marriages,56.3
1997,no_per_1000_marriages,79.0
1998,no_per_1000_marriages,87.7
1999,no_per_1000_marriages,88.8
2000,no_per_1000_marriages,88.1
2001,no_per_1000_marriages,104.7
2002,no_per_1000_marriages,112.9
2003,no_per_1000_marriages,92.5
2004,no_per_1000_marriages,68.4
2005,no_per_1000_marriages,81.3
2006,no_per_1000_marriages,77.2
2007,no_per_1000_marriages,77.7
2008,no_per_1000_marriages,61.8
2009,no_per_1000_marriages,68.0
2010,no_per_1000_marriages,85.8
2011,no_per_1000_marriages,120.5
2012,no_per_1000_marriages,125.8
2013,no_per_1000_marriages,148.1
2014,no_per_1000_marriages,144.1
2015,no_per_1000_marriages,150.5
2016,no_per_1000_marriages,143.9
2017,no_per_1000_marriages,151.3
2018,no_per_1000_marriages,155.2
2019,no_per_1000_marriages,147.2
