Year,Entitet,UNIT_MEASURE,Spol,Value
1998,BiH,Starost,Oba spola,66.1
1999,BiH,Starost,Oba spola,66.6
2000,BiH,Starost,Oba spola,66.8
2001,BiH,Starost,Oba spola,67.2
2002,BiH,Starost,Oba spola,67.8
2003,BiH,Starost,Oba spola,68.4
2004,BiH,Starost,Oba spola,68.9
2005,BiH,Starost,Oba spola,69.3
2006,BiH,Starost,Oba spola,69.4
2007,BiH,Starost,Oba spola,69.6
2008,BiH,Starost,Oba spola,70.2
2009,BiH,Starost,Oba spola,70.8
2010,BiH,Starost,Oba spola,71.6
2011,BiH,Starost,Oba spola,72.1
2012,BiH,Starost,Oba spola,72.5
2013,BiH,Starost,Oba spola,72.7
2014,BiH,Starost,Oba spola,73.0
2015,BiH,Starost,Oba spola,73.4
2016,BiH,Starost,Oba spola,73.4
2017,BiH,Starost,Oba spola,73.9
2018,BiH,Starost,Oba spola,74.1
2019,BiH,Starost,Oba spola,74.1
2003,BiH,Starost,Muškarci,31.6
2004,BiH,Starost,Muškarci,48.0
2009,BiH,Starost,Muškarci,63.3
2010,BiH,Starost,Muškarci,64.0
2011,BiH,Starost,Muškarci,64.2
2012,BiH,Starost,Muškarci,64.6
2013,BiH,Starost,Muškarci,65.0
2014,BiH,Starost,Muškarci,65.8
2015,BiH,Starost,Muškarci,66.3
2016,BiH,Starost,Muškarci,66.8
2017,BiH,Starost,Muškarci,66.8
2018,BiH,Starost,Muškarci,66.9
2019,BiH,Starost,Muškarci,67.4
1961,BiH,Starost,Muškarci,68.1
1971,BiH,Starost,Muškarci,68.9
1981,BiH,Starost,Muškarci,69.4
1991,BiH,Starost,Muškarci,69.8
1996,BiH,Starost,Muškarci,70.0
1997,BiH,Starost,Muškarci,70.4
1998,BiH,Starost,Muškarci,70.7
1999,BiH,Starost,Muškarci,70.7
2000,BiH,Starost,Muškarci,71.2
2001,BiH,Starost,Muškarci,71.4
2002,BiH,Starost,Muškarci,71.5
2003,BiH,Starost,Žene,34.5
2004,BiH,Starost,Žene,51.6
2009,BiH,Starost,Žene,69.2
2010,BiH,Starost,Žene,69.5
2011,BiH,Starost,Žene,69.7
2012,BiH,Starost,Žene,70.2
2013,BiH,Starost,Žene,70.7
2014,BiH,Starost,Žene,71.2
2015,BiH,Starost,Žene,71.7
2016,BiH,Starost,Žene,72.2
2017,BiH,Starost,Žene,72.2
2018,BiH,Starost,Žene,72.5
2019,BiH,Starost,Žene,73.3
2003,BiH,Starost,Žene,73.6
2004,BiH,Starost,Žene,74.5
2005,BiH,Starost,Žene,75.0
2006,BiH,Starost,Žene,75.3
2007,BiH,Starost,Žene,75.5
2008,BiH,Starost,Žene,75.8
2009,BiH,Starost,Žene,76.1
2010,BiH,Starost,Žene,76.2
2011,BiH,Starost,Žene,76.5
2012,BiH,Starost,Žene,76.8
2013,BiH,Starost,Žene,76.9
1997,Federacija BiH,Starost,Oba spola,64.3
1998,Federacija BiH,Starost,Oba spola,63.8
1999,Federacija BiH,Starost,Oba spola,65.7
2000,Federacija BiH,Starost,Oba spola,66.5
2001,Federacija BiH,Starost,Oba spola,67.1
2002,Federacija BiH,Starost,Oba spola,67.3
2003,Federacija BiH,Starost,Oba spola,68.2
2004,Federacija BiH,Starost,Oba spola,68.6
2005,Federacija BiH,Starost,Oba spola,69.1
2006,Federacija BiH,Starost,Oba spola,69.0
2007,Federacija BiH,Starost,Oba spola,69.3
2008,Federacija BiH,Starost,Oba spola,69.5
2009,Federacija BiH,Starost,Oba spola,70.2
2010,Federacija BiH,Starost,Oba spola,70.5
2011,Federacija BiH,Starost,Oba spola,70.8
2012,Federacija BiH,Starost,Oba spola,71.3
2013,Federacija BiH,Starost,Oba spola,71.6
2014,Federacija BiH,Starost,Oba spola,72.0
2015,Federacija BiH,Starost,Oba spola,72.3
2016,Federacija BiH,Starost,Oba spola,72.3
2017,Federacija BiH,Starost,Oba spola,72.5
2018,Federacija BiH,Starost,Oba spola,73.0
2019,Federacija BiH,Starost,Oba spola,73.0
2008,Federacija BiH,Starost,Muškarci,61.6
2009,Federacija BiH,Starost,Muškarci,61.3
2010,Federacija BiH,Starost,Muškarci,63.2
2011,Federacija BiH,Starost,Muškarci,64.1
2012,Federacija BiH,Starost,Muškarci,64.5
2013,Federacija BiH,Starost,Muškarci,64.6
2014,Federacija BiH,Starost,Muškarci,65.5
2015,Federacija BiH,Starost,Muškarci,66.0
2016,Federacija BiH,Starost,Muškarci,66.4
