Year,UNIT_MEASURE,Administrativna oblast,Value
1965,Broj dječaka na 100 djevojčica,BiH,107.61
1970,Broj dječaka na 100 djevojčica,BiH,107.0
1975,Broj dječaka na 100 djevojčica,BiH,106.91
1980,Broj dječaka na 100 djevojčica,BiH,106.81
1988,Broj dječaka na 100 djevojčica,BiH,107.9
1989,Broj dječaka na 100 djevojčica,BiH,105.4
1990,Broj dječaka na 100 djevojčica,BiH,106.56
1991,Broj dječaka na 100 djevojčica,BiH,105.61
1996,Broj dječaka na 100 djevojčica,BiH,109.92
1997,Broj dječaka na 100 djevojčica,BiH,109.51
1998,Broj dječaka na 100 djevojčica,BiH,108.54
1999,Broj dječaka na 100 djevojčica,BiH,103.88
2000,Broj dječaka na 100 djevojčica,BiH,106.53
2001,Broj dječaka na 100 djevojčica,BiH,105.91
2002,Broj dječaka na 100 djevojčica,BiH,105.82
2003,Broj dječaka na 100 djevojčica,BiH,108.44
2004,Broj dječaka na 100 djevojčica,BiH,106.55
2005,Broj dječaka na 100 djevojčica,BiH,105.75
2006,Broj dječaka na 100 djevojčica,BiH,106.44
2007,Broj dječaka na 100 djevojčica,BiH,107.56
2008,Broj dječaka na 100 djevojčica,BiH,105.99
2009,Broj dječaka na 100 djevojčica,BiH,108.77
2010,Broj dječaka na 100 djevojčica,BiH,106.31
2011,Broj dječaka na 100 djevojčica,BiH,108.19
2012,Broj dječaka na 100 djevojčica,BiH,106.56
2013,Broj dječaka na 100 djevojčica,BiH,106.64
2014,Broj dječaka na 100 djevojčica,BiH,106.31
2015,Broj dječaka na 100 djevojčica,BiH,105.85
2016,Broj dječaka na 100 djevojčica,BiH,108.63
2017,Broj dječaka na 100 djevojčica,BiH,107.9
2018,Broj dječaka na 100 djevojčica,BiH,107.53
2019,Broj dječaka na 100 djevojčica,BiH,109.24
