Year,Poverty Rate,UNIT_MEASURE,Administrative area,Value
2004,Households in poverty (%),% of total,BiH,18.1
2007,Households in poverty (%),% of total,BiH,18.4
2011,Households in poverty (%),% of total,BiH,17.2
2015,Households in poverty (%),% of total,BiH,16.5
2004,Population in poverty (%),% of total,BiH,18.3
2007,Population in poverty (%),% of total,BiH,18.2
2011,Population in poverty (%),% of total,BiH,17.9
2015,Population in poverty (%),% of total,BiH,16.9
2007,Males in poverty (%),% of total,BiH,18.3
2011,Males in poverty (%),% of total,BiH,18.0
2015,Males in poverty (%),% of total,BiH,17.1
2007,Females in poverty (%),% of total,BiH,18.1
2011,Females in poverty (%),% of total,BiH,17.7
2015,Females in poverty (%),% of total,BiH,16.7
2004,Households in poverty (%),% of total,Federation of BiH,18.3
2007,Households in poverty (%),% of total,Federation of BiH,16.3
2011,Households in poverty (%),% of total,Federation of BiH,16.0
2015,Households in poverty (%),% of total,Federation of BiH,16.0
2004,Population in poverty (%),% of total,Federation of BiH,18.8
2007,Population in poverty (%),% of total,Federation of BiH,17.0
2011,Population in poverty (%),% of total,Federation of BiH,17.1
2015,Population in poverty (%),% of total,Federation of BiH,17.1
2007,Males in poverty (%),% of total,Federation of BiH,17.1
2011,Males in poverty (%),% of total,Federation of BiH,17.5
2015,Males in poverty (%),% of total,Federation of BiH,18.8
2007,Females in poverty (%),% of total,Federation of BiH,16.9
2011,Females in poverty (%),% of total,Federation of BiH,16.7
2015,Females in poverty (%),% of total,Federation of BiH,15.9
2004,Households in poverty (%),% of total,Republika Srpska,18.3
2007,Households in poverty (%),% of total,Republika Srpska,21.7
2011,Households in poverty (%),% of total,Republika Srpska,19.6
2015,Households in poverty (%),% of total,Republika Srpska,17.4
2004,Population in poverty (%),% of total,Republika Srpska,17.8
2007,Population in poverty (%),% of total,Republika Srpska,20.1
2011,Population in poverty (%),% of total,Republika Srpska,19.5
2015,Population in poverty (%),% of total,Republika Srpska,16.4
2007,Males in poverty (%),% of total,Republika Srpska,20.2
2011,Males in poverty (%),% of total,Republika Srpska,19.1
2015,Males in poverty (%),% of total,Republika Srpska,14.5
2007,Females in poverty (%),% of total,Republika Srpska,20.1
2011,Females in poverty (%),% of total,Republika Srpska,19.8
2015,Females in poverty (%),% of total,Republika Srpska,17.6
2004,Households in poverty (%),% of total,Brčko District of BiH,7.8
2007,Households in poverty (%),% of total,Brčko District of BiH,23.6
2011,Households in poverty (%),% of total,Brčko District of BiH,12.2
2015,Households in poverty (%),% of total,Brčko District of BiH,15.9
2004,Population in poverty (%),% of total,Brčko District of BiH,9.5
2007,Population in poverty (%),% of total,Brčko District of BiH,25.8
2011,Population in poverty (%),% of total,Brčko District of BiH,14.7
2015,Population in poverty (%),% of total,Brčko District of BiH,17.6
2007,Males in poverty (%),% of total,Brčko District of BiH,23.4
2011,Males in poverty (%),% of total,Brčko District of BiH,14.1
2015,Males in poverty (%),% of total,Brčko District of BiH,15.3
2007,Females in poverty (%),% of total,Brčko District of BiH,28.2
2011,Females in poverty (%),% of total,Brčko District of BiH,15.3
2015,Females in poverty (%),% of total,Brčko District of BiH,19.0
