Year,health_indicators,UNIT_MEASURE,Entitet,Value
1997,number_of_new_cases_of_HIV,Broj,BiH,5.0
1997,number_of_new_cases_of_HIV,Broj,Republika Srpska,5.0
1997,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.42
1998,number_of_new_cases_of_HIV,Broj,BiH,19.0
1998,number_of_new_cases_of_HIV,Broj,Republika Srpska,19.0
1998,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,1.59
1999,number_of_new_cases_of_HIV,Broj,BiH,6.0
1999,number_of_beds_in_hospitals,Broj,BiH,5.47
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.754
1999,number_of_general_practitioners,Broj,BiH,352.0
1999,number_of_new_cases_of_HIV,Broj,Republika Srpska,6.0
1999,number_of_new_cases_of_HIV_per_100000_population,Broj,Republika Srpska,0.5
1999,number_of_beds_in_hospitals,Broj,Republika Srpska,5.47
1999,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,457.0
1999,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.754
1999,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,147.0
1999,number_of_general_practitioners,Broj,Republika Srpska,352.0
1999,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.401
2000,number_of_beds_in_hospitals,Broj,BiH,4.697
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,BiH,1.716
2000,number_of_general_practitioners,Broj,BiH,341.0
2000,number_of_beds_in_hospitals,Broj,Republika Srpska,4.697
2000,number_of_beds_in_hospitals_per_100000_population,Broj,Republika Srpska,393.0
2000,number_of_medical_doctors_providing_health_care_in_public_institutions,Broj,Republika Srpska,1.716
2000,number_of_medical_doctors_providing_health_care_in_public_institutions_per_100000_population,Broj,Republika Srpska,143.0
2000,number_of_general_practitioners,Broj,Republika Srpska,341.0
2000,number_of_population_per_general_practitioner,Broj,Republika Srpska,3.508
2001,number_of_new_cases_of_HIV,Broj,BiH,5.0
