Year,UNIT_MEASURE,Пол,Административно подручје,Value
1996,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,5.82
1997,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.96
1998,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.49
1999,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,5.28
2000,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.02
2001,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,5.12
2002,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.88
2003,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.26
2004,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.78
2005,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.25
2006,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.03
2007,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,5.14
2008,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,5.0
2009,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.94
2010,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,4.27
2011,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.71
2012,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.69
2013,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.32
2014,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,2.54
2015,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.83
2016,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.64
2017,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,3.41
2018,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,2.99
2019,NO_PER_1000_LIVE_BIRTHS,Оба пола,BiH,2.89
1997,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.87
1998,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.64
1999,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.51
2000,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.22
2001,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.83
2002,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.21
2003,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.7
2004,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.53
2005,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.02
2006,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.86
2007,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.99
2008,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.63
2009,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.93
2010,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.8
2011,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.58
2012,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.17
2013,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,2.98
2014,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,2.67
2015,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,5.01
2016,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.83
2017,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,4.24
2018,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.6
2019,NO_PER_1000_LIVE_BIRTHS,Оба пола,Федерација БиХ,3.83
1997,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,5.6
1998,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,4.14
1999,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,4.83
2000,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,3.66
2001,NO_PER_1000_LIVE_BIRTHS,Оба пола,Република Српска,5.62
