Year,UNIT_MEASURE,Пол,Године,Административно подручје,Value
2013,Број,Оба пола,0,Федерација БиХ,21718
2013,Број,Оба пола,1,Федерација БиХ,22690
2013,Број,Оба пола,2,Федерација БиХ,22691
2013,Број,Оба пола,3,Федерација БиХ,23664
2013,Број,Оба пола,4,Федерација БиХ,24080
2013,Број,Оба пола,5,Федерација БиХ,23892
2013,Број,Оба пола,6,Федерација БиХ,22901
2013,Број,Оба пола,7,Федерација БиХ,22965
2013,Број,Оба пола,8,Федерација БиХ,23147
2013,Број,Оба пола,9,Федерација БиХ,23147
2013,Број,Оба пола,10,Федерација БиХ,23884
2013,Број,Оба пола,11,Федерација БиХ,24043
2013,Број,Оба пола,12,Федерација БиХ,24989
2013,Број,Оба пола,13,Федерација БиХ,25785
2013,Број,Оба пола,14,Федерација БиХ,27352
2013,Број,Оба пола,15,Федерација БиХ,30464
2013,Број,Оба пола,16,Федерација БиХ,35091
2013,Број,Оба пола,17,Федерација БиХ,35286
2013,Број,Оба пола,18,Федерација БиХ,33903
2013,Број,Оба пола,19,Федерација БиХ,27137
2013,Број,Оба пола,20,Федерација БиХ,25325
2013,Број,Оба пола,21,Федерација БиХ,29600
2013,Број,Оба пола,22,Федерација БиХ,32119
2013,Број,Оба пола,23,Федерација БиХ,31990
2013,Број,Оба пола,24,Федерација БиХ,31868
2013,Број,Оба пола,25,Федерација БиХ,32919
2013,Број,Оба пола,26,Федерација БиХ,32539
2013,Број,Оба пола,27,Федерација БиХ,32484
2013,Број,Оба пола,28,Федерација БиХ,32610
2013,Број,Оба пола,29,Федерација БиХ,33651
2013,Број,Оба пола,30,Федерација БиХ,32390
2013,Број,Оба пола,31,Федерација БиХ,32319
2013,Број,Оба пола,32,Федерација БиХ,32749
2013,Број,Оба пола,33,Федерација БиХ,31974
2013,Број,Оба пола,34,Федерација БиХ,31556
2013,Број,Оба пола,35,Федерација БиХ,31528
2013,Број,Оба пола,36,Федерација БиХ,31538
2013,Број,Оба пола,37,Федерација БиХ,32341
2013,Број,Оба пола,38,Федерација БиХ,31321
2013,Број,Оба пола,39,Федерација БиХ,30987
2013,Број,Оба пола,40,Федерација БиХ,30584
2013,Број,Оба пола,41,Федерација БиХ,31771
2013,Број,Оба пола,42,Федерација БиХ,31017
2013,Број,Оба пола,43,Федерација БиХ,29652
2013,Број,Оба пола,44,Федерација БиХ,31806
2013,Број,Оба пола,45,Федерација БиХ,32017
2013,Број,Оба пола,46,Федерација БиХ,33018
2013,Број,Оба пола,47,Федерација БиХ,33813
2013,Број,Оба пола,48,Федерација БиХ,34178
2013,Број,Оба пола,49,Федерација БиХ,34083
2013,Број,Оба пола,50,Федерација БиХ,34340
2013,Број,Оба пола,51,Федерација БиХ,35525
2013,Број,Оба пола,52,Федерација БиХ,35006
2013,Број,Оба пола,53,Федерација БиХ,34518
2013,Број,Оба пола,54,Федерација БиХ,34607
2013,Број,Оба пола,55,Федерација БиХ,32581
2013,Број,Оба пола,56,Федерација БиХ,30906
2013,Број,Оба пола,57,Федерација БиХ,31264
2013,Број,Оба пола,58,Федерација БиХ,31461
2013,Број,Оба пола,59,Федерација БиХ,29877
2013,Број,Оба пола,60,Федерација БиХ,29631
2013,Број,Оба пола,61,Федерација БиХ,26762
2013,Број,Оба пола,62,Федерација БиХ,24438
2013,Број,Оба пола,63,Федерација БиХ,24535
2013,Број,Оба пола,64,Федерација БиХ,23247
2013,Број,Оба пола,65,Федерација БиХ,20490
2013,Број,Оба пола,66,Федерација БиХ,21656
2013,Број,Оба пола,67,Федерација БиХ,16531
2013,Број,Оба пола,68,Федерација БиХ,15234
2013,Број,Оба пола,69,Федерација БиХ,14480
2013,Број,Оба пола,70,Федерација БиХ,14562
2013,Број,Оба пола,71,Федерација БиХ,16128
2013,Број,Оба пола,72,Федерација БиХ,16725
2013,Број,Оба пола,73,Федерација БиХ,17668
2013,Број,Оба пола,74,Федерација БиХ,15940
2013,Број,Оба пола,75,Федерација БиХ,15320
2013,Број,Оба пола,76,Федерација БиХ,14194
2013,Број,Оба пола,77,Федерација БиХ,13342
2013,Број,Оба пола,78,Федерација БиХ,11991
2013,Број,Оба пола,79,Федерација БиХ,10766
2013,Број,Оба пола,80,Федерација БиХ,9117
2013,Број,Оба пола,81,Федерација БиХ,8359
2013,Број,Оба пола,82,Федерација БиХ,6844
2013,Број,Оба пола,83,Федерација БиХ,6095
2013,Број,Оба пола,84,Федерација БиХ,4812
2013,Број,Оба пола,85+,Федерација БиХ,15692
2013,Број,Оба пола,Unknown,Федерација БиХ,0
2013,Број,Оба пола,Total,Федерација БиХ,2219220
2013,Број,M,0,Федерација БиХ,11137
2013,Број,M,1,Федерација БиХ,11702
2013,Број,M,2,Федерација БиХ,11635
2013,Број,M,3,Федерација БиХ,12190
2013,Број,M,4,Федерација БиХ,12353
2013,Број,M,5,Федерација БиХ,12274
2013,Број,M,6,Федерација БиХ,11829
2013,Број,M,7,Федерација БиХ,11750
2013,Број,M,8,Федерација БиХ,11870
2013,Број,M,9,Федерација БиХ,11910
2013,Број,M,10,Федерација БиХ,12366
2013,Број,M,11,Федерација БиХ,12362
2013,Број,M,12,Федерација БиХ,12787
2013,Број,M,13,Федерација БиХ,13148
2013,Број,M,14,Федерација БиХ,13830
2013,Број,M,15,Федерација БиХ,15585
2013,Број,M,16,Федерација БиХ,18159
2013,Број,M,17,Федерација БиХ,18218
2013,Број,M,18,Федерација БиХ,17312
2013,Број,M,19,Федерација БиХ,14024
2013,Број,M,20,Федерација БиХ,13053
2013,Број,M,21,Федерација БиХ,14849
2013,Број,M,22,Федерација БиХ,16459
2013,Број,M,23,Федерација БиХ,16474
2013,Број,M,24,Федерација БиХ,16268
2013,Број,M,25,Федерација БиХ,16801
2013,Број,M,26,Федерација БиХ,16894
2013,Број,M,27,Федерација БиХ,16638
2013,Број,M,28,Федерација БиХ,16721
2013,Број,M,29,Федерација БиХ,17065
2013,Број,M,30,Федерација БиХ,16504
2013,Број,M,31,Федерација БиХ,16570
2013,Број,M,32,Федерација БиХ,16694
2013,Број,M,33,Федерација БиХ,16163
2013,Број,M,34,Федерација БиХ,16001
2013,Број,M,35,Федерација БиХ,15902
2013,Број,M,36,Федерација БиХ,15826
2013,Број,M,37,Федерација БиХ,16187
2013,Број,M,38,Федерација БиХ,15675
2013,Број,M,39,Федерација БиХ,15349
2013,Број,M,40,Федерација БиХ,15127
2013,Број,M,41,Федерација БиХ,15825
2013,Број,M,42,Федерација БиХ,15475
2013,Број,M,43,Федерација БиХ,14747
2013,Број,M,44,Федерација БиХ,15948
2013,Број,M,45,Федерација БиХ,15855
2013,Број,M,46,Федерација БиХ,16405
2013,Број,M,47,Федерација БиХ,16673
2013,Број,M,48,Федерација БиХ,16805
2013,Број,M,49,Федерација БиХ,16856
2013,Број,M,50,Федерација БиХ,16932
2013,Број,M,51,Федерација БиХ,17349
2013,Број,M,52,Федерација БиХ,17203
2013,Број,M,53,Федерација БиХ,16748
2013,Број,M,54,Федерација БиХ,17071
2013,Број,M,55,Федерација БиХ,15630
2013,Број,M,56,Федерација БиХ,15129
2013,Број,M,57,Федерација БиХ,15231
2013,Број,M,58,Федерација БиХ,15090
2013,Број,M,59,Федерација БиХ,14488
2013,Број,M,60,Федерација БиХ,14056
2013,Број,M,61,Федерација БиХ,12507
2013,Број,M,62,Федерација БиХ,11394
2013,Број,M,63,Федерација БиХ,11285
2013,Број,M,64,Федерација БиХ,10657
2013,Број,M,65,Федерација БиХ,9092
2013,Број,M,66,Федерација БиХ,9797
2013,Број,M,67,Федерација БиХ,7429
2013,Број,M,68,Федерација БиХ,6681
2013,Број,M,69,Федерација БиХ,6439
2013,Број,M,70,Федерација БиХ,6237
2013,Број,M,71,Федерација БиХ,6969
2013,Број,M,72,Федерација БиХ,7080
2013,Број,M,73,Федерација БиХ,7467
2013,Број,M,74,Федерација БиХ,6692
2013,Број,M,75,Федерација БиХ,6253
2013,Број,M,76,Федерација БиХ,5904
2013,Број,M,77,Федерација БиХ,5463
2013,Број,M,78,Федерација БиХ,4769
2013,Број,M,79,Федерација БиХ,4306
2013,Број,M,80,Федерација БиХ,3486
2013,Број,M,81,Федерација БиХ,3255
2013,Број,M,82,Федерација БиХ,2677
2013,Број,M,83,Федерација БиХ,2263
2013,Број,M,84,Федерација БиХ,1812
2013,Број,M,85+,Федерација БиХ,4902
2013,Број,M,Unknown,Федерација БиХ,0
2013,Број,M,Total,Федерација БиХ,1087993
2013,Број,Ж,0,Федерација БиХ,10581
2013,Број,Ж,1,Федерација БиХ,10988
2013,Број,Ж,2,Федерација БиХ,11056
2013,Број,Ж,3,Федерација БиХ,11474
2013,Број,Ж,4,Федерација БиХ,11727
2013,Број,Ж,5,Федерација БиХ,11618
2013,Број,Ж,6,Федерација БиХ,11072
2013,Број,Ж,7,Федерација БиХ,11215
2013,Број,Ж,8,Федерација БиХ,11277
2013,Број,Ж,9,Федерација БиХ,11237
2013,Број,Ж,10,Федерација БиХ,11518
2013,Број,Ж,11,Федерација БиХ,11681
2013,Број,Ж,12,Федерација БиХ,12202
2013,Број,Ж,13,Федерација БиХ,12637
2013,Број,Ж,14,Федерација БиХ,13522
2013,Број,Ж,15,Федерација БиХ,14879
2013,Број,Ж,16,Федерација БиХ,16932
2013,Број,Ж,17,Федерација БиХ,17068
2013,Број,Ж,18,Федерација БиХ,16591
2013,Број,Ж,19,Федерација БиХ,13113
2013,Број,Ж,20,Федерација БиХ,12272
2013,Број,Ж,21,Федерација БиХ,14751
2013,Број,Ж,22,Федерација БиХ,15660
2013,Број,Ж,23,Федерација БиХ,15516
2013,Број,Ж,24,Федерација БиХ,15600
2013,Број,Ж,25,Федерација БиХ,16118
2013,Број,Ж,26,Федерација БиХ,15645
2013,Број,Ж,27,Федерација БиХ,15846
2013,Број,Ж,28,Федерација БиХ,15889
2013,Број,Ж,29,Федерација БиХ,16586
2013,Број,Ж,30,Федерација БиХ,15886
2013,Број,Ж,31,Федерација БиХ,15749
2013,Број,Ж,32,Федерација БиХ,16055
2013,Број,Ж,33,Федерација БиХ,15811
2013,Број,Ж,34,Федерација БиХ,15555
2013,Број,Ж,35,Федерација БиХ,15626
2013,Број,Ж,36,Федерација БиХ,15712
2013,Број,Ж,37,Федерација БиХ,16154
2013,Број,Ж,38,Федерација БиХ,15646
2013,Број,Ж,39,Федерација БиХ,15638
2013,Број,Ж,40,Федерација БиХ,15457
2013,Број,Ж,41,Федерација БиХ,15946
2013,Број,Ж,42,Федерација БиХ,15542
2013,Број,Ж,43,Федерација БиХ,14905
2013,Број,Ж,44,Федерација БиХ,15858
2013,Број,Ж,45,Федерација БиХ,16162
2013,Број,Ж,46,Федерација БиХ,16613
2013,Број,Ж,47,Федерација БиХ,17140
2013,Број,Ж,48,Федерација БиХ,17373
2013,Број,Ж,49,Федерација БиХ,17227
2013,Број,Ж,50,Федерација БиХ,17408
2013,Број,Ж,51,Федерација БиХ,18176
2013,Број,Ж,52,Федерација БиХ,17803
2013,Број,Ж,53,Федерација БиХ,17770
2013,Број,Ж,54,Федерација БиХ,17536
2013,Број,Ж,55,Федерација БиХ,16951
2013,Број,Ж,56,Федерација БиХ,15777
2013,Број,Ж,57,Федерација БиХ,16033
2013,Број,Ж,58,Федерација БиХ,16371
2013,Број,Ж,59,Федерација БиХ,15389
2013,Број,Ж,60,Федерација БиХ,15575
2013,Број,Ж,61,Федерација БиХ,14255
2013,Број,Ж,62,Федерација БиХ,13044
2013,Број,Ж,63,Федерација БиХ,13250
2013,Број,Ж,64,Федерација БиХ,12590
2013,Број,Ж,65,Федерација БиХ,11398
2013,Број,Ж,66,Федерација БиХ,11859
2013,Број,Ж,67,Федерација БиХ,9102
2013,Број,Ж,68,Федерација БиХ,8553
