Year,Entitet,Spol,UNIT_MEASURE,Value
1996,BiH,Muškarci,%,27.7
1997,BiH,Muškarci,%,28.0
1998,BiH,Muškarci,%,27.9
1999,BiH,Muškarci,%,27.8
2000,BiH,Muškarci,%,27.8
2001,BiH,Muškarci,%,27.8
2002,BiH,Muškarci,%,27.8
2003,BiH,Muškarci,%,28.1
2004,BiH,Muškarci,%,28.0
2005,BiH,Muškarci,%,28.1
2006,BiH,Muškarci,%,28.3
2007,BiH,Muškarci,%,28.3
2008,BiH,Muškarci,%,28.3
2009,BiH,Muškarci,%,28.3
2010,BiH,Muškarci,%,28.9
2011,BiH,Muškarci,%,29.1
2012,BiH,Muškarci,%,29.3
2013,BiH,Muškarci,%,29.6
2014,BiH,Muškarci,%,29.6
2015,BiH,Muškarci,%,29.5
2016,BiH,Muškarci,%,29.4
2017,BiH,Muškarci,%,29.5
2018,BiH,Muškarci,%,29.7
2019,BiH,Muškarci,%,29.5
1996,BiH,Žene,%,24.2
1997,BiH,Žene,%,24.3
1998,BiH,Žene,%,24.3
1999,BiH,Žene,%,24.3
2000,BiH,Žene,%,24.2
2001,BiH,Žene,%,24.2
2002,BiH,Žene,%,24.3
2003,BiH,Žene,%,24.6
2004,BiH,Žene,%,24.5
2005,BiH,Žene,%,24.6
2006,BiH,Žene,%,24.9
2007,BiH,Žene,%,24.9
2008,BiH,Žene,%,24.9
2009,BiH,Žene,%,24.8
2010,BiH,Žene,%,25.7
2011,BiH,Žene,%,25.9
2012,BiH,Žene,%,26.1
2013,BiH,Žene,%,26.4
2014,BiH,Žene,%,26.4
2015,BiH,Žene,%,26.4
2016,BiH,Žene,%,26.4
2017,BiH,Žene,%,26.6
2018,BiH,Žene,%,27.1
2019,BiH,Žene,%,26.8
1996,Federacija BiH,Muškarci,%,27.7
1997,Federacija BiH,Muškarci,%,27.4
1998,Federacija BiH,Muškarci,%,27.4
1999,Federacija BiH,Muškarci,%,27.5
2000,Federacija BiH,Muškarci,%,27.6
2001,Federacija BiH,Muškarci,%,27.6
2002,Federacija BiH,Muškarci,%,27.7
2003,Federacija BiH,Muškarci,%,27.7
2004,Federacija BiH,Muškarci,%,27.8
2005,Federacija BiH,Muškarci,%,27.8
2006,Federacija BiH,Muškarci,%,27.9
2007,Federacija BiH,Muškarci,%,27.9
2008,Federacija BiH,Muškarci,%,28.1
2009,Federacija BiH,Muškarci,%,28.1
2010,Federacija BiH,Muškarci,%,28.6
2011,Federacija BiH,Muškarci,%,28.1
2012,Federacija BiH,Muškarci,%,28.4
2013,Federacija BiH,Muškarci,%,28.3
2014,Federacija BiH,Muškarci,%,28.3
2015,Federacija BiH,Muškarci,%,28.5
2016,Federacija BiH,Muškarci,%,28.3
2017,Federacija BiH,Muškarci,%,28.3
2018,Federacija BiH,Muškarci,%,28.5
2019,Federacija BiH,Muškarci,%,28.3
1996,Federacija BiH,Žene,%,24.4
1997,Federacija BiH,Žene,%,23.8
1998,Federacija BiH,Žene,%,24.4
1999,Federacija BiH,Žene,%,24.2
2000,Federacija BiH,Žene,%,23.9
2001,Federacija BiH,Žene,%,24.0
2002,Federacija BiH,Žene,%,24.1
2003,Federacija BiH,Žene,%,24.2
