Year,Пол,UNIT_MEASURE,Ентитет,Value
2004,Оба пола,_%,BiH,18.3
2007,Оба пола,_%,BiH,18.2
2011,Оба пола,_%,BiH,17.9
2015,Оба пола,_%,BiH,16.9
2007,Мушкарци,_%,BiH,18.3
2011,Мушкарци,_%,BiH,18.0
2015,Мушкарци,_%,BiH,17.1
2007,Жене,_%,BiH,18.1
2011,Жене,_%,BiH,17.7
2015,Жене,_%,BiH,16.7
2004,Оба пола,_%,Федерација БиХ,18.8
2007,Оба пола,_%,Федерација БиХ,17.0
2011,Оба пола,_%,Федерација БиХ,17.1
2015,Оба пола,_%,Федерација БиХ,17.1
2007,Мушкарци,_%,Федерација БиХ,17.1
2011,Мушкарци,_%,Федерација БиХ,17.5
2015,Мушкарци,_%,Федерација БиХ,18.8
2007,Жене,_%,Федерација БиХ,16.9
2011,Жене,_%,Федерација БиХ,16.7
2015,Жене,_%,Федерација БиХ,15.9
2004,Оба пола,_%,Република Српска,17.8
2007,Оба пола,_%,Република Српска,20.1
2011,Оба пола,_%,Република Српска,19.5
2015,Оба пола,_%,Република Српска,16.4
2007,Мушкарци,_%,Република Српска,20.2
2011,Мушкарци,_%,Република Српска,19.1
2015,Мушкарци,_%,Република Српска,14.5
2007,Жене,_%,Република Српска,20.1
2011,Жене,_%,Република Српска,19.8
2015,Жене,_%,Република Српска,17.6
2004,Оба пола,_%,Брчко Дистрикт БиХ,9.5
2007,Оба пола,_%,Брчко Дистрикт БиХ,25.8
2011,Оба пола,_%,Брчко Дистрикт БиХ,14.7
2015,Оба пола,_%,Брчко Дистрикт БиХ,17.6
2007,Мушкарци,_%,Брчко Дистрикт БиХ,23.4
2011,Мушкарци,_%,Брчко Дистрикт БиХ,14.1
2015,Мушкарци,_%,Брчко Дистрикт БиХ,15.3
2007,Жене,_%,Брчко Дистрикт БиХ,28.2
2011,Жене,_%,Брчко Дистрикт БиХ,15.3
2015,Жене,_%,Брчко Дистрикт БиХ,19.0
