Year,UNIT_MEASURE,MICS_NUMBER,Entity,Value
2000,_%,modern_methods,FBIH,15.7
2000,_%,modern_methods,RS,15.7
2006,_%,modern_methods,BiH,11.2
2006,_%,modern_methods,FBIH,12.1
2006,_%,modern_methods,RS,9.4
2006,_%,modern_methods,BD,12.7
2011,_%,modern_methods,BiH,12
2011,_%,modern_methods,FBIH,10
2011,_%,modern_methods,RS,16.8
2011,_%,modern_methods,BD,14.5
2012,_%,modern_methods,BiH,12
2012,_%,modern_methods,FBIH,10
2012,_%,modern_methods,RS,16.8
2012,_%,modern_methods,BD,14.5
2000,_%,all_methods,BiH,48
2000,_%,all_methods,FBIH,48.7
2000,_%,all_methods,RS,45.1
2006,_%,all_methods,BiH,35.7
2006,_%,all_methods,FBIH,33.6
2006,_%,all_methods,RS,40.7
2006,_%,all_methods,BD,23.1
2011,_%,all_methods,BiH,45.8
2011,_%,all_methods,FBIH,43.1
2011,_%,all_methods,RS,53.7
2011,_%,all_methods,BD,24.7
2012,_%,all_methods,BiH,45.8
2012,_%,all_methods,FBIH,43.1
2012,_%,all_methods,RS,53.7
2012,_%,all_methods,BD,24.7
2000,_%,traditional_methods,FBIH,32.9
2000,_%,traditional_methods,RS,29.4
2006,_%,traditional_methods,BiH,24.5
2006,_%,traditional_methods,FBIH,21.5
2006,_%,traditional_methods,RS,31.2
2006,_%,traditional_methods,BD,10.4
2011,_%,traditional_methods,BiH,34
2011,_%,traditional_methods,FBIH,33.1
2011,_%,traditional_methods,RS,36.9
2011,_%,traditional_methods,BD,10.2
2012,_%,traditional_methods,BiH,34
2012,_%,traditional_methods,FBIH,33.1
2012,_%,traditional_methods,RS,36.9
2012,_%,traditional_methods,BD,10.2
